,Company Name,Rating,Sector,Size,Job Description,Industry,Job Title,Revenue,Type of Ownership,Salary Estimate,Founded,Location
145,Confidential,,,,"Overview
Alliant is seeking a visionary identity and data management expert to join its Data & Technology team. Alliant operates on the forward edge of innovation in data-driven marketing, helping brands target consumers effectively in digital and traditional advertising channels. The Vice President, Data Integration position is responsible for leading innovation, development, and support for Alliant’s world class consumer data cooperative. This highly-visible position reports directly to technology leadership and will be instrumental in Alliant’s digital strategy and growth plans.
The ideal candidate will have a passion for leading innovation, a strong understanding of digital insight management and enjoy collaborating with exceptional people across disciplines.
Principle Responsibilities:",,Partner Infrastructure Architect,,,$61K - $123K (Glassdoor est.),,"Cambridge, MA"
146,The Chickasaw Nation,,$50 to $100 million (USD),,"Job Description
Partner Infrastructure Architect
We are looking to hire an architect to work with partners to define architectures and support rollouts that meet the corporate technical,and business needs while still meeting the partners security and operational requirements.
We are a small startup company, and as such everyone wears multiple hats. The successful candidate for this role working with our partners (Academic Medical Centers, and BioPharma companies) to design infrastructure and solutions to deploy our platform in On Premise, Hybrid, and Cloud environments
Responsibilities:",Government,HR Benefits Data Analyst/Advisor,,Municipal Governments,$61K - $123K (Glassdoor est.),,"Oklahoma City, OK"
147,Syneos Health Clinical,,Unknown / Non-Applicable,10000+ Employees,"Job Title: Benefits Data Analyst & Advisor
General Definition: This role will provide data driven recommendations to senior leadership of the Department of Interior Services as it pertains to human capital, employee benefit plans, policy changes, FY budgeting and other financial initiatives.
Supervision Received: Director, Financial Performance & Defined Contribution Plans, Human Resources/Benefits
Supervision Exercised: None
MINIMUM QUALIFICATIONS
Training and Experience:",Biotech & Pharmaceuticals,Principal BT Data Analyst,,Biotech & Pharmaceuticals,$61K - $123K (Glassdoor est.),Company - Public,"Somerset, NJ"
148,OneOf,3.7,Unknown / Non-Applicable,10000+ Employees,"Principal BT Data Analyst - (21003249)
Description
JOB SUMMARY
Executes and leads technical activities/deliverables between both on-shore and offshore development teams, clients, external vendors and service providers. This is a customer-facing role with regular interactions with various client team members for data management services offered within Deployment Solutions. Works closely with internal teams including Project Management, Quality Assurance, IC, Business Intelligence and Compliance to determine project scope, work effort and expectations to ensure the success of ongoing data exchange processes.

JOB RESPONSIBILITIES",Biotech & Pharmaceuticals,Gamification Manager,,Biotech & Pharmaceuticals,$61K - $123K (Glassdoor est.),Company - Public,"Miami, FL"
149,Pernod Ricard,,Manufacturing,10000+ Employees,"ABOUT US
*
A new and exciting venture that launches in 2021, OneOf has been finding new ways to bring NFTs to music fans in the ways they love and find usable. OneOf is a powerhouse in the music industry with signed artists including Whitney Houston, Doja Cat, H.E.R., Quincy Jones, John Legend, TLC, Charlie Puth, Jacob Collier, G-Eazy, AURORA, The Kid LAROI, Alesso and more.
ABOUT YOU
As part of our OneOf Technical Team, The Gamefication Manager will define and execute on strategies designed to engage our users and make NFT collecting accessible to the average music fan. By building game mechanics into our product, you’ll enhance the user experience and inspire our users to keep collecting through OneOf. You’re passionate about creating dynamic, innovative, fun, and interactive experiences and are skilled at understanding and interpreting a user's journey on our platform. You will shape new ideas that break new ground and push the industry forward by being user-obsessed, constraint-aware and data-informed.",Food & Beverage Manufacturing,"Senior Manager, Transformation Analytics",$5 to $10 billion (USD),Company - Private,$61K - $123K (Glassdoor est.),1975,"New York, NY"
150,Dart Container,4.0,Manufacturing,10000+ Employees,"Position Title: Senior Manager, Transformation Analytics
Location: New York, NY (Headquarters)
Position Summary: The Senior Manager, Transformation Analytics, is supporting and managing a new era of performance measurement and investment strategy at PRUSA. The manager will be
responsible for managing high priority global and local initiatives touching media, A&P investment strategy, and company / brand performance. The successful candidate will need to be a strong communicator, able to influence senior stakeholders and able to manage all the complexities of an advanced analytics project from data to insights.
Supporting this candidate will be a network of other teams and agencies.





2021-05-03-07:00",Food & Beverage Manufacturing,Analytics Manager,$5 to $10 billion (USD),Company - Private,$61K - $123K (Glassdoor est.),1975,"Mason, MI"
151,Uline,3.3,Manufacturing,5001 to 10000 Employees,"Position Title: Senior Manager, Transformation Analytics
Location: New York, NY (Headquarters)
Position Summary: The Senior Manager, Transformation Analytics, is supporting and managing a new era of performance measurement and investment strategy at PRUSA. The manager will be
responsible for managing high priority global and local initiatives touching media, A&P investment strategy, and company / brand performance. The successful candidate will need to be a strong communicator, able to influence senior stakeholders and able to manage all the complexities of an advanced analytics project from data to insights.
Supporting this candidate will be a network of other teams and agencies.





2021-05-03-07:00",Industrial Manufacturing,Supply Chain Data Analyst (South of Milwaukee),$5 to $10 billion (USD),Company - Private,$61K - $123K (Glassdoor est.),1980,"Milwaukee, WI"
152,Peraton,3.6,Manufacturing,5001 to 10000 Employees,"Supply Chain Data Analyst
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

Driven by Speed, Passion and Operational Excellence, Uline’s Distribution Operations team supports our fulfillment operations across North America to be the leading distributor of shipping, packaging and industrial supplies!

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment hair follicle drug screening.

Position Responsibilities",Industrial Manufacturing,Lead Data Scientist,$5 to $10 billion (USD),Company - Private,$61K - $123K (Glassdoor est.),1980,"McLean, VA"
153,Village Concepts,3.7,$10 to $25 million (USD),51 to 200 Employees,"Peraton Overview

Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the worlds leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our 22,000 employees do the cant be done, solving the most daunting challenges facing our customers.
We are an Equal Opportunity/Affirmative Action Employer. We consider applicants without regard to race, color, religion, age, national origin, ancestry, ethnicity, gender, gender identity, gender expression, sexual orientation, marital status, veteran status, disability, genetic information, citizenship status, or membership in any other group protected by federal, state, or local law.",Health Care,Financial Controller,,Health Care Services & Hospitals,$61K - $123K (Glassdoor est.),Company - Private,"Auburn, WA"
154,Black Box VR,3.7,,51 to 200 Employees,"Village Concepts is a three-generation family owned company and has been a leader in the senior living industry for over 40 years. Our Assisted Living and Memory Care communities are located throughout Washington State. and we work hard to make sure our residents enjoy their lives! We know what we're doing, and it shows!
We are searching for a talented and motivated Financial Controller to help shape the future of our company. The role requires a mix of strong analytical skills and deep business insights coupled with the ability to guide financial decision making and execution. This position will report directly to the CEO and CFO.
Job Requirements:
Assembles and summarizes data through data mining and business intelligence to structure reports and financial models for decision support.
Leverages statistical analysis, predictive analytics, and financial modeling techniques to conduct sophisticated analyses.",,Senior Unity Programmer,,,$61K - $123K (Glassdoor est.),Company - Private,"Boise, ID"
155,IFG Companies,,Insurance,,"CES Innovation Award Winner Black Box VR is looking for a senior Unity programmer to help take our game platform to the next level!
Who we are
At Black Box, we create the future of fitness! We combine the myriad health benefits of resistance training with the quick reward loops of mobile gaming to provide an immersive, ever-evolving VR experience that keeps our members coming back into the gym! Black Box VR tracks every aspect of member workouts and delivers a quantified-self style report showing progress over time, next milestones, and more. Black Box VR uses learning algorithms to track each workout performance and adjusts our patented resistance subsystem to keep progressing Black Box VR members in achieving their fitness goals!
Minimum requirements",Insurance Carriers,Data Engineer,Unknown / Non-Applicable,Company - Private,$61K - $123K (Glassdoor est.),1985,"Chapel Hill, NC"
156,ManTech International Corporation,,Business Services,5001 to 10000 Employees,"Job Brief
This candidate will have Microsoft and Open Source Data technology skills.
POSITION SUMMARY / OBJECTIVE
This candidate will have Microsoft and Open Source Data technology skills. The ability to shift technology as appropriate is a must. Python and Tsql are required. The successful candidate will have the ability to prioritize and complete assignments with minimal supervision.
POSITION RESPONSIBILITIES
Create analytics from Data Marts/DW
Create Data Warehouse/Data Mart
Create New Datasources
Create new data workflows
Validate existing data
Maintain Data Enviroments
Create Data work flows through automation




Apply Now!",Research & Development,"Data Analyst, L2",$1 to $2 billion (USD),Company - Public,$61K - $123K (Glassdoor est.),1968,"Colorado Springs, CO"
157,BIO,4.2,Business Services,5001 to 10000 Employees,"Secure our Nation, Ignite your Future
Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you’ll help protect our national security while working on innovative projects that offer opportunities for advancement.
Currently, ManTech is seeking a motivated, career and customer-oriented Data Analyst, L2-Midlevel to join our team in Colorado Springs, CO .
Responsibilities include, but are not limited to:
Interprets data, analyzes results using statistical techniques and provides ongoing reports
Develops and implements data collection systems, data analytics and other strategies that optimize statistical efficiency and quality",Research & Development,"Senior Manager, Marketing",$1 to $2 billion (USD),Company - Public,$61K - $123K (Glassdoor est.),1968,"Washington, DC"
158,Tripp Lite,3.8,Information Technology,201 to 500 Employees,"Senior Marketing Manager
Who we are: Biotechnology Innovation Organization (BIO) is the world's largest trade association representing biotechnology companies, academic institutions, state biotechnology centers and related organizations across the United States and in more than 30 other nations.
BIO members are involved in the research and development of innovative healthcare, agricultural, industrial, and environmental biotechnology products. BIO also produces the BIO International Convention, the world’s largest gathering of the biotechnology industry, along with industry-leading investor and partnering meetings held around the world.
BIO also works towards enriching the industry with networking, partnering and education opportunities. We organize the BIO International Convention, the global event for biotechnology, along with many other industry-leading investor and partnering events held around the world. Arguably the industry’s leading partnering software, BIO One-on-One Partnering™ facilitates 50,000 face-to-face meetings each year among investors, biotechs, pharmaceutical companies, academic institutions, and non-profits at live events.",Computer Hardware & Software,Design for Manufacturing Engineer,Unknown / Non-Applicable,Company - Private,$61K - $123K (Glassdoor est.),1922,"Chicago, IL"
159,Uline,3.8,Information Technology,201 to 500 Employees,"We are looking for a motivated Design for Manufacturing (DFM) / Design for Test (DFT) Engineer to join our Engineering team. He/she will be responsible for managing, enhancing and tracking DFM/DFT processes as related to PCB assemblies and complete electronic devices. In addition the engineer will coordinate with manufacturing partners to achieve efficiency and cost effectiveness.
Job Description:
Develop, support, and continually improve DFM/DFT processes to ensure our products are optimized for manufacturing in terms of efficiency, reliability and accuracy in PCBA production, unit assembly, calibration, programming, and testing.
The DFM/DFT Engineer will work with technical leads within the engineering group to ensure design for manufacturability, testing and maintenance is considered during the design phase for both hardware and software.
Lead and coordinate DFM/DFT efforts between engineering team and manufacturing partners, including design reviews.",Computer Hardware & Software,Supply Chain Data Analyst,Unknown / Non-Applicable,Company - Private,$61K - $123K (Glassdoor est.),1922,"Pleasant Prairie, WI"
160,Varsity Tutors,4.1,Information Technology,201 to 500 Employees,"Kirkwood Data Science Instructor Jobs
With the new school year approaching, the Varsity Tutors platform has thousands of students looking for online Data Science instructors nationally and in Kirkwood. As an instructor who uses the Varsity Tutors platform, you can earn good money teaching small groups of students, choose your own hours, and truly make a difference in the lives of your students.
Why join our platform?
Enjoy competitive rates and get paid 2x per week.
Choose to tutor as much or as little as you want.
Set your own hours and schedule.",Internet,Kirkwood Data Science Instructor Jobs,Unknown / Non-Applicable,Company - Private,$58K - $115K (Glassdoor est.),2007,"Kirkwood, MO"
161,Varsity Tutors,4.1,Information Technology,201 to 500 Employees,"Kirkwood Data Science Instructor Jobs
With the new school year approaching, the Varsity Tutors platform has thousands of students looking for online Data Science instructors nationally and in Kirkwood. As an instructor who uses the Varsity Tutors platform, you can earn good money teaching small groups of students, choose your own hours, and truly make a difference in the lives of your students.
Why join our platform?
Enjoy competitive rates and get paid 2x per week.
Choose to tutor as much or as little as you want.
Set your own hours and schedule.",Internet,Memphis Data Science Expert Jobs,,Company - Private,$58K - $115K (Glassdoor est.),2007,"Memphis, TN"
162,Peraton,4.1,Information Technology,201 to 500 Employees,"Memphis Data Science Expert Jobs
The new school year is almost here. With summer learning loss being a bigger problem than ever before, the Varsity Tutors platform has thousands of students looking for online Data Science experts nationally and in Memphis. As an expert who uses the Varsity Tutors platform, you can earn good money and choose your own schedule while making a fundamental difference in the lives of your students.
Why join our platform?
Enjoy competitive rates and get paid up to 2x per week.
Teach as much or as little as you want.
Share your knowledge with large groups of students.",Internet,Cyber Operations Planner III,Unknown / Non-Applicable,Company - Private,$58K - $115K (Glassdoor est.),2007,"Fort Gordon, GA"
163,St. Luke's Hospital,4.1,Information Technology,201 to 500 Employees,"Memphis Data Science Expert Jobs
The new school year is almost here. With summer learning loss being a bigger problem than ever before, the Varsity Tutors platform has thousands of students looking for online Data Science experts nationally and in Memphis. As an expert who uses the Varsity Tutors platform, you can earn good money and choose your own schedule while making a fundamental difference in the lives of your students.
Why join our platform?
Enjoy competitive rates and get paid up to 2x per week.
Teach as much or as little as you want.
Share your knowledge with large groups of students.",Internet,SYSTEMS/DATA ENGINEER - ANALYTICS- INFORMATION SERVICES,Unknown / Non-Applicable,Company - Private,$58K - $115K (Glassdoor est.),2007,"Chesterfield, MO"
164,ASC - East Petersburg,4.1,Information Technology,201 to 500 Employees,"Memphis Data Science Expert Jobs
The new school year is almost here. With summer learning loss being a bigger problem than ever before, the Varsity Tutors platform has thousands of students looking for online Data Science experts nationally and in Memphis. As an expert who uses the Varsity Tutors platform, you can earn good money and choose your own schedule while making a fundamental difference in the lives of your students.
Why join our platform?
Enjoy competitive rates and get paid up to 2x per week.
Teach as much or as little as you want.
Share your knowledge with large groups of students.",Internet,IT Data Engineer Operations,Unknown / Non-Applicable,Company - Private,$58K - $115K (Glassdoor est.),2007,"East Petersburg, PA"
165,Webtunix Borderless Investment,,,,"Peraton Overview

Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the worlds leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our 22,000 employees do the cant be done, solving the most daunting challenges facing our customers.


Responsibilities",,Finance Application Helper (SBA EIDL PPP mainly),,,$58K - $115K (Glassdoor est.),,"San Jose, CA"
166,"Lexmark International, Inc.",,Information Technology,,"This is not a remote working position. The applicant must attend and work at our office in Silicon Valley, California.
1) Typing and submitting clients' applications for SBA Loans, EIDL, PPP, RRF, MSLP, 7a, CDC504, all kinds of Covid 19 Grants, Hard Money Loan, EDD UI, PUA, General Bank Loan, Fix and Flipping Loans, etc...
2) Calling and negotiating with SBA, Finance Co, Federal Reserve at Boston, Banks and Finance Companies, Private Lenders, etc...for clients
3) Korean, Chinese, Vietnamese and all foreign languages are welcomed and advantageous, but not essential
4) if you can create clientele, commission and bonus will be paid separately upon clients or financial institutions payments",,Sr. Treasury Analyst,$2 to $5 billion (USD),,$58K - $115K (Glassdoor est.),,"Lexington-Fayette, KY"
167,TTX,3.9,Information Technology,10000+ Employees,"Responsibilities:
Short Term Cash Forecast
Manage daily/weekly short term (0-6 weeks) liquidity forecast, align it with long term forecast and present the results to CFO, Treasurer and other stakeholders, lead the conversation on short term cash/payment management
Perform and streamline the variance analysis, identify the areas for improvement and work with other groups (GBS teams and Data Science) to improve the forecast accuracy and variance analysis
Drive the automation and increase efficiency: standardize the forecasting and variance processes so GBS team can take over, manage the effort to identify and implement a systematic solution
Cash Management
Assist in the global funding process, performing various tasks such as funding initiator or approver, pre-funding analysis and administrative duties.",Computer Hardware & Software,Operations Analyst,$2 to $5 billion (USD),Company - Private,$58K - $115K (Glassdoor est.),1991,"Chicago, IL"
168,Tealium,3.4,Transportation & Logistics,1001 to 5000 Employees,"JOB SUMMARY
Perform data analysis and develop meaningful metrics to drive operational decision making that supports TTX’s railcar maintenance strategy. Ability to manage and manipulate large datasets to convert data into meaningful actionable information that drives decision making. Ability to develop optimization tools and predictive models using SAS Base programming, SAS Enterprise Miner, R programming, Python, SQL, and machine learning programs. Provide statistical analysis to aid long-term capacity and production decisions. Work with cross-functional teams to document analytics projects requirements, troubleshoot data quality issues, and identify opportunities to apply advanced analytics techniques to solve business problems.
RESPONSIBILITIES
· Data Science/Analysis",Rail,Senior Big Data Engineer,$1 to $2 billion (USD),Company - Private,$58K - $115K (Glassdoor est.),1955,Remote
169,Clarios,3.4,Transportation & Logistics,1001 to 5000 Employees,"JOB SUMMARY
Perform data analysis and develop meaningful metrics to drive operational decision making that supports TTX’s railcar maintenance strategy. Ability to manage and manipulate large datasets to convert data into meaningful actionable information that drives decision making. Ability to develop optimization tools and predictive models using SAS Base programming, SAS Enterprise Miner, R programming, Python, SQL, and machine learning programs. Provide statistical analysis to aid long-term capacity and production decisions. Work with cross-functional teams to document analytics projects requirements, troubleshoot data quality issues, and identify opportunities to apply advanced analytics techniques to solve business problems.
RESPONSIBILITIES
· Data Science/Analysis",Rail,Data Scientist,$1 to $2 billion (USD),Company - Private,$58K - $115K (Glassdoor est.),1955,"Milwaukee, WI"
170,JobTarget,3.4,Transportation & Logistics,1001 to 5000 Employees,"JOB SUMMARY
Perform data analysis and develop meaningful metrics to drive operational decision making that supports TTX’s railcar maintenance strategy. Ability to manage and manipulate large datasets to convert data into meaningful actionable information that drives decision making. Ability to develop optimization tools and predictive models using SAS Base programming, SAS Enterprise Miner, R programming, Python, SQL, and machine learning programs. Provide statistical analysis to aid long-term capacity and production decisions. Work with cross-functional teams to document analytics projects requirements, troubleshoot data quality issues, and identify opportunities to apply advanced analytics techniques to solve business problems.
RESPONSIBILITIES
· Data Science/Analysis",Rail,Data Architect/Engineer,$1 to $2 billion (USD),Company - Private,$58K - $115K (Glassdoor est.),1955,"Stamford, CT"
171,Arm,3.4,Transportation & Logistics,1001 to 5000 Employees,"JOB SUMMARY
Perform data analysis and develop meaningful metrics to drive operational decision making that supports TTX’s railcar maintenance strategy. Ability to manage and manipulate large datasets to convert data into meaningful actionable information that drives decision making. Ability to develop optimization tools and predictive models using SAS Base programming, SAS Enterprise Miner, R programming, Python, SQL, and machine learning programs. Provide statistical analysis to aid long-term capacity and production decisions. Work with cross-functional teams to document analytics projects requirements, troubleshoot data quality issues, and identify opportunities to apply advanced analytics techniques to solve business problems.
RESPONSIBILITIES
· Data Science/Analysis",Rail,Staff Verification Engineer,$1 to $2 billion (USD),Company - Private,$58K - $115K (Glassdoor est.),1955,"Austin, TX"
172,Matinas Biopharma,3.4,Transportation & Logistics,1001 to 5000 Employees,"JOB SUMMARY
Perform data analysis and develop meaningful metrics to drive operational decision making that supports TTX’s railcar maintenance strategy. Ability to manage and manipulate large datasets to convert data into meaningful actionable information that drives decision making. Ability to develop optimization tools and predictive models using SAS Base programming, SAS Enterprise Miner, R programming, Python, SQL, and machine learning programs. Provide statistical analysis to aid long-term capacity and production decisions. Work with cross-functional teams to document analytics projects requirements, troubleshoot data quality issues, and identify opportunities to apply advanced analytics techniques to solve business problems.
RESPONSIBILITIES
· Data Science/Analysis",Rail,"(Sr.) Manager, Analytical Development",$1 to $2 billion (USD),Company - Private,$58K - $115K (Glassdoor est.),1955,"Morristown, NJ"
173,Battelle,3.4,Transportation & Logistics,1001 to 5000 Employees,"JOB SUMMARY
Perform data analysis and develop meaningful metrics to drive operational decision making that supports TTX’s railcar maintenance strategy. Ability to manage and manipulate large datasets to convert data into meaningful actionable information that drives decision making. Ability to develop optimization tools and predictive models using SAS Base programming, SAS Enterprise Miner, R programming, Python, SQL, and machine learning programs. Provide statistical analysis to aid long-term capacity and production decisions. Work with cross-functional teams to document analytics projects requirements, troubleshoot data quality issues, and identify opportunities to apply advanced analytics techniques to solve business problems.
RESPONSIBILITIES
· Data Science/Analysis",Rail,Data Scientist II,,Company - Private,$58K - $115K (Glassdoor est.),1955,"Columbus, OH"
174,"SPS Commerce, In",,,,"Battelle delivers when others can’t. We conduct research and development, manage laboratories, design and manufacture products and deliver critical services for our clients—whether they are a multi-national corporation, a small start-up or a government agency.

We recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply.
JOB SUMMARY
Battelle’s Trust and Assurance Cyber Analytics Department is seeking Data Scientist to work in our Columbus, Ohio location.",,Product Marketing Manager - Analytics and Assortment,,,$58K - $115K (Glassdoor est.),,"Minneapolis, MN"
175,Alliant Cooperative Data Solutions,,,,"The Product Marketing Manager for Assortment and Analytics is responsible for making these products “fly off the shelf”. You will be the glue that binds our product strategy to the tactics we need to drive success in sales and marketing in order to help continue the strong growth we have seen in these products. As the product evangelist you will play an integral role in helping organize product launches and making the go to market strategies come to life.
Knowing our competitors is an important part of the role. You also know our buyers better than they know themselves, including how they make their buying decisions. You back up strategic insights with market evidence and then use that knowledge to drive the development of positioning and messaging that resonates with buyers and empowers our sales channels to be successful.
You will collaborate with our marketing team to develop innovative programs that drive demand. An attention to detail and eye for quality are critical to your success, along with an ability to grasp and present our product's value proposition in a way that resonates and clearly articulates how we solve our buyers' problems. You are obsessed with tracking performance and have the data to prove what's working and what isn't.",,Platform Account Executive,,,$58K - $115K (Glassdoor est.),,"New York, NY"
176,Deloitte,,,,"The Product Marketing Manager for Assortment and Analytics is responsible for making these products “fly off the shelf”. You will be the glue that binds our product strategy to the tactics we need to drive success in sales and marketing in order to help continue the strong growth we have seen in these products. As the product evangelist you will play an integral role in helping organize product launches and making the go to market strategies come to life.
Knowing our competitors is an important part of the role. You also know our buyers better than they know themselves, including how they make their buying decisions. You back up strategic insights with market evidence and then use that knowledge to drive the development of positioning and messaging that resonates with buyers and empowers our sales channels to be successful.
You will collaborate with our marketing team to develop innovative programs that drive demand. An attention to detail and eye for quality are critical to your success, along with an ability to grasp and present our product's value proposition in a way that resonates and clearly articulates how we solve our buyers' problems. You are obsessed with tracking performance and have the data to prove what's working and what isn't.",,Senior Qlik Developer,,,$58K - $115K (Glassdoor est.),,"Baltimore, MD"
177,Western Home Communities,3.8,Health Care,,"Overview
Alliant is seeking a highly motivated, results-oriented individual with experience in the Adtech industry to grow Alliant’s Digital Platform Partnerships. The Platform Account Executive will be a key contributor to Alliant’s continued evolution. This high-visibility position requires the successful candidate to initiate and develop strategic relationships with DSPs, DMPs, SSPs, Data Exchanges, and social media platforms to promote Alliant digital audience targeting solutions. This position will support growing platform relationships, identify new distribution partners, and create and implement a sales plan to exceed budgeted revenue goals. This position reports to the Director of Digital Partnerships.
Principle Responsibilities:
Identify platform prospects in key markets and develop appropriate forecasts for assigned accounts",Health Care Services & Hospitals,Digital Marketing Specialist,$10 to $25 million (USD),Nonprofit Organization,$58K - $115K (Glassdoor est.),,"Cedar Falls, IA"
178,NCCI,4.7,Insurance,501 to 1000 Employees,"1st shift: Full-time opportunity available
DUTIES: Lead all aspects of digital marketing campaigns (SEO/SEM, social media, email, display ads, database marketing) from idea through implementation and analysis. Focus primarily but not exclusively on campaigns that increase resident census, attract new clients and increase number of qualified job applicants. Collaborate with human resources recruiters to develop effective digital campaigns including objectives, strategy, tactics, KPIs, budget and timelines. Serve on creative team that brainstorms campaigns for print, television and digital ads. Perform other functions as assigned by CCO or System Director of Marketing and Sales.
REQUIREMENTS: Bachelor’s degree in marketing, public relations, business, data science or related field. 2+ years of experience in digital marketing. Experienced in execution of paid social media campaigns. Ability to juggle multiple projects at once. Painstaking attention to detail. Skilled in use of video and photo editing software, such as Adobe Creative Cloud. Effective problem-solver. Strong analytical and copywriting skills.",Insurance Carriers,IT Auditor - CISA required,$50 to $100 million (USD),Company - Private,$58K - $115K (Glassdoor est.),1923,"Boca Raton, FL"
179,TravelPass Group,,,,"IT Auditor - CISA required
Boca Raton, FL, USA Req #293
Wednesday, July 21, 2021
Since 1923, NCCI has been committed to fostering a healthy workers compensation system. We are the nation's trusted source for accurate, objective workers compensation information. Learn about how you can contribute to our company's success in the following position:
ABOUT THE POSITION:
This is a role where you can get complete exposure to the full universe of IT risks, owned in-house, that will enhance your professional experience. Our environment is dynamic and continually changing giving you the opportunity to identify new risks and controls that help to improve the business. Experience a culture where Internal Audit is embraced by the business, and where you can make a difference.",,Data Software Engineer,,,$58K - $115K (Glassdoor est.),,"South Jordan, UT"
180,Applied Information Sciences,,Information Technology,,"Data Software Engineer
Looking to be part of an amazing team that is solving challenges, growing, and attracting attention? Plus, do you want to work with data you can explain to your family? TravelPass Group is a close-knit group of technical, marketing, and business experts who are disrupting the travel industry.
We are creating cutting-edge travel technology and data systems. We uncover travel opportunities to help people travel more by saving money and booking easily. Since 2008, we have helped people book more than 8 million hotel rooms. We have been recognized locally and nationally among the fastest growing companies and as a top workplace. Here’s a sample: Inc. 5000 List of America’s Fastest-Growing Private Companies, Utah Business Magazine Fast 50 (#9), UV50 Fastest Growing Companies in Utah Valley (#9), Mountain West Capital Network’s Utah 100 (#22), Deloitte Technology Fast 500 (#155), and The Salt Lake Tribune Top Workplace.
Our data services team is looking for a mid- to senior-level Data Software Developer with a passion for creating an elegant yet simple data API primarily in python. The API includes ingestion, processing, storage, retrieval, and monitoring. The position will also help build a data science API for supporting building, testing, and deploying of statistical models.",,Azure Data Ingestion Architect,$50 to $100 million (USD),,$58K - $115K (Glassdoor est.),,"Chevy Chase, MD"
181,"ENSCO, Inc.",4.4,Information Technology,201 to 500 Employees,"Intro:
As an Azure Data Ingestion Architect, you will use cutting-edge cloud and data technologies to help global brands and federal agencies solve challenging problems through innovative technology solutions. Work on exciting projects, future-proof your skills, and grow into your dream job alongside some of the most talented, knowledgeable, and dedicated technologists in the industry.
What You'll Be Doing:
Work in a team with other smart AIS employees and use cutting edge technologies to solve challenging enterprise problems
Apply your skills in Azure Cognitive Services, Azure PaaS, data science, data analytics, and data warehousing to pioneer Azure cloud and data services
Use experience working with Azure Data & Storage, Azure Analytics & Azure IoT tools, as well as the traditional Microsoft BI stack
Location and Travel Details:
Profile of Success:
Desirable Skills:
About AIS:







EEO Statement:",IT Services,Senior Technical Program Manager,$50 to $100 million (USD),Company - Private,$58K - $115K (Glassdoor est.),1982,"Springfield, VA"
182,"BioFire Diagnostics, LLC.",3.7,Biotech & Pharmaceuticals,1001 to 5000 Employees,"At BioFire Diagnostics, LLC. we make the world a healthier place by providing molecular solutions that lessen the time to medical results and empower healthcare professionals to make better diagnostic decisions.
We are proud to be part of the bioMérieux family and the 5,000+ team members across 12 sites and subsidiaries in North America committed to our mission to help save lives around the globe through the power of diagnostics.
Come be a part of our team and our mission as an Automation Manufacturing Engineer!

We are looking to add an experienced Automation Manufacturing Engineering to our growing swing shift team! This Automation Manufacturing Engineer plays a critical role as a member of a team that designs, implements, and supports high-volume manufacturing equipment. Candidates who would find this role a good match like to operate in roles of autonomy and trust, enjoys training and mentoring junior staff, understands the importance of good documentation, is solution-oriented and is collaborative.",Biotech & Pharmaceuticals,Experienced Automation Manufacturing Engineer - Swing Shift,$100 to $500 million (USD),Company - Private,$58K - $115K (Glassdoor est.),1990,"Salt Lake City, UT"
183,J.Jill,3.7,,1001 to 5000 Employees,"At BioFire Diagnostics, LLC. we make the world a healthier place by providing molecular solutions that lessen the time to medical results and empower healthcare professionals to make better diagnostic decisions.
We are proud to be part of the bioMérieux family and the 5,000+ team members across 12 sites and subsidiaries in North America committed to our mission to help save lives around the globe through the power of diagnostics.
Come be a part of our team and our mission as an Automation Manufacturing Engineer!

We are looking to add an experienced Automation Manufacturing Engineering to our growing swing shift team! This Automation Manufacturing Engineer plays a critical role as a member of a team that designs, implements, and supports high-volume manufacturing equipment. Candidates who would find this role a good match like to operate in roles of autonomy and trust, enjoys training and mentoring junior staff, understands the importance of good documentation, is solution-oriented and is collaborative.",Biotech & Pharmaceuticals,Senior Web Applications Developer,$500 million to $1 billion (USD),Company - Private,$58K - $115K (Glassdoor est.),1990,"Quincy, MA"
