,Rating,Type of Ownership,Industry,Job Title,Location,Job Description,Size,Founded,Company Name,Salary Estimate,Revenue,Sector
178,,,,IT Data Engineer Operations,"East Petersburg, PA","The Product Marketing Manager for Assortment and Analytics is responsible for making these products “fly off the shelf”. You will be the glue that binds our product strategy to the tactics we need to drive success in sales and marketing in order to help continue the strong growth we have seen in these products. As the product evangelist you will play an integral role in helping organize product launches and making the go to market strategies come to life.
Knowing our competitors is an important part of the role. You also know our buyers better than they know themselves, including how they make their buying decisions. You back up strategic insights with market evidence and then use that knowledge to drive the development of positioning and messaging that resonates with buyers and empowers our sales channels to be successful.
You will collaborate with our marketing team to develop innovative programs that drive demand. An attention to detail and eye for quality are critical to your success, along with an ability to grasp and present our product's value proposition in a way that resonates and clearly articulates how we solve our buyers' problems. You are obsessed with tracking performance and have the data to prove what's working and what isn't.",,,ASC - East Petersburg,$61K - $123K (Glassdoor est.),,
179,,Company - Private,Insurance Carriers,IT Auditor - CISA required,"Boca Raton, FL","Overview

The Data Operations Engineer is responsible to design, develop, test, deliver and maintain data engineering solutions that support the Corporation's business. Engages in the entire database development process, from inception through delivery. Participates in the design and implementation of database development standards and procedures.
This position is open to a flexible working location out of our East Petersburg, PA or Philadelphia, PA offices (Post Pandemic).

Responsibilities
Responsible for maintaining the integrity and performance of company databases and guarantee that data is stored securely and optimally. Monitor the production schedule and provide support to remediate job failures. Leverage technology to automate routine processes. Monitor key performance indicators and recovery time objectives to meet service level agreements and maximize value to the business. Provide production support to business users. Monitor and tune databases for which we are responsible and direct the work of vendors where they are responsible for the Database Administrator function. Support enterprise wide compliance with enterprise standards, processes and policies.",,,NCCI,$61K - $123K (Glassdoor est.),$50 to $100 million (USD),Insurance
180,4.7,Company - Private,Insurance Carriers,Azure Data Ingestion Architect,"Chevy Chase, MD","IT Auditor - CISA required
Boca Raton, FL, USA Req #293
Wednesday, July 21, 2021
Since 1923, NCCI has been committed to fostering a healthy workers compensation system. We are the nation's trusted source for accurate, objective workers compensation information. Learn about how you can contribute to our company's success in the following position:
ABOUT THE POSITION:
This is a role where you can get complete exposure to the full universe of IT risks, owned in-house, that will enhance your professional experience. Our environment is dynamic and continually changing giving you the opportunity to identify new risks and controls that help to improve the business. Experience a culture where Internal Audit is embraced by the business, and where you can make a difference.",501 to 1000 Employees,1923,Applied Information Sciences,$61K - $123K (Glassdoor est.),$50 to $100 million (USD),Insurance
181,4.4,,,"CLINICAL ASSISTANT/ASSOCIATE PROFESSOR, HUMAN CAPITAL ANALYTICS AND TECH","New York, NY","Intro:
As an Azure Data Ingestion Architect, you will use cutting-edge cloud and data technologies to help global brands and federal agencies solve challenging problems through innovative technology solutions. Work on exciting projects, future-proof your skills, and grow into your dream job alongside some of the most talented, knowledgeable, and dedicated technologists in the industry.
What You'll Be Doing:
Work in a team with other smart AIS employees and use cutting edge technologies to solve challenging enterprise problems
Apply your skills in Azure Cognitive Services, Azure PaaS, data science, data analytics, and data warehousing to pioneer Azure cloud and data services
Use experience working with Azure Data & Storage, Azure Analytics & Azure IoT tools, as well as the traditional Microsoft BI stack
Location and Travel Details:
Profile of Success:
Desirable Skills:
About AIS:







EEO Statement:",,,New York University School of Professional Studies,$61K - $123K (Glassdoor est.),,
182,,,,Supply Chain and Operations Analyst,"Juneau, WI","CLINICAL ASSISTANT/ASSOCIATE PROFESSOR OF HUMAN CAPITAL ANALYTICS AND TECHNOLOGY (HCAT)
Division of Programs in Business
NYU School of Professional Studies (NYUSPS)
The Human Capital Management Program in the Division of Programs in Business at NYU’s School of Professional Studies is looking to fill a full-time renewable clinical faculty position for the 2020-2021 Academic Year, effective fall 2020.
NYU’s newly launched M.S. in Human Capital Analytics and Technology (HCAT) prepares students for a successful career in the field of people analytics, technology, business strategy and workforce planning. The program provides a strong curricular foundation designed to anticipate and address the needs of leaders, teams and organizations in the 21century markets. Upon graduation, students are able to examine, evaluate, and implement solutions using analytical methods and technology, but also to persuasively communicate with the broad array of stakeholder audiences.",,,Whisker,$61K - $123K (Glassdoor est.),,
183,,Company - Private,Enterprise Software & Network Solutions,Senior Data Engineer,"Austin, TX","*
Whisker, formerly known as AutoPets, is the maker of Litter-Robot, Feeder-Robot, and Litterbox.com. At Whisker, we believe pet parenthood can always get better.
*
*
As leading innovators in pet tech and refined pet accessories, we work tirelessly to solve problems and deliver smarter insights for pet parents while enriching the lives of pets. Whether it’s a self-cleaning litter box that automates scooping, an automatic feeder that helps pets develop healthier eating habits, or a modern cat tree that delights both humans and felines, we strive to deliver better solutions for consumers, transforming pet care along the way. And we don’t rest once we’ve created the best—we exist to make life for pets and pet parents endlessly better.
*
*
Whisker is based in Auburn Hills, Michigan and Juneau, Wisconsin with 300+ passionate employees.
*",51 to 200 Employees,2016,Dealerware,$61K - $123K (Glassdoor est.),Unknown / Non-Applicable,Information Technology
184,4.0,Company - Private,Enterprise Software & Network Solutions,Senior Technical Program Manager,"Springfield, VA","About Dealerware:
Dealerware is modern fleet management for the modern retailer. We are proud to be one of the hottest software companies in the automotive sector. By combining a modern-approach with fresh design thinking, Dealerware’s industry-leading SaaS platform enables best-in-class fleet management and mobility for top automotive dealerships and manufacturers. Three years ago, we burst onto the scene with a promise to reduce costs and elevate the customer experience at automotive dealerships.

Dealerware currently manages fleets for 28 automotive brands and 10 of the top 10 dealer groups in the country. With a recent expansion into international markets, our growth trajectory continues to be within the top 1% of SaaS businesses. Across the automotive ecosystem, there’s hundreds of billions of dollars at stake. And we’re right in the swell of it.

Dealerware has an immediate, full-time opportunity for a Senior Data Engineer to help us transform the way car dealers and manufacturers think about products and profits. As part of the company’s growing Data Engineering team, we’re looking for someone to design, develop and implement technology and data solutions to meet current and future data warehousing and reporting needs. An experienced engineer who can set the technical direction, establish best practices and partner with all consumers of data to build and support the company's data engineering platform.",51 to 200 Employees,2016,"ENSCO, Inc.",$61K - $123K (Glassdoor est.),Unknown / Non-Applicable,Information Technology
185,3.4,Company - Private,Lending,Data Engineer,"Las Vegas, NV","Cash Factory USA is growing! We are looking for talented people that are dedicated, inspired and passionate about creating a strong and profitable Company. We are seeking motivated candidates who embrace diversity, equity, and inclusion in the workplace.
Our business: we offer loan products to consumers across the country – we are currently active in eight states and plan to add additional states on an ongoing basis. Our products are made to suit a variety of financial needs. We are highly rated by our customers and enjoy excellent reviews. We have been in business for more than eight years, we have served more than 100,000 customers, and we have originated over $100,000,000 in loans.
We are looking for a Data Engineer that can work with us to migrate from our current SQL environment to Snowflake or another advanced platform. The business is growing rapidly, and we capture a large amount of data in our production environment to make underwriting and other decisions on applicants. That data needs to be migrated to an “analytics” environment so that our team of analysts can study the decisions and make better decisions over time.",51 to 200 Employees,2012,Cash Factory USA,$61K - $123K (Glassdoor est.),$10 to $25 million (USD),Finance
186,3.4,Company - Private,Biotech & Pharmaceuticals,Experienced Automation Manufacturing Engineer - Swing Shift,"Salt Lake City, UT","Cash Factory USA is growing! We are looking for talented people that are dedicated, inspired and passionate about creating a strong and profitable Company. We are seeking motivated candidates who embrace diversity, equity, and inclusion in the workplace.
Our business: we offer loan products to consumers across the country – we are currently active in eight states and plan to add additional states on an ongoing basis. Our products are made to suit a variety of financial needs. We are highly rated by our customers and enjoy excellent reviews. We have been in business for more than eight years, we have served more than 100,000 customers, and we have originated over $100,000,000 in loans.
We are looking for a Data Engineer that can work with us to migrate from our current SQL environment to Snowflake or another advanced platform. The business is growing rapidly, and we capture a large amount of data in our production environment to make underwriting and other decisions on applicants. That data needs to be migrated to an “analytics” environment so that our team of analysts can study the decisions and make better decisions over time.",1001 to 5000 Employees,1990,"BioFire Diagnostics, LLC.",$61K - $123K (Glassdoor est.),$100 to $500 million (USD),Biotech & Pharmaceuticals
187,,Company - Public,"Department, Clothing, & Shoe Stores",Senior Web Applications Developer,"Quincy, MA","At BioFire Diagnostics, LLC. we make the world a healthier place by providing molecular solutions that lessen the time to medical results and empower healthcare professionals to make better diagnostic decisions.
We are proud to be part of the bioMérieux family and the 5,000+ team members across 12 sites and subsidiaries in North America committed to our mission to help save lives around the globe through the power of diagnostics.
Come be a part of our team and our mission as an Automation Manufacturing Engineer!

We are looking to add an experienced Automation Manufacturing Engineering to our growing swing shift team! This Automation Manufacturing Engineer plays a critical role as a member of a team that designs, implements, and supports high-volume manufacturing equipment. Candidates who would find this role a good match like to operate in roles of autonomy and trust, enjoys training and mentoring junior staff, understands the importance of good documentation, is solution-oriented and is collaborative.",1001 to 5000 Employees,1959,J.Jill,$61K - $123K (Glassdoor est.),$500 million to $1 billion (USD),Retail
188,3.8,Company - Public,"Department, Clothing, & Shoe Stores",Data Scientist,"Mishawaka, IN","Our Brand :

J.Jill is a premier omnichannel retailer and nationally recognized women’s apparel brand committed to delighting customers with great wear-now product. The brand represents an easy, thoughtful and inspired style that reflects the confidence of remarkable women who live life with joy, passion and purpose. J.Jill offers a guiding customer experience through more than 280 stores nationwide and a robust e-commerce platform. J.Jill is headquartered outside Boston.

Overview :

The Senior Web Applications Developer supports the internal Web Development team responsible for an OMNI eCommerce technology platform, including web technologies, promotional campaigns and other online marketing and web analytics. In this role you will manage the building and maintaining of internal and external Web-facing applications, web services XML/SOAP/REST. The Senior Web Applications Developer works with a team of experienced developers and business resources, in order to build enterprise systems that support business objectives, and understands the importance of the Customer Experience, focusing on quality of user design, technical design, quality assurance of testing, and high availability.",1001 to 5000 Employees,1959,"Laidig Systems, Inc.",$61K - $123K (Glassdoor est.),$500 million to $1 billion (USD),Retail
189,3.9,Company - Public,Aerospace & Defense,Data Scientist,"Beavercreek, OH","Laidig Systems, Inc. is currently looking for a qualified candidate for a Data Scientist to join the Research and Development Engineering team in expanding the use of machine data throughout the organization. The Data Scientistwill help define/improve data collection, storage, analysis, and reporting capabilities to provide actionable insight and improve operational efficiency. The Data Scientistwill collaborate with internal and external teams to understand business needs/issues, troubleshoot problems, conduct root cause analysis, and develop cost effective resolutions. The Data Scientist will also assist in building predictive systems to help identify equipment issues before they arise. This is a great opportunity for someone who is interested in joining a growing, innovative engineering group with the possibility of career development in data engineering and asset data management.
More about this role:
As an Data Scientist you will be instrumental in analyzing data discrepancies and data lineage in our field, life-cycle data acquisition assets. This is a new position at Laidig Systems and will report to the Research and Development Engineering Manager. The will:",10000+ Employees,1969,Leidos,$61K - $123K (Glassdoor est.),$10+ billion (USD),Aerospace & Defense
190,3.9,Company - Public,Aerospace & Defense,Marketing Manager,"Brewster, NY","Description
Job Description:
Autonomous airborne systems are essential for commercial, non-profit, and national security interests. The Skyborg System Design project is the Vanguard program managed by Leidos to assist the United States Government in airborne autonomous system design and operations. The Skyborg System Design Agent (SDA) currently has openings for two Data Scientists to work in our Beavercreek, Ohio office. This is an exciting opportunity to use your data science skills and experience to help the Air Force Research Laboratory (AFRL) Skyborg mission. In this mission Leidos, is developing the Skyborg Autonomy Core System (ACS) and conducting data collection and analysis activities to inform design.
Primary Responsibilities
Eligible
2000.00
No
Secret
Yes, 10% of the time
40
Day
Professional
Data Scientist",10000+ Employees,1969,Alliant Cooperative Data Solutions,$61K - $123K (Glassdoor est.),$10+ billion (USD),Aerospace & Defense
191,3.8,,,Data Software Engineer,"South Jordan, UT",,,,TravelPass Group,$61K - $123K (Glassdoor est.),,
192,4.1,Company - Private,Internet,New York City Data Science Expert Jobs,"New York, NY","New York City Data Science Expert Jobs
The new school year is almost here. With summer learning loss being a bigger problem than ever before, the Varsity Tutors platform has thousands of students looking for online Data Science experts nationally and in New York City. As an expert who uses the Varsity Tutors platform, you can earn good money and choose your own schedule while making a fundamental difference in the lives of your students.
Why join our platform?
Enjoy competitive rates and get paid up to 2x per week.
Teach as much or as little as you want.
Share your knowledge with large groups of students.",201 to 500 Employees,2007,Varsity Tutors,$73K - $148K (Glassdoor est.),Unknown / Non-Applicable,Information Technology
193,4.1,Company - Private,Internet,Long Island Data Science Instructor Jobs,"Long Island City, NY","New York City Data Science Expert Jobs
The new school year is almost here. With summer learning loss being a bigger problem than ever before, the Varsity Tutors platform has thousands of students looking for online Data Science experts nationally and in New York City. As an expert who uses the Varsity Tutors platform, you can earn good money and choose your own schedule while making a fundamental difference in the lives of your students.
Why join our platform?
Enjoy competitive rates and get paid up to 2x per week.
Teach as much or as little as you want.
Share your knowledge with large groups of students.",201 to 500 Employees,2007,Varsity Tutors,$73K - $148K (Glassdoor est.),,
194,4.1,Company - Private,Internet,Cyber CONMON (Continuous Monitoring) Engineer,"Westfield, VA","New York City Data Science Expert Jobs
The new school year is almost here. With summer learning loss being a bigger problem than ever before, the Varsity Tutors platform has thousands of students looking for online Data Science experts nationally and in New York City. As an expert who uses the Varsity Tutors platform, you can earn good money and choose your own schedule while making a fundamental difference in the lives of your students.
Why join our platform?
Enjoy competitive rates and get paid up to 2x per week.
Teach as much or as little as you want.
Share your knowledge with large groups of students.",201 to 500 Employees,2007,Peraton,$73K - $148K (Glassdoor est.),Unknown / Non-Applicable,Information Technology
195,4.1,Company - Private,Internet,Data Scientist,"Grand Rapids, MI","New York City Data Science Expert Jobs
The new school year is almost here. With summer learning loss being a bigger problem than ever before, the Varsity Tutors platform has thousands of students looking for online Data Science experts nationally and in New York City. As an expert who uses the Varsity Tutors platform, you can earn good money and choose your own schedule while making a fundamental difference in the lives of your students.
Why join our platform?
Enjoy competitive rates and get paid up to 2x per week.
Teach as much or as little as you want.
Share your knowledge with large groups of students.",201 to 500 Employees,2007,"SalesPad, LLC",$73K - $148K (Glassdoor est.),Unknown / Non-Applicable,Information Technology
196,,,,Sr. IT Data Analyst,"Golden Valley, MN",,,,PreferredOne,$73K - $148K (Glassdoor est.),,
197,,,,Director of Data Solutions and Performance,"Seattle, WA","Purpose
This position will be the primary technical support for data exchanges and reporting with multiple customers and business partners. The position will serve as the primary support for departmental Business/Data Analysts responsible for managing data flows.
Duties and Responsibilities
Assist in design and development of reports from various databases to meet internal and external customer needs on a periodic or routine basis. Reports could require the integration of information from more than one database.
Develop operational/technical procedures to improve efficiencies in the exchange of data with internal and external customers and business partners.",,,Sellen Construction,$73K - $148K (Glassdoor est.),,
198,,,,Business Process and Master Data Analyst,"Rochester, NY","Purpose
This position will be the primary technical support for data exchanges and reporting with multiple customers and business partners. The position will serve as the primary support for departmental Business/Data Analysts responsible for managing data flows.
Duties and Responsibilities
Assist in design and development of reports from various databases to meet internal and external customer needs on a periodic or routine basis. Reports could require the integration of information from more than one database.
Develop operational/technical procedures to improve efficiencies in the exchange of data with internal and external customers and business partners.",,,Aerosafe Global,$73K - $148K (Glassdoor est.),,
199,3.7,Miscellaneous Manufacturing,Manufacturing,Nurse Practitioner,"Hillsboro, OR","Sellen Technology serves to enable Sellen’s Purpose which is to improve the lives of those around us — as builders, partners, and neighbors. Together as a Technology team our mission is to keep Sellen cyber safe, empower people with modern tools for learning and growth, craft best-in-class technology solutions, ensure reliable technology performance, and partner with the greater Sellen community to drive innovation.

We are looking for a Director of Data Solutions and Performance to harness the power of data to advance the work of the company, accelerate our strategic vision, and amplify the impact Sellen can have in the Pacific Northwest. This role will focus on modeling, building, scaling, governing, and supporting a data management platform that breaks down data silos to enable data driven decisions across the company by ensuring that teams have access to reliable, reusable, and cataloged data in a discoverable, consumable, and timely fashion.

Through close partnerships across the organization, this role will help define business processes, analytics, solution architecture, and technology solutions that help leaders across the company make great data driven decisions and provide value to our clients. A successful candidate will have experience envisioning, designing, deploying, and supporting information systems and services. The nature of the work requires someone who is comfortable leading through uncertainty and working across a complex set of stakeholders to understand and prioritize requirements. Additionally, they will utilize their skill set to develop data pipelines and analytics solutions with a tenacity for solving for unstructured data and enabling self-service, on-demand capabilities to support the business. The ideal candidate will be able to leverage their technical experience and business acumen to maintain a trusted relationship with users and business partners while providing the clarity needed by technical resources to deliver elegant solutions to the most important priorities.



Essential Responsibilities

Leadership & Collaboration

Technical Expertise
Project Management
Other duties as assigned.

Position Requirements

AND

Valid WA state driver’s license required. Occasional travel required to jobsites or to attend out of town meetings and trainings.

This job description is subject to change at any time.",1 to 50 Employees,Company - Private,"CODA, Inc.",$73K - $148K (Glassdoor est.),,$10 to $25 million (USD)
200,3.7,Company - Private,Advertising & Marketing,Senior Data Scientist,"Brewster, NY","Position Summary:
This position will be responsible for designing and developing end-to-end process maps, standard operating procedures and business policy documents in consultation with subject matter experts, business leadership and legal/regulatory resources. Responsible for creating clear, understandable documentation that translates complicated processes into coherent, step-by-step explanation for a target audience. In addition, this role will support the business by monitoring, analyzing, and maintaining master data and key data in various systems of the organization. They will collaborate with internal IT team members and business partners to streamline the business and system processes to ensure the quality and integrity of master data.
Duties and Responsibilities
Compile, map, and analyze current processes, infrastructure & system data to capture business requirements and document current and future state through interaction with key business users, internal stakeholders, and 3rd party vendors",1 to 50 Employees,2003,Alliant Cooperative Data Solutions,$73K - $148K (Glassdoor est.),$5 to $10 million (USD),Business Services
201,,,,Junior HPC Storage Engineer,"Memphis, TN","Overview
Alliant is seeking a Senior Data Scientist to join its Data Science team to build predictive machine learning models and perform customer segmentation. The ideal candidate will be data-curious and willing to participate with a team driven to provide direct and digital marketing clients with innovative, profit-building solutions. The successful candidate will have a wide-range of experience building machine learning models and presenting the results to marketing teams and senior management. Additionally, candidates should be highly experienced with Python, SAS, large-scale databases, web analytics and data manipulation. This position will report to the Vice President of Data Science and become a key contributor to a skilled predictive modeling and analytics team.
Principal Responsibilities:
Build predictive machine learning models to meet business requirements of direct and digital marketers independently",,,Data In Science Technologies,$73K - $148K (Glassdoor est.),,
202,,,,Systems Engineer - Data Engineer,"Fort Meade, MD","DST’s goal is to help our customers do more science in the HPC environment. We focus on the end user experience with education, empowerment and collaboration. We are looking for a HPC Storage Engineer to join our team!
Responsibilities:
HPC storage deployment, testing and maintenance
HPC system administration
Requirements:
At least 2 years of experience deploying and maintaining IBM Spectrum Scale parallel storage or DDN Gridscaler.",,,Peraton,$73K - $148K (Glassdoor est.),$5 to $10 billion (USD),
203,3.7,Company - Private,IT Services,Strategic Partnerships and Growth Manager,"Dana Point, CA","Peraton Overview

Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the worlds leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our 22,000 employees do the cant be done, solving the most daunting challenges facing our customers.


Responsibilities",10000+ Employees,2017,Alter Health Group,$73K - $148K (Glassdoor est.),$5 to $10 billion (USD),Information Technology
204,3.7,Unknown / Non-Applicable,,"Senior Manager, Lifecycle Marketing","San Francisco, CA","Peraton Overview

Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the worlds leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our 22,000 employees do the cant be done, solving the most daunting challenges facing our customers.


Responsibilities",,Company - Public,Udemy,$73K - $148K (Glassdoor est.),,
205,,,,Senior Financial Analyst,"Irving, TX","About Udemy
We believe anyone can build the life they imagine through online learning. Today, millions of students around the world are advancing their careers and passions by exploring and mastering new skills on Udemy, and expert instructors are able to share their knowledge with the world. Through our global marketplace and our solutions for businesses and governments, we connect people everywhere with the skills they need for success in work and life. We’re a close-knit bunch that enjoys problem-solving and collaboration, and we share a serious belief in the power of learning and teaching to change lives. Udemy’s culture encourages innovation, creativity, passion, and teamwork. We also celebrate our milestones and support each other every day.
Founded in 2010, Udemy is privately owned and headquartered in San Francisco’s SOMA neighborhood with offices in Denver (Colorado), Dublin (Ireland), Ankara (Turkey), Gurugram (India), and São Paulo (Brazil).
Udemy in the News",,,Omega Environmental Technologies,$73K - $148K (Glassdoor est.),,
206,,,,Systems Architecture /Data Engineer,"Chantilly, VA","Omega Environmental Technologies is a leading global provider of aftermarket climate control components for a broad range of passenger vehicles, heavy duty trucks, agricultural/off-road equipment and specialty markets.
Omega is looking for a Senior Financial Analyst who will report to the FP&A manager. The Senior Financial Analyst will work with the Finance department and will provide data, analysis, and reporting support to the entire business.
Duties/Responsibilities:
Develop reporting and analyses around key business functions including pricing, cost, margin, expenses, and inventory to allow business units to make decisions quickly
Identify key trends and patters and develop actionable insights to improve the business
Provide ad-hoc data support to the business units",,,Peraton,$73K - $148K (Glassdoor est.),,
207,2.5,Unknown / Non-Applicable,,Senior Data Scientist,"Tempe, AZ","Peraton Overview

Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the worlds leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our 22,000 employees do the cant be done, solving the most daunting challenges facing our customers.


Responsibilities
Support the client enterprise evolving the enterprise data management strategy including data management plan, change management process, data protection directives, and managing data issues",1 to 50 Employees,Company - Private,Global Nephrology Solutions,$73K - $148K (Glassdoor est.),,
208,2.5,Company - Private,Health Care Services & Hospitals,Senior Data Engineer,"Arlington, VA","Position Overview:
Global Nephrology Solution (GNS) is the largest Physician-driven Nephrology organization in USA. It’s 350+ physicians provide care to over 400,000 Chronic Kidney Disease (CKD) and Dialysis patients.
RCO Analytics, a wholly owned subsidiary of GNS, is a Healthcare IT company and uses advanced scientific techniques, forecasting, and machine learning to predict clinical and financial outcomes in order to guide investments and deliver results that improve health outcomes and reduce costs. In this exciting start-up environment, Senior Data Scientist will have the opportunity to develop data science processes from the ground up and work directly with decision-making executives to shape the future of GNS’s most important strategic initiatives.
Apply data science to make a real and meaningful impact by working directly with Clinical Leadership, Operations Management and Analytics team at leading Healthcare analytics company in Nephrology specialty.",,2015,CareJourney,$73K - $148K (Glassdoor est.),Unknown / Non-Applicable,Health Care
209,3.6,Company - Private,Health Care Services & Hospitals,"Executive Medical Director, Medical Science Early","Cambridge, MA","CareJourney’s mission is to empower individuals and organizations they trust with open, clinically-relevant analytics and insights in the pursuit of the optimal healthcare journey. We are a fast-growing start-up in Arlington, VA that builds software products to serve industry-leading customers that include Pfizer, Humana, and Microsoft. Our founders and leadership developed the policy and technology in the public and private sector that shape the work we do today. We are looking for driven professionals that are excited to join a growing business where they will have a strong voice in the direction and success of the company. Our culture embraces teamwork and cross-functional collaboration for a fun and exciting environment.

Our team is looking for a talented, motivated, and high-performing Senior Data Engineer to join our team.
Key Responsibilities
Serve as a technical lead on initiatives, projects and implementations.
Support and develop data flows by developing processes that verify, standardize, and scale data input, transformation and storage.",51 to 200 Employees,2015,SAGE Therapeutics,$73K - $148K (Glassdoor est.),Unknown / Non-Applicable,Health Care
210,4.4,Company - Public,Biotech & Pharmaceuticals,Data Scientist,"San Jose, CA",,501 to 1000 Employees,2010,Stealth Mode Startup Company,$73K - $148K (Glassdoor est.),Unknown / Non-Applicable,Biotech & Pharmaceuticals
211,4.4,Company - Public,Biotech & Pharmaceuticals,Director of Business Development and Capture,"Springfield, VA","General Scope and Summary
SAGE Therapeutics is seeking an experienced Executive Medical Director to play a high visibility development role at Sage. Working with cross-functional teams, internal stakeholders, and external collaborators, the Executive Medical Director will oversee the strategic direction of neurology programs at Sage. They will take a leadership role in the creation and execution of clinical development plans and in the development of strategies that will ultimately lead to global approvals of and maximize access to Sage’s neurology products. This role encompasses programs in Sage’s portfolio from early to late stage development.
To be successful in this role, the individual will be a creative, resourceful, integrative thinker who is self-motivated, has a strong work ethic and operates with a high degree of professional integrity. Additionally, the individual must be able to build relationships and influence decision-making while managing to pre-specified timelines. The candidate will be expected to thrive in the dynamic environment of a successful and growing company and to develop positive collaborations with thought leaders, contract research organizations, academic institutions, and nonprofit organizations.
Employee

R000632",501 to 1000 Employees,2010,"ENSCO, Inc.",$73K - $148K (Glassdoor est.),Unknown / Non-Applicable,Biotech & Pharmaceuticals
212,4.0,Company - Private,Aerospace & Defense,Systems Engineer IV,"Springfield, VA","Job Description
ENSCO’s National Security Solutions Division is actively seeking a dynamic, entrepreneurial-focused business leader specializing in Department of Defense (DOD) and Intelligence Community (IC) government contracting with extensive experience in business development, capture management, building customer relationships and delivering robust pipeline growth. As the Director of Business Development and Capture, this person will execute business development efforts and play a major role in the ENSCO NSS leadership team with focus on developing new large ($100M+) cross-company growth opportunities. This is a hands-on role with these primary responsibilities:

Lead division growth activities, including opportunity identification, business development, capture management, proposal development and pipeline growth.












Domain Knowledge Areas:",501 to 1000 Employees,1969,Peraton,$73K - $148K (Glassdoor est.),$100 to $500 million (USD),Aerospace & Defense
213,3.7,Company - Private,IT Services,Partner Marketing Manager (Affiliates),"Austin, TX","Job Description
ENSCO’s National Security Solutions Division is actively seeking a dynamic, entrepreneurial-focused business leader specializing in Department of Defense (DOD) and Intelligence Community (IC) government contracting with extensive experience in business development, capture management, building customer relationships and delivering robust pipeline growth. As the Director of Business Development and Capture, this person will execute business development efforts and play a major role in the ENSCO NSS leadership team with focus on developing new large ($100M+) cross-company growth opportunities. This is a hands-on role with these primary responsibilities:

Lead division growth activities, including opportunity identification, business development, capture management, proposal development and pipeline growth.












Domain Knowledge Areas:",10000+ Employees,2017,SubjectWell,$73K - $148K (Glassdoor est.),$5 to $10 billion (USD),Information Technology
214,3.7,Company - Private,IT Services,Physics/Chemistry Teacher,"Cincinnati, OH","Peraton Overview

Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the worlds leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our 22,000 employees do the cant be done, solving the most daunting challenges facing our customers.
We are an Equal Opportunity/Affirmative Action Employer. We consider applicants without regard to race, color, religion, age, national origin, ancestry, ethnicity, gender, gender identity, gender expression, sexual orientation, marital status, veteran status, disability, genetic information, citizenship status, or membership in any other group protected by federal, state, or local law.",10000+ Employees,2017,DePaul Cristo Rey High School,$73K - $148K (Glassdoor est.),$5 to $10 billion (USD),Information Technology
215,4.7,K-12 Education,Education,Data Scientist,"Richardson, TX","The mission of DePaul Cristo Rey High School is to prepare and guide students to become high school and college graduates who flourish. Our Catholic, college preparatory curriculum and innovative work study program combine to form young women and men of integrity, faith, tenacity and purpose. DePaul Cristo Rey High School is unique among high schools in the Greater Cincinnati area. We offer academic excellence in the context of faith, a hallmark of Catholic education, and do even more. DePaul Cristo Rey opens the doors of opportunity to hundreds of young people for whom a private, Catholic high school education may seem beyond reach. It is a school built upon a proven model of success.
DePaul Cristo Rey High School educates young people from various religious backgrounds and cultures to become men and women of knowledge, faith, purpose, and service. By offering a rigorous curriculum, a unique work-study experience, and the support of an inclusive school community, we prepare our students to succeed in college and beyond with the values essential to a fulfilling life. DePaul Cristo Rey High School is a member of the Cristo Rey Network, a national association of high schools that provide a quality, Catholic, college preparatory education to students from families with limited financial resources.",1 to 50 Employees,Company - Private,Infosys Limited,$73K - $148K (Glassdoor est.),,Unknown / Non-Applicable
