,Revenue,Company Name,Sector,Salary Estimate,Location,Type of Ownership,Industry,Job Title,Founded,Rating,Job Description,Size
134,$10+ billion (USD),Journey Foods,Retail,$67 - $144 Per Hour(Employer est.),Texas,Company - Public,Grocery Stores & Supermarkets,Data Scientist,1939,3.4,"Albertsons Companies is one of the largest food and drug retailers with 2,300+ stores. The Albertsons Companies family of brands includes some of the most prominent brands in food retailing, with a growing base of loyal shoppers. Thanks to the professionalism, diversity, spirit, and friendliness of our people, we have locations across the U.S.

The Technology Department has an opening for a Payment Data Scientist. This position is located in Pleasanton, California.

The Payments team is newly formed and will oversee the strategic and operational infrastructure required to support a consumer-focused brand, in both a physical and digital world. In this role, you'll be joining a Data Science team under Payments focusing on driving the future vision of payments technology and building world class products. The ideal candidate will be a self-starter, who has an eye for detail, is extremely thorough, and works well with ambiguity. Additionally, proficiency with SQL and data analytics is required.",10000+ Employees
135,,Pacific Northwest National Laboratory,,$67 - $144 Per Hour(Employer est.),"Richland, WA",Unknown / Non-Applicable,,Mathematician,Unknown,,"Journey Foods is hiring a business-savvy Data Scientist with at least three years of experience who is interested in a fast-paced and intrapreneurial environment. Key technical skills include data wrangling and visualization, model building and deployment, and machine learning. Journey Foods will rely on the Data Scientist to create data science workflows and communicate requirements across various business units. Fluency in Python is required. Candidate preferably based in Austin, TX although flexible teleworking options are available. Full-time employment; immediate start date.",1 to 50 Employees
136,$500 million to $1 billion (USD),Indeed,"Oil, Gas, Energy & Utilities",$67 - $144 Per Hour(Employer est.),"Sunnyvale, CA",Government,Energy,Senior Data Scientist - Ads Optimization,1965,4.1,"Organization and Job ID
Job ID: 312382
Directorate: Physical & Computational Sciences
Division: Advanced Computing, Mathematics & Data
Group: Computational Mathematics
Job Description
Pacific Northwest National Laboratory (PNNL) is a world-class research institution powered by a highly educated, diverse workforce committed to collaboration and work-life balance. We are seeking an early-career Applied Mathematician to contribute to our Computational Mathematics group research effort in Scientific Computing. This is a great opportunity to join an interdisciplinary research team that and focus on accelerating scientific discovery through advanced modeling and simulation. The primary emphasis of this position will be on growing existing and developing new capabilities in the areas of multiscale modeling, surrogate modeling, and machine-learning methods for various energy/materials/environment applications.",1001 to 5000 Employees
137,$10+ billion (USD),IBM,Information Technology,$67 - $144 Per Hour(Employer est.),"Washington, DC",Company - Public,IT Services,Data Engineer,1911,4.3,"Your Job
This role sits within the SMB Ads Optimization Team. At Indeed, SMB Ads are sponsored jobs created by employers that are looking for the right candidates in Indeed’s marketplace. We decide which sponsored jobs will be presented to job seekers in different channels by considering the employer's willingness to pay. In Indeed’s search, one of Indeed’s main channels, we do this by solving an auction at search time. However, in general, we combine multiple bidding and pricing strategies with optimization algorithms to define the right pricing strategy at the right moment.

As a Data Scientist in the SMB Ads Optimization team, your role is to design and build different mechanisms to find the right value to charge our customers. We are looking for a mixture of statistician, scientist, machine learning expert, and engineer: someone who has passion for building and improving Internet-scale products informed by data. You will be directly influencing Indeed's ads platform's future and responsible for improving our marketplace experimentation strategy. Last but not least, you will spend time understanding and making sense of highly non-linear systems while figuring out how to optimize them.




We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",10000+ Employees
138,$10+ billion (USD),Toyota,Information Technology,$67 - $144 Per Hour(Employer est.),"Plano, TX",Company - Public,IT Services,Data Scientist,1911,3.9,"Introduction
As a data engineer at IBM, get ready to tackle numerous mission-critical company directives. Our team takes on the challenge of designing, developing and re-engineering highly complex application components and integrating software packages using various tools. You will use a mix of consultative skills, business knowledge, and technical expertise to effectively integrate packaged technology into our clients' business environment and achieve business results.

Your Role and Responsibilities
Cloud and Cognitive Expert Labs is hiring a Data Governance Engineer who is passionate about helping Government clients use the latest Data and AI computing technologies to solve their real-world problems. You will work closely with Government clients and other IBM consultants, technology experts, and product development teams to collect, organize and analyze data to infuse AI. As a Data Governance Engineer in the Cloud and Cognitive Expert Labs Delivery organization you will:
Who You Are:

Required Technical and Professional Expertise

Preferred Technical and Professional Expertise

About Business UnitIBM’s Cloud and Cognitive software business is committed to bringing the power of IBM’s Cloud and Watson/AI technologies to life for our clients and ecosystem partners around the world. IBM provides you with the most comprehensive and consistent approach to development, security and operations across hybrid environments—with complete software solutions for business and IT operations, development, data science, security, and management. Our experts and software capabilities help organizations develop applications once and deploy them anywhere, integrate security across the breadth of their IT estate, and automate operations with management visibility. With IBM, you also have access to new skills and methods, governance and management approaches, and a deep ecosystem of industry experts and partners.

Your Life @ IBMAre you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBMIBM's greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries. IBM's greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we're also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it's time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location StatementIBM offers a wide range of resources for eligible IBMers to thrive both inside and outside of work. In addition to a competitive benefits program consisting of medical and life insurance, retirement plans, and time off, eligible employees may also have access to:


We consider qualified applicants with criminal histories, consistent with applicable law.

Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",10000+ Employees
139,$10+ billion (USD),PRA Health Sciences,Manufacturing,$67 - $144 Per Hour(Employer est.),Remote,Company - Public,Transportation Equipment Manufacturing,Statistical Programmer 1,1957,3.9,"Who We Are
Collaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world's most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We're looking for diverse, talented team members who want to Dream. Do. Grow. with us.
An important part of the Toyota family is Toyota Financial Services (TFS), the finance and insurance brand for Toyota and Lexus in North America. While TFS is a separate business entity, it is an essential part of this world-changing company – delivering on Toyota's vision to move people beyond what's possible. At TFS, you will help create best-in-class customer experiences in an innovative, collaborative environment.",10000+ Employees
140,$2 to $5 billion (USD),Facebook,Biotech & Pharmaceuticals,$67 - $144 Per Hour(Employer est.),"New York, NY",Company - Public,Biotech & Pharmaceuticals,"Data Scientist, Analytics (PhD)",1976,4.1,"ICON plc is a world-leading healthcare intelligence and clinical research organisation. From molecule to medicine, we advance clinical research providing outsourced services to pharmaceutical, biotechnology, medical device and government and public health organisations.

With our patients at the centre of all that we do, we help to accelerate the development of drugs and devices that save lives and improve quality of life.

Our people are our greatest strength, are at the core of our culture, and the driving force behind our success. ICON people have a mission to succeed and a passion that ensures what we do, we do well.
Responsibilities",10000+ Employees
141,$10+ billion (USD),APPIC Solutions LLC,Information Technology,$67 - $144 Per Hour(Employer est.),"Englewood, CO",Company - Public,Internet,Data Engineer,2004,4.3,"We're looking for Data Scientists to join some of our Analytics teams, including those in charge of News Feed, Video, Search, Monetization and Ads, Sharing, and Product Foundation. You will enjoy working with one of the richest data sets in the world, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The perfect candidate will be able to effortlessly apply the expertise gained throughout their PhD to tackle Facebook Product Analytics challenges, and will have experience working with large, complex data sets. You are focused on results, a self-starter, and have demonstrated success in understanding and solving complex problems using analytical techniques.
Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products
Partner with Product and Engineering teams to solve problems and identify trends and opportunities
Inform, influence, support, and execute our product decisions and product launches
Work across the following four areas:",10000+ Employees
142,,Goldman Sachs,,$67 - $144 Per Hour(Employer est.),"New York, NY",,,Associate - ENGG5242699,,,"JOB Description: Data Engineer
What you’ll be doing:
This role will be responsible for expanding our data and data pipeline architecture, as well as optimizing data flow and collection for cross-functional teams. The ideal candidate is an experienced data pipeline builder and data wrangler, who enjoys optimizing data systems and building them from the ground up.
This position will support our software developers, database architects, data analysts, and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects.
The successful candidate will:
Create and maintain optimal data pipeline architecture;",
143,$10+ billion (USD),State of Tennessee,Finance,$67 - $144 Per Hour(Employer est.),"East Nashville, TN",Company - Public,Investment Banking & Asset Management,DATA ANALYTICS STATISTICAL RESEARCH SPECIALIST-20197,1869,4.0,"MORE ABOUT THIS JOB:
Associate with Goldman Sachs Services LLC in New York, NY

RESPONSIBILITIES AND QUALIFICATIONS:
Duties: Associate with Goldman Sachs Services LLC in New York, NY. Work across the entire SDLC of product development, including requirements gathering; functional and technical design; development; user acceptance testing; release procedures; change request analysis; and production support. Partner with various business and technical teams from various Business Units within Organization to understand and analyze many unique business problems, data needs, requirements and effectively prioritizing. Design and plan for solutions in the various engineering subject areas as it relates to data storage technologies, data processing, enterprise system data architecture, and data management and analysis. Understand and implement complex set of business rules and calculations using a variety of data sources and easily break down ambiguous problems and propose impactful data modeling designs (Logical and Physical). Perform backend engineering work and create and maintain RESTful services. Apply a high level of expertise in SQL and familiarity with data science techniques, with a primary focus on how data should be used to solve business problems. Observe patterns, analyze root cause and suggest ideas to resolve issues in a development or production environment. Maintain multi-vendor enterprise infrastructure systems supporting a mixed client environment of Windows and Unix operating systems.

Master’s degree (U.S. or foreign equivalent) or Bachelor’s degree (U.S. or foreign equivalent) in Computer Science, Computer Information Systems, or a related field. Three (3) years of experience with a Master’s degree or five (5) years of experience with a Bachelor’s degree in the job offered or as a Software Developer or a related role. Prior work experience must include three (3) years of experience with a Master’s degree or five (5) years of experience with a Bachelor’s degree with: working with programming languages including Java or Python; building and deploying production grade code for APIs using frameworks in Java or Python; designing data models and schemas using SQL on either Relational or Distributed Databases; using one or more major relational/object databases for indexing, authentication, resource management, performance tuning and resiliency; using Java or Python unit testing tools including Junit, Pytest or nosetest; working with object-relational mapping (ORM) and its libraries; using Linux, including UNIX commands, to analyze, maintain and develop server-side scripts; working across the entire SDLC lifecycle of product development, including requirements gathering, functional and technical design, development, user acceptance testing, release procedures, change request analysis and production support; using CI/CD pipelines and tools to design, develop, test and deploy software in a Production Environment; maintaining code using any major source control system, such as SVN or GIT; and implementing automated tests through test driven development. Prior experience must also include two (2) years of experience with: building and optimizing ‘big data’ data pipelines, architectures and datasets using Hadoop, Spark or Kafka.


ABOUT GOLDMAN SACHS

At Goldman Sachs, we commit our people, capital and ideas to help our clients, shareholders and the communities we serve to grow. Founded in 1869, we are a leading global investment banking, securities and investment management firm. Headquartered in New York, we maintain offices around the world.

We believe who you are makes you better at what you do. We're committed to fostering and advancing diversity and inclusion in our own workplace and beyond by ensuring every individual within our firm has a number of opportunities to grow professionally and personally, from our training and development opportunities and firmwide networks to benefits, wellness and personal finance offerings and mindfulness programs. Learn more about our culture, benefits, and people at GS.com/careers.

We’re committed to finding reasonable accommodations for candidates with special needs or disabilities during our recruiting process. Learn more: https://www.goldmansachs.com/careers/footer/disability-statement.html

© The Goldman Sachs Group, Inc., 2020. All rights reserved.
Goldman Sachs is an equal employment/affirmative action employer Female/Minority/Disability/Veteran/Sexual Orientation/Gender Identity",10000+ Employees
144,Unknown / Non-Applicable,TSC,Government,$67 - $144 Per Hour(Employer est.),Remote,Government,State & Regional Agencies,Sr. Data Engineer,1796,3.6,"Executive Service
Data Analystics Statistical Research Specialist
Division of TennCare - Managed Care Oversight
Nashville, TN
Minimum Monthly Starting Salary: $5,222
Salary exceptions may be considered based on the background and experience of the individual applicant.",10000+ Employees
145,,SquadMethod,,$67 - $144 Per Hour(Employer est.),Remote,,,Senior Data Consultant,,,"Our Data and Analytics team is looking for a Senior Data Engineer. Data is essential for all our decision-making needs whether it’s related to product design, measuring advertising effectiveness, helping users discover new content or building new businesses in emerging markets. This data is deeply valuable and gives us insights into how we can continue improving our service for our users, advertisers and our content partners. Our Engagement and Retention (E&R) Data Tech team is seeking a highly hardworking Data Engineer with a strong technical background and passionate about diving deeper into Big Data to develop state of the art Data Solutions.
WHAT YOU'LL DO
Contribute to the design and growth of our Data Products and Data Warehouses around audience Engagement and Retention (E&R) data.
Design and develop scalable data warehousing solutions, building ETL pipelines in Big Data environments (cloud, on-prem, hybrid)",
146,,Toyota Connected North America,,$67 - $144 Per Hour(Employer est.),"Plano, TX",,,Data Scientist,,,"Our Direct client needs Senior Consultants who worked on below technologies from Data perspective.
Technologies: Watson Studio, Watson Machine Learning, Python, Opensource Data Science Libraries
Responsibilities:
Activity1 - Data Understanding and Feature Engineering
Review historical performance data for CSR Assignments and root cause analysis and define technique for validation;
Review existing models for reuse, if any;
Evaluate available data sources and data source content for project relevancy; and
Engage in exploratory data analysis.",
147,Unknown / Non-Applicable,"Insight Enterprises, Inc.",Information Technology,$67 - $144 Per Hour(Employer est.),Remote,Company - Private,IT Services,Assessment Engineer (Storage and Data Protection),2016,3.4,"Toyota Connected's Mobility team is responsible for building and managing our connected vehicle platforms, supporting product research using vehicle sensor data and creating new and exciting data services for Toyota customers that makes driving safer, more convenient, and fun. We're looking for a Data Scientist capable of using machine learning and statistical techniques to create state-of-the-art solutions for non-trivial, and arguably, unsolved problems. If you are results driven, interested in how to apply advanced Machine Learning techniques, would love to work with vehicle telemetry data and video, are deeply technical, highly innovative and long for the opportunity to build solutions for challenging problems that directly impact the company's bottom-line, we want to talk to you.
Responsibilities:
Use statistical and machine learning techniques to create scalable solutions for vehicle telemetry data and video analysis, and assist in performing R&D to drive discovery of new generation mobility products",51 to 200 Employees
148,$5 to $10 billion (USD),Salesforce,Information Technology,$67 - $144 Per Hour(Employer est.),Massachusetts,Company - Public,Enterprise Software & Network Solutions,Fall 2021 Co-op - Data and Automation Analyst,1988,3.9,"Assessment Engineer – Data Protection and Storage
We areInsight Enterprises (NASDAQ: NSIT)
As a Fortune 500-ranked global provider of digital innovation, cloud/data center transformation, connected workforce, and supply chain optimization solutions and services, we help clients successfully manage their IT today while transforming for tomorrow.
From IT strategy and design to implementation and management, our employees help clients innovate and optimize their operations to run smarter.
Microsoft Worldwide Modern Desktop Partner of the Year, 2018",5001 to 10000 Employees
149,$10+ billion (USD),Deloitte,Information Technology,$67 - $144 Per Hour(Employer est.),"Costa Mesa, CA",Company - Public,Computer Hardware & Software,AI Engineer - Hux,1999,4.4,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
About Futureforce University Recruiting
Our Futureforce University Recruiting program is dedicated to attracting, retaining and cultivating talent. Our interns and new graduates work on real projects that affect how our business runs, giving them the opportunity to make a tangible impact on the future of our company. With offices all over the world, our recruits have the chance to collaborate and connect with fellow employees on a global scale. We offer job shadowing, mentorship programs, talent development courses, and much more.
Job Category
Intern",10000+ Employees
150,$10+ billion (USD),Microsoft,Accounting & Legal,$100K - $130K (Employer est.),United States,Company - Private,Accounting,Content Developer 1,1850,3.9,"As an AI Engineer, you'll support the development and deployment of transformational AI capabilities for large clients. You'll combine leading open-source tooling and techniques with a suite of customer experience libraries and solutions, which automate the management of cross-channel communications with consumers for large clients. We make heavy use of the Python machine learning ecosystem, and build systems to deliver massive decisioning throughput, with tight latency constraints on our real-time systems. If you have deep experience in designing, implementing, automating, and deploying machine learning pipelines and workflows, we want to hear from you!
Your responsibilities will include:
Participate in all phases of the model development lifecycle
Solution productionalized machine learning to drastically reduce total cost per decision, moving expensive human-driven decisions to drastically cheaper and more effective machine-driven ones
Help design and implement functional requirements for client engagements

Successful skillsets for this role are:

Helpful, but not required:",10000+ Employees
151,$10+ billion (USD),Procter & Gamble,Information Technology,$100K - $130K (Employer est.),"Cincinnati, OH",Company - Public,Computer Hardware & Software,Data Scientist Masters,1975,4.4,"Content Developer, Microsoft Machine Learning documentation
Are you excited by AI, machine learning, and big data, and want to work with them up close? Do you love to play with code, data, and analytics tools? Are you a creative thinker with a passion for making a difference?

We’re looking for an experienced, empathetic instructional writer with a talent for making complex technologies accessible. You’re organized and thrive on deadlines. You enjoy the challenge of bringing together contributors to tell a compelling story. You’re customer-obsessed and eager to show impact. You set priorities using data. You use SEO practices to drive traffic to your documentation.

BTW: You sound awesome, and we would love to talk to you!

Here we highly value your skills and your work-life balance. Location in the greater-Seattle area isn’t required.",10000+ Employees
152,$10+ billion (USD),Cisco Systems,Manufacturing,$100K - $130K (Employer est.),"San Jose, CA",Company - Public,Consumer Products Manufacturing,Data Visualization Engineer,1837,4.2,"Do you enjoy design research and analytic frameworks? Use your creative and analytical skills to influence business leadership and get results. If this sounds like fun, we would love to hire someone with your skills and abilities.
As a Data Scientist, you'll be using Big Data and advanced analytics to direct the engagement of our business partners. Collaborate across functional partners and senior management to achieve various project objectives. We need someone who can execute research and analytics, including data source identification, processing, model/algorithm development. Ultimately you will be turning insights into impactful recommendations which will drive business value creation!
We need someone who is technically capable as a Data Scientist. You will get your hands dirty in the data, demonstrating artificial intelligence and analytic tools (R, Python, Scala, Spark, TensorFlow, Hadoop, KNIME, etc.) to unlock business building insights in our mountains of data. We are looking for you to be adept at demonstrating such technologies for solving ad hoc business problems, innovating on potential future solutions, and working with technology partners to translate your innovations into robust, scaled, analytic solutions.",10000+ Employees
153,$10+ billion (USD),Microsoft,Information Technology,$100K - $130K (Employer est.),"Charlotte, NC",Company - Private,Computer Hardware & Software,"Customer Engineer, Data & AI",1984,4.3,"Please note this posting is to advertise potential job opportunities. This exact role may not be open today, but could open in the near future. When you apply, a Cisco representative may contact you directly if a relevant position opens.
What You'll Do
Have you ever dreamt of joining a highly skilled team to build a groundbreaking product with a start-up spirit, yet the power of the top networking company in the world? This is the mission of our team. We are actively hiring highly skilled engineers, with a true passion for innovation. Our mission is to develop a new generation of routing engine for the Internet deeply using Data Analytics, Machine Learning (ML), and Artificial Intelligence (AI). The size, diversity, and richness of our data are simply unmatched. The Internet is changing fast, and we are too. The objective of this confidential product is to adopt a highly novel and ambitious approach for optimizing networks to better serve applications.
You will have a multi-faceted role, which covers data understanding and storytelling via visual analytics: You thrive in a dynamic environment that requires a rare blend of innovation and speed of execution. You are highly skilled in the trifecta for data visualization: visualization, statistical analysis and storytelling. You love playing with data and finding patterns that tell excellent data stories. You are skilled at extracting insights by applying visualization and statistical techniques from sophisticated, large and diverse datasets. You will research, build and deploy visualization frameworks for large datasets. You pride yourself on your communication and interpersonal skills, a keen eye for both aesthetic design and code. You have an ability to autonomously plan and organize your work assignments based on the objectives of the team. Who You'll Work With
Our team is made of engineers with a very diverse skillset united by their passion and the excitement of turning innovative ideas into products that impact the industry at large.
We love designing and implementing large-scale machine learning pipelines. Our technology stack includes Python, Scala, Go as well as a wide range of internal tools built on top of Apache Spark, TensorFlow, PostgreSQL and the Hadoop ecosystem. Who You Are
An agile, pragmatic, and hardworking engineer with experience in providing simple and intuitive visualization of sophisticated and intricate datasets. You love technology, innovation, and building products at scale.
You hold a degree in Computer Science or a related field with at least 6 years of experience. You can demonstrate a large portfolio of beautiful, intuitive, and interactive infographics that demonstrates your key strengths: Broad experience in turning diverse and sophisticated data into meaningful visualization. Attention to detail and an eye for aesthetic design. Experienced in Javascript (ES6) and data visualization technologies such as D3.js, Canvas, or WebGL. Knowledge of web frameworks (e.g., React) is a plus. Excellent quantitative, analytical, and communication skills; past experience working with mathematicians, scientists, or journalists is valuable. Excellent English spoken and written skills (C1 level) are a requirement. We Are Cisco
#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an inclusive future for all.
We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company. And a security company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!
But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)
Day to day, we focus on the give and take. We give our best, give our egos a break, and give of ourselves (because giving back is built into our DNA.) We take accountability, bold steps, and take difference to heart. Because without diversity of thought and a dedication to equality for all, there is no moving forward.
So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!",10000+ Employees
154,$10+ billion (USD),Teladoc Health,Information Technology,$100K - $130K (Employer est.),Colorado,Company - Public,Computer Hardware & Software,Data Engineer,1975,4.4,"We are currently looking for Customer Engineers to join our teams across the United States with our MSUS business groups: Enterprise, Small Medium & Corporate, and our Regulated Industry teams.

Microsoft is on a mission to empower every person and every organization on the planet to achieve more. Our culture is centered on embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. In doing so, we create life-changing innovations that impact billions of lives around the world. You can help us to achieve our mission.

Customer Success: Microsoft aspires to help our customers achieve their own digital transformation, leveraging the power of Microsoft Cloud solutions and support offerings. To this end, Microsoft invests in a dedicated Customer Success team with Customer Engineers, who will help Microsoft customers successfully realize their business outcomes.

Customer Engineers (CEs) are deep technical advisors supporting customers to deliver unique value by removing blockers to consumption within their given Solution Area. The Customer Engineer provides support delivery services as well as technical readiness. Customer Engineer services can be delivered either remotely or on-premises, and this role can include a mixture of short and long-term customer engagements.",10000+ Employees
155,$10+ billion (USD),Procter & Gamble,Manufacturing,$100K - $130K (Employer est.),"Cincinnati, OH",Company - Public,,Data Scientist PhD,2002,4.0,"The Opportunity
Teladoc Health is transforming how people access and experience healthcare. Recognized as the world leader in virtual care, we are partnering with over a thousand clients to serve hundreds of thousands (soon millions!) of people living with chronic conditions every day. Teladoc Health offers a whole person virtual care platform that empowers all people everywhere to live their healthiest lives by transforming the healthcare experience, from acute and primary care to chronic care, mental health, and specialty care. Our team of data scientists aggregate and interpret substantial amounts of health data and information to create actionable, personalized, and timely health signals for our members. This approach delivers better clinical and financial outcomes while creating a different and better healthcare experience for people everywhere.
Responsibilities",1001 to 5000 Employees
156,$10+ billion (USD),,Manufacturing,$100K - $130K (Employer est.),Remote,Company - Public,Consumer Products Manufacturing,Data Scientist,1837,4.2,"Do you enjoy design research and analytic frameworks? How would you like to use your creative and analytical skills alongside business leadership in your everyday work? If this sounds appealing, we would love to hire someone with your skills and abilities!
As a PhD Data Scientist, you'll be using Big Data and advanced analytics to direct the engagement of our business leaders.

Collaborating actively across functional partners and senior management to accomplish various project objectives.
Executing research and analytics, including data source identification, processing, model/algorithm development.
Turning insights into actionable recommendations which will drive business value creation.",10000+ Employees
157,,Albertsons Companies,,$100K - $130K (Employer est.),"Pleasanton, CA",,,Payment Data Scientist,,,"Data Scientist for Halo Solutions
Job Title: Data Scientist
Location: Remote
Terms: Part time, Contract basis
Company Description:
Our central goal at Halo Solutions is helping healthcare organizations use their data more effectively.
Our primary focus right now is preventing missed cancer diagnoses using artificial intelligence. In order to do this, we work closely with data scientists, software engineers, physicians, and hospital administrators, all of whom share a common vision for improving patient health.",
158,$10+ billion (USD),Ford Motor Company,Retail,$100K - $130K (Employer est.),"Dearborn, MI",Company - Public,Grocery Stores & Supermarkets,GDIA Associate Data Engineer,1939,3.4,"Albertsons Companies is one of the largest food and drug retailers with 2,300+ stores. The Albertsons Companies family of brands includes some of the most prominent brands in food retailing, with a growing base of loyal shoppers. Thanks to the professionalism, diversity, spirit, and friendliness of our people, we have locations across the U.S.

The Technology Department has an opening for a Payment Data Scientist. This position is located in Pleasanton, California.

The Payments team is newly formed and will oversee the strategic and operational infrastructure required to support a consumer-focused brand, in both a physical and digital world. In this role, you'll be joining a Data Science team under Payments focusing on driving the future vision of payments technology and building world class products. The ideal candidate will be a self-starter, who has an eye for detail, is extremely thorough, and works well with ambiguity. Additionally, proficiency with SQL and data analytics is required.",10000+ Employees
159,$10+ billion (USD),Facebook,Manufacturing,$100K - $130K (Employer est.),Remote,Company - Public,Transportation Equipment Manufacturing,Applied Research Scientist (University Grad),1903,4.1,"Dearborn
Ford Motor Company
GDIA
Job Description & Qualifications
At Ford Motor Company, we believe freedom of movement drives human progress. We also believe in providing you with the freedom to define and realize your dreams. With our incredible plans for the future, we have a wide variety of opportunities for you to accelerate your career potential as you help us define tomorrow’s transportation.
Within the Global Data Insight and Analytics (GDIA) Data Factory, an exciting opportunity awaits you on a team chartered with supporting some of Ford's most visible initiatives. The role of the Data Engineer is a critical enabler to the development of our Data Supply Chain including Customer, Connected Vehicle and Mobility data. The engineer will ensure that data standards, information interoperability, data quality, and data availability fully support the goals of GDIA and the enterprise.",10000+ Employees
160,$10+ billion (USD),The New York Times,Information Technology,$100K - $130K (Employer est.),"New York, NY",Company - Public,Internet,Data Scientist (Algorithmic Targeting),2004,4.3,"Facebook's Enterprise Engineering team develops and maintains scalable products that power the enterprise. Enterprise Product Applied Research team is composed of applied quantitative and computational experts using machine learning, statistics and operations research to bring in step-level improvements in efficiency and scalability across the entire suite of enterprise products. As a member of Enterprise Engineering, you will play a key role in reimagining productivity by shipping transformative products that serve diverse aspects of the enterprise.
Build pragmatic, scalable, and statistically rigorous scientific solutions for large scale enterprise problems by leveraging or developing state-of-the-art machine learning and optimization methodologies on top of Facebook's unparalleled data infrastructure.
Work cross-functionally to define problem statements, collect data, build analytical models and deploy them at scale.
Build and maintain data driven machine learning models, optimization models, experiments and forecasting algorithms.
#LI-REMOTE",10000+ Employees
161,,PRA Health Sciences,,$100K - $130K (Employer est.),Remote,Unknown / Non-Applicable,,Statistical Programmer 1,Company - Private,3.9,"The New York Times is a technology company committed to producing the world’s most reliable and highest quality journalism. Our ability to do so relies on a talented team of expert technologists who help NYT learn from a tremendous abundance of data unique to this company. The Times seeks a Data Scientist to join the Data Science Group applying machine learning methods to meet this challenge, in close collaboration with working partners across the company.
The Algorithmic Targeting team (ALTA) focuses on promoting subscription and retention through the development, deployment, testing, and analysis of machine learning models. We are a cross-functional group of analytics, data science, and engineering that partners with teams across The New York Times.
Responsibilities:
Reframe business objectives as machine learning tasks that can deliver actionable insights, accurate predictions, and effective optimization",1 to 50 Employees
162,$2 to $5 billion (USD),Toyota Connected North America,Biotech & Pharmaceuticals,$100K - $130K (Employer est.),"Plano, TX",Company - Public,Biotech & Pharmaceuticals,Data Scientist,1976,4.1,"ICON plc is a world-leading healthcare intelligence and clinical research organisation. From molecule to medicine, we advance clinical research providing outsourced services to pharmaceutical, biotechnology, medical device and government and public health organisations.

With our patients at the centre of all that we do, we help to accelerate the development of drugs and devices that save lives and improve quality of life.

Our people are our greatest strength, are at the core of our culture, and the driving force behind our success. ICON people have a mission to succeed and a passion that ensures what we do, we do well.
Responsibilities",10000+ Employees
