,Revenue,Job Title,Location,Company Name,Rating,Size,Sector,Founded,Salary Estimate,Type of Ownership,Job Description,Industry
242,Unknown / Non-Applicable,Senior Software Development Engineer,"Austin, TX",SubjectWell,3.9,201 to 500 Employees,Business Services,2015,$25K - $54K (Glassdoor est.),Company - Private,"Overview:
About Us
Founded in 2015, originally known as ‘Syft’ as a Startup to disrupt the temp staffing industry. In 2019, Syft was acquired by Indeed.com, the world’s #1 job site, allowing us to match our synergies and skyrocket our journey. Today, we are known as ‘Indeed Flex’ with nearly 250 employees spanning across the UK & US.

What is Indeed Flex?
We are an on-demand marketplace helping Job Seekers and Employers have 100% control and choice over shifts worked in real time. We want to enable Job Seekers to control their schedule, choose their work and enable them to work as many or as few shifts as they want. The platform enables Employers to book reliable, rated and verified staff immediately. At Indeed Flex, we’re harnessing innovative technology to revolutionise the flexible staffing sector.

Our Mission



Responsibilities:
Qualifications:",Staffing & Outsourcing
243,,Airline Operations Analysis,"Fort Worth, TX",Allied Pilots Association,,,,,$25K - $54K (Glassdoor est.),,"Senior Software Development Engineer

About SubjectWell

SubjectWell is a venture-backed technology company on an unstoppable mission to disrupt the antiquated $100 billion-dollar clinical trial patient recruitment sector. Almost all clinical trials fall behind schedule, leaving patients unable to access the most promising treatments and pharmaceutical and biotech companies unable to quickly carry their innovations to market. SubjectWell was founded by two entrepreneurs on their third successful startup, to unlock the potential of a true marketplace for clinical trials. We leverage proven data science and performance marketing techniques to hit a hard reset to the massive patient recruitment challenge that sits at the critical nexus of speeding delivery of the best therapeutics to the world.",
244,,Sales & Marketing Data Analyst,"Brooklyn Park, MN",McLaughlin Gormley King,,,,,$25K - $54K (Glassdoor est.),,"Qualifications/Requirements:
Bachelor’s Degree in a quantitative discipline (e.g. operations research, data sciences, computer science, applied mathematics, decision sciences, statistics, economics) with at least five (5) years of experience in operations/planning (minimum two (2) years of experience with a Master’s Degree)
A minimum of 3 years of SAS Viya programming experience
Excellent quantitative and analytical skills with an aptitude for problem solving
MS SQL server query development and SAS programming to extract findings from relational data tables
Familiarity with SABRE/DECS system preferred
Expertise in at least one computer programming language in addition to SAS, such as Python, R, C#, or Java",
245,,IT Data Engineer Operations,"East Petersburg, PA",ASC - East Petersburg,,,,,$25K - $54K (Glassdoor est.),,"**This is not a remote position***

General Description:
The Sales & Marketing Data Analyst will support both the sales and marketing teams through identifying, organizing and analyzing internal and external data. Managing user specific data platforms and creating data management warehousing reporting. The Analyst monitors the health of databases, and connects business problem statements with solution datasets.
Principal Responsibilities:
Provide scheduled and adhoc analytical reports to MGK.com business owners.
Help business partners identify KPI’s that align to their business goals and to their business objectives.
Analyze selected data sources to ensure user experiences are aligning to business goals and KPI.",
246,,Project Controls Manager,"Dallas, TX",Linesight,,,,,$25K - $54K (Glassdoor est.),,"Overview

The Data Operations Engineer is responsible to design, develop, test, deliver and maintain data engineering solutions that support the Corporation's business. Engages in the entire database development process, from inception through delivery. Participates in the design and implementation of database development standards and procedures.
This position is open to a flexible working location out of our East Petersburg, PA or Philadelphia, PA offices (Post Pandemic).

Responsibilities
Responsible for maintaining the integrity and performance of company databases and guarantee that data is stored securely and optimally. Monitor the production schedule and provide support to remediate job failures. Leverage technology to automate routine processes. Monitor key performance indicators and recovery time objectives to meet service level agreements and maximize value to the business. Provide production support to business users. Monitor and tune databases for which we are responsible and direct the work of vendors where they are responsible for the Database Administrator function. Support enterprise wide compliance with enterprise standards, processes and policies.",
247,,Data Scientist Technical Specialist,"Chantilly, VA",Peraton,,,,,$25K - $54K (Glassdoor est.),,"Overview

The Data Operations Engineer is responsible to design, develop, test, deliver and maintain data engineering solutions that support the Corporation's business. Engages in the entire database development process, from inception through delivery. Participates in the design and implementation of database development standards and procedures.
This position is open to a flexible working location out of our East Petersburg, PA or Philadelphia, PA offices (Post Pandemic).

Responsibilities
Responsible for maintaining the integrity and performance of company databases and guarantee that data is stored securely and optimally. Monitor the production schedule and provide support to remediate job failures. Leverage technology to automate routine processes. Monitor key performance indicators and recovery time objectives to meet service level agreements and maximize value to the business. Provide production support to business users. Monitor and tune databases for which we are responsible and direct the work of vendors where they are responsible for the Database Administrator function. Support enterprise wide compliance with enterprise standards, processes and policies.",
248,$500 million to $1 billion (USD),Health Care Data Scientist,"Chicago, IL","Vizient, Inc.",4.1,1001 to 5000 Employees,Health Care,1977,$25K - $54K (Glassdoor est.),Company - Private,"Technology is constantly changing and our adversaries are digitally exceeding law enforcement’s ability to keep pace. Those charged with protecting the United States are not always able to access the evidence needed to prosecute crime and prevent terrorism. The Government has trusted in Peraton to provide the technical ability, tools, and resources to bring criminals to justice. In response to this challenge, these employees provide proven, industry leading cloud development experience for our enforcement customer. At Peraton you will help protect our national security by working with our countries law enforcement customer to solve their big data challenges. Peraton is looking for a talented Data Scientist, to analyzing production data which will lead to the program choosing right-fit technology solutions.
What you’ll do…
Support advanced data exploitation capabilities using Hadoop related technologies",Health Care Services & Hospitals
249,$500 million to $1 billion (USD),Data Architect,Remote,World Services LLC,4.1,1001 to 5000 Employees,Health Care,1977,$25K - $54K (Glassdoor est.),Company - Private,"When you’re the best, we’re the best. We instill an environment where employees feel engaged, satisfied and able to contribute their unique skills and talents. We provide extensive opportunities for personal and professional development, building both employee competence and organizational capability to fuel exceptional performance now and in the future.
Summary:
In this role, you will conduct sophisticated data analysis to help address critical business and member questions, the outputs of which enable members to drive improvements in clinical, operational, and economic outcomes.
Responsibilities:
Provide analysis to identify critical issues/questions around member performance.
$99,300.00 - $147,700.00",Health Care Services & Hospitals
250,,Promotions Data Analyst,"Arlington, VA",Lidl US,4.7,,,,$25K - $54K (Glassdoor est.),,"About us
World Services LLC is an IT engineering, solutions and management consulting firm that delivers leading-edge information management and information technology services to a wide variety of government and commercial clients. World Services offers a wide variety of IT services to support enterprises at every level. These include Management Consulting, Cloud Architecture, Software Development, Agile Implementation, Data Science and Analytics, Systems Engineering, and Cyber Security services.
Our Culture - World Services offers an upbeat and positive work environment in which our employees discover their strengths, unleash their creativity, acquire new knowledge, develop new skills, and build long-term relationships with like-minded and driven professionals. Our employees are our most valued resource; therefore, their needs, well-being, and prosperity is our first priority. We also create an open atmosphere through access to executive leadership, freedom to challenge the status quo and ask questions, and transparency in company operations.",
251,,Data Scientist,"Milwaukee, WI",Clarios,,,,,$25K - $54K (Glassdoor est.),,"Summary
The Food Promotions Analytics Analyst - is responsible for supporting tasks basket and item level analysis. This individual assists in analyzing promotional items, optimizing pricing, and well as recommending promotional price optimization and other promotional opportunities by region.
What You’ll Do
Support in reporting and analyzing weekly and seasonal promotional assortments by the necessary deadlines
Prepare promotional market analysis and propose new promotional products and strategy initiatives for assigned categories",
252,,Sr. Security Data Scientist,Remote,Alyn Inc.,,,,,$25K - $54K (Glassdoor est.),,"Summary
The Food Promotions Analytics Analyst - is responsible for supporting tasks basket and item level analysis. This individual assists in analyzing promotional items, optimizing pricing, and well as recommending promotional price optimization and other promotional opportunities by region.
What You’ll Do
Support in reporting and analyzing weekly and seasonal promotional assortments by the necessary deadlines
Prepare promotional market analysis and propose new promotional products and strategy initiatives for assigned categories",
253,$10+ billion (USD),"Machine Learning Engineer, Siri Understanding (Cambridge, MA)","Cambridge, MA",Apple,,10000+ Employees,Information Technology,1976,$25K - $54K (Glassdoor est.),Company - Public,"What you will do
The Data Scientist will play a pivotal role in planning, executing and delivering machine learning-based projects. The bulk of the work will be in machine learning (ML) modelling, management and problem analysis, data exploration and preparation, data collection and integration, operationalization.
The Data Scientist will be a key interface between the analytics team and the business(s) and various other departments (such as IT). Candidates need to be very much self-driven, curious and creative.
How you will do it
Problem Analysis and Project Management
Guide and inspire the organization about the business potential and strategy of artificial intelligence",Computer Hardware & Software
254,Unknown / Non-Applicable,Sugar Land Data Science Tutor Jobs,"Sugar Land, TX",Varsity Tutors,4.1,201 to 500 Employees,Information Technology,2007,$22K - $48K (Glassdoor est.),Company - Private,"#Sugar Land Data Science Tutor Jobs
Varsity Tutors has students in #Sugar Land looking for Data Science tutoring. Varsity Tutors is a live learning platform that connects tutors with students to provide personalized learning. In addition to having knowledge of Data Science, clients also look for tutors who are friendly, articulate, and reliable. Working as a tutor on the Varsity Tutors platform includes several benefits, such as the flexibility to schedule your own sessions and to choose your own hours. We put forth great effort to match tutors to students, resulting in productive learning experiences. Tutors working with Varsity Tutors are paid twice a week and choose their own tutoring load. There are multiple ways for tutors to earn while tutoring on the Varsity Tutors platform:
In-Person tutoring
Online tutoring (you can use the Varsity Tutors online tutoring platform to tutor anywhere and at anytime)",Internet
255,Unknown / Non-Applicable,Dallas Fort Worth Data Science Tutor Jobs,"Dallas, TX",Varsity Tutors,4.1,201 to 500 Employees,Information Technology,2007,$22K - $48K (Glassdoor est.),Company - Private,"#Sugar Land Data Science Tutor Jobs
Varsity Tutors has students in #Sugar Land looking for Data Science tutoring. Varsity Tutors is a live learning platform that connects tutors with students to provide personalized learning. In addition to having knowledge of Data Science, clients also look for tutors who are friendly, articulate, and reliable. Working as a tutor on the Varsity Tutors platform includes several benefits, such as the flexibility to schedule your own sessions and to choose your own hours. We put forth great effort to match tutors to students, resulting in productive learning experiences. Tutors working with Varsity Tutors are paid twice a week and choose their own tutoring load. There are multiple ways for tutors to earn while tutoring on the Varsity Tutors platform:
In-Person tutoring
Online tutoring (you can use the Varsity Tutors online tutoring platform to tutor anywhere and at anytime)",Internet
256,$10+ billion (USD),"AWS Cloud Enablement - Analytics & Cognitive, Senior Consultant","Cincinnati, OH",Deloitte,4.1,,Accounting & Legal,1850,$22K - $48K (Glassdoor est.),Company - Private,"#Dallas Fort Worth Data Science Tutor Jobs
Varsity Tutors has students in #Dallas Fort Worth looking for Data Science tutoring. Varsity Tutors is a live learning platform that connects tutors with students to provide personalized learning. In addition to having knowledge of Data Science, clients also look for tutors who are friendly, articulate, and reliable. Working as a tutor on the Varsity Tutors platform includes several benefits, such as the flexibility to schedule your own sessions and to choose your own hours. We put forth great effort to match tutors to students, resulting in productive learning experiences. Tutors working with Varsity Tutors are paid twice a week and choose their own tutoring load. There are multiple ways for tutors to earn while tutoring on the Varsity Tutors platform:
In-Person tutoring
Online tutoring (you can use the Varsity Tutors online tutoring platform to tutor anywhere and at anytime)",Accounting
257,$10+ billion (USD),"Healthcare Data Analyst, Member Services","Arlington, VA",CareJourney,3.9,10000+ Employees,Accounting & Legal,1850,$22K - $48K (Glassdoor est.),Company - Private,"The Team
Analytics & Cognitive
In this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment.
The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets.
Analytics & Cognitive will work with our clients to:






#IND:CONS",Accounting
258,$10+ billion (USD),Financial Reporting Analyst,"Tempe, AZ",MUFG,3.6,51 to 200 Employees,Finance,2015,$22K - $48K (Glassdoor est.),Company - Public,"CareJourney’s mission is to empower individuals and organizations they trust with open, clinically-relevant analytics and insights in the pursuit of the optimal healthcare journey. We are a fast-growing start-up in Arlington, VA that builds software products to serve industry-leading customers that include Pfizer, Humana, and Microsoft. Our founders and leadership developed the policy and technology in the public and private sector that shape the work we do today. We are looking for driven professionals that are excited to join a growing business where they will have a strong voice in the direction and success of the company. Our culture embraces teamwork and cross-functional collaboration for a fun and exciting environment.

We are looking for a talented, motivated, and high-performing Analyst to join our Member Services team. The Analyst will demonstrate strong analytic, project management and interpersonal skills to support assigned customers and projects. They will be responsible for performing analyses to inform member’s business strategies and decisions, communicating and delivering on key milestones based on member priorities, and supporting the development and deployment of CareJourney’s suite of insights, products and services to its member-base.",Banks & Credit Unions
259,$10+ billion (USD),Senior Consultant (m/f/d) Americas,Massachusetts,Signavio,3.4,10000+ Employees,Finance,1864,$22K - $48K (Glassdoor est.),Company - Public,"Do you want your voice heard and your actions to count?

Discover your opportunity with Mitsubishi UFJ Financial Group (MUFG), the 5th largest financial group in the world (as ranked by S&P Global, April 2020). In the Americas, we’re 13,000 colleagues, striving to make a difference for every client, organization, and community we serve. We stand for our values, developing positive relationships built on integrity and respect. It’s part of our culture to put people first, listen to new and diverse ideas and collaborate toward greater innovation, speed and agility. We’re a team that accepts responsibility for the future by asking the tough questions and owning the solutions. Join MUFG and be empowered to make your voice heard and your actions count.

We're seeking an Accounting Analyst to provide assurance, control, and maintenance over the general ledger, which serves as the backbone of financial and managerial reporting. As a member of this team, you will serve as a key partner during new system implementations and new product releases.",Banks & Credit Unions
260,$1 to $2 billion (USD),Principal Data Engineer,"Camden, NJ",NFI Industries,3.2,5001 to 10000 Employees,Transportation & Logistics,1932,$22K - $48K (Glassdoor est.),Company - Private,,Logistics & Supply Chain
261,$1 to $2 billion (USD),People Analytics - Data Analyst,"La Crosse, WI",Gundersen - La Crosse Main Campus,3.2,5001 to 10000 Employees,Transportation & Logistics,1932,$22K - $48K (Glassdoor est.),Company - Private,"The NFI Data and Analytics group is looking for a Principal Data Engineer based in the Camden New Jersey headquarters to join our growing team to support NFI’s needs for data driven analytics. Guided by NFI’s shared values, we work in an environment where collaboration, teamwork, respect, and openness are highly valued.

The ideal candidate will have a solid understanding of data architecture technologies, high throughput data processing, and big data platforms. High level responsibilities will include designing, creating, deploying and managing data architectures, storage, integration, and consumption of enterprise data managed by different data entities and IT systems, as well as any applications using or processing that data.

Essential Duties & Responsibilities:
Translate business needs into long-term data architecture solutions

Design and develop object and data models and data repositories structured for optimized management and high performance access.

Lead the implementation of enterprise data architectures

Work closely with other Data Engineers, IT managers, and developers to ensure understanding and support of data architecture priorities

Define, design, and build dimensional databases and data pipelines to support analytics projects

Partner with various teams to define and execute data acquisition, transformation, processing and make data actionable for operational and analytics initiatives

Review, test, and troubleshoot database structures and code

Develop strategies for data acquisitions, archive, recovery, and implementation

Create prototypes and proofs of concept for iterative development

Deliver end-to-end analytics projects from data ingest through data visualization

Develop, communicate, and present solutions architectures to both business and technical stakeholders

Monitor, troubleshoot, and optimize performance of enterprise data pipelines and data repositories

Provide technical guidance and support to developers, data engineers, and data administrators


Bachelor's Degree in Computer Science, or related discipline.

10+ years of professional technical experience with 5+ years in data engineering and analytics technologies including ETL and BI

Expertise leading technical teams in the implementation of end-to-end enterprise data solutions

Good knowledge of enterprise data environments, which include database design, metadata infrastructure, and business analytics

Demonstrated experience in designing and implementing structured enterprise and analytic data engineering solutions

Advanced database development skills and experience

Knowledge of UML and object-oriented design

In-depth knowledge with enterprise data implementation methodologies, and technologies with prior experience delivering full suite implementations.

Knowledge of Agile common frameworks

Demonstrated experience and knowledge in database concepts and large-scale database design

Experience developing flexible data ingest and enrichment pipelines to easily accommodate new and existing data sources

Good knowledge of Microsoft SQL Server and/or Oracle.

Ability to communicate complex technical terminology, concepts and issues in terms understandable to technical and non-technical audiences

Excellent oral and written communication skills

Strong interpersonal skills to resolve problems in a professional manner by leading working groups to negotiate and create consensus

Self-starter with an entrepreneurial spirit

Experience masking and replicating large data sets, a plus

Engineering unstructured datasets in a cloud environment, a plus

Java / R/ Python, Big data, IoT, and Data science, a plus

Distribution or Transportation Logistics experience, a plus

Please, no phone calls or emails to any employee of NFI about this opening. All resumes submitted by search firms/employment agencies to any employee at NFI via-email, the internet or in any form and/or method will be deemed the sole property of NFI, unless such search firms/employment agencies were engaged by NFI for this position and a valid agreement with NFI is in place. In the event a candidate who was submitted outside of the NFI agency engagement process is hired, no fee or payment of any kind will be paid.

#LI-BS1",Logistics & Supply Chain
262,,DATA SCIENTIST,"Bakersfield, CA",Grimmway Enterprises,3.7,5001 to 10000 Employees,$1 to $2 billion (USD),1891,$22K - $48K (Glassdoor est.),Hospital,"Love + medicine is who we are, it's what we do, it's why people want to work here. If you’re looking for a job to love, apply today.
Schedule Weekly Hours:
40
The Department of People Analytics is looking for an experienced Data Analyst.

Join our team at the Gundersen Health System People Analytics Department and see the difference your analysis can make in enriching every life!

Your analytic talent will help innovate solutions to continuously improve the experience of patients and employees at Gundersen Health System. You will explore, find links, and create predictive models for diverse data and projects including patient experience, workforce planning, staffing projections, engagement, career planning, demographics, and more.",Health Care Services & Hospitals
263,,Sr Staff Data Engineer,"Santa Clara, CA",ServiceNow,3.4,1001 to 5000 Employees,$1 to $2 billion (USD),Company - Private,$22K - $48K (Glassdoor est.),Wholesale,"Overview:
PURPOSE:
Perform functions including support, analysis, and business process development with the ability to work across multiple departments including farming, operations and sales.

ESSENTIAL JOB FUNCTIONS:
Mine and analyze data from company databases and create apps and reports to drive optimization and improvement of agriculture operations
Assess the effectiveness and accuracy of new data sources and data gathering techniques
Develop custom data models and algorithms to apply to data sets
Use predictive modeling and linear programming optimize agriculture operations
Develop company A/B testing framework and test model quality
Additional Info:

Benefits:",Business Services
264,,Development Data Scientist III,"Grapevine, TX",Paycom Payroll Llc,3.4,1001 to 5000 Employees,$1 to $2 billion (USD),Company - Private,$22K - $48K (Glassdoor est.),Wholesale,"Overview:
PURPOSE:
Perform functions including support, analysis, and business process development with the ability to work across multiple departments including farming, operations and sales.

ESSENTIAL JOB FUNCTIONS:
Mine and analyze data from company databases and create apps and reports to drive optimization and improvement of agriculture operations
Assess the effectiveness and accuracy of new data sources and data gathering techniques
Develop custom data models and algorithms to apply to data sets
Use predictive modeling and linear programming optimize agriculture operations
Develop company A/B testing framework and test model quality
Additional Info:

Benefits:",Business Services
265,,"Sr. Scientist, Bioreactor Process Design","Redmond, WA",Just - Evotec Biologics,4.4,1 to 50 Employees,,Company - Private,$22K - $48K (Glassdoor est.),$1 to $5 million (USD),"Translate business problems and opportunities into data science projects. Conduct data analysis and build machine learning models for internal and client-facing applications. Present findings to key stakeholders. Deploy production models.

RESPONSIBILITIES
Meet with business leaders to understand business challenges and opportunities, and then frame these as data science problems
Identify data sources and evaluate suitability for use in analysis and modeling
Extract data from enterprise systems and clean the data for analysis and modeling",
266,,SQL Data Analyst,"East Haven, CT",Town Fair Tire,4.8,1 to 50 Employees,$100 to $500 million (USD),Company - Private,$22K - $48K (Glassdoor est.),Auto Repair & Maintenance,"Just Evotec Biologics is seeking a motivated and creative senior scientist who desires a significant opportunity to improve worldwide access to biotherapeutics. The new scientist/engineer will join a fast-paced, collaborative, and multidisciplinary team to develop bioreactor processes at 1-50L scale for the advancement of low-cost biotherapeutics manufacturing. As a key member of the bioreactor group, the successful candidate will have significant experience with mammalian cell culture in bioreactors, strong experimental design and data analysis skills, and experience mentoring junior staff. Experience with media development, perfusion cell culture, high throughput or automated cell culture systems such Ambr, and/or process characterization/validation is a plus. The ideal candidate has strong written and verbal communication skill, works well independently and in teams, and is excited about improving processes and technology.
Responsibilities:
Work in teams to develop bioreactor processes for early and late stage biotherapeutics manufacturing","Construction, Repair & Maintenance"
267,$10+ billion (USD),Senior Statistical Analyst - Marketing Analytics,"Westlake, TX",Charles Schwab,2.6,1001 to 5000 Employees,$100 to $500 million (USD),Company - Private,$22K - $48K (Glassdoor est.),Auto Repair & Maintenance,"Green Card holder or US Citizen!
Full Time onsite permanent employment opportunity!
No remote work whatsoever.
Must work onsite in East Haven, CT.
Town Fair Tire is seeking a highly motivated SQL Data Analyst to join a mid-sized team of Software Developers & Data Scientists. SQL Data Analyst’s role is to create and manage BI and analytics solutions. Ideal candidate must have 2-5 years of experience in SQL Server 2008-2019, Qlikview, IBM Cognos, SQL Server Reporting Services (SSRS) and SQL Server Integration Services (SSIS).
Duties and Responsibilities:
 Translate business needs to technical specifications
 Design, build and deploy BI solutions
 Maintain and support data analytics platforms (e.g. Qlikview & IBM Cognos)
 Evaluate and improve existing BI systems
 Design, develop and implement complete life cycle of data warehouses
 Develop underlying data models and databases
 Report curation and data modeling
 Collaborate with teams to integrate systems
 Develop and execute database queries and conduct analyses
 Create visualizations and reports for requested projects
 Resolve and troubleshoot complex issues related to BI Reporting
 Develop and update technical documentation
 Locate and define new process improvement opportunities
Requirements:
To be considered for this job, candidates may be required to have the following skills and experience:
 Bachelor's degree in computer science, information technology, computer programming, or similar
 Proven experience as a BI Developer or Data Analyst
 Strong knowledge of and experience with Structured Query Language (SQL)
 Data analysis background is preferred
 Background in data warehouse design (e.g. dimensional modeling) and data mining
 In-depth understanding of database management systems, online analytical processing (OLAP) and ETL (Extract, transform, load) framework
 Experience with SQL Replication is preferred
 Proven experience in Qlikview & IBM Cognos
 Knowledge of SQL Server Reporting Services (SSRS) and SQL Server Integration Services (SSIS)
 Knowledge of Qlik NPrinting is preferred
Personal Attributes:
 Proactive attitude toward improving and optimizing existing and future systems
 Strong interpersonal, written, and oral communication skills
 Ability to present ideas in user-friendly language
 Highly self-motivated and directed, with keen attention to detail
 Proven analytical and problem-solving abilities
 Able to effectively prioritize tasks in a high-pressure environment
 Strong customer service orientation
 Experience working in a team-oriented, collaborative environment","Construction, Repair & Maintenance"
268,$10+ billion (USD),"GCP Cloud Enablement - Analytics & Cognitive, Senior Consultant","Cincinnati, OH",Deloitte,3.9,10000+ Employees,Finance,1973,$22K - $48K (Glassdoor est.),Company - Public,"Your Opportunity

Do you know how to create marketing analytics to drive growth? Do you enjoy working hands-on with client data and attribution analytics? Then we want you on our team!

Our large client base and multi-channel service and sales environment offers a rich environment for uncovering new insights that matter. Our dynamic business generates many questions that provide lots of opportunity to get deep in data and have real impact.

Data, Analytics and Business Insight (DAI) is a smart, fun team of 240+ that provide quantitative decision support to multiple business units across Schwab. We help our business partners better understand the needs and behaviors of our prospects and clients through analytics, data science, market research, and business intelligence.",Investment Banking & Asset Management
269,$10+ billion (USD),Systems Analyst/Systems Engineer,"Laurel, MD",Johns Hopkins Applied Physics Laboratory (APL),3.9,10000+ Employees,Accounting & Legal,1850,$22K - $48K (Glassdoor est.),Company - Private,"The Team
Analytics & Cognitive
In this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment.
The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets.
Analytics & Cognitive will work with our clients to:






#IND:CONS",Accounting
270,$10 to $25 million (USD),Digital Marketing Specialist,"Cedar Falls, IA",Western Home Communities,,501 to 1000 Employees,Health Care,1912,$22K - $48K (Glassdoor est.),Nonprofit Organization,"The Team
Analytics & Cognitive
In this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment.
The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets.
Analytics & Cognitive will work with our clients to:






#IND:CONS",Health Care Services & Hospitals
271,Unknown / Non-Applicable,Senior Scheduler,"Dallas, TX",Linesight,4.2,501 to 1000 Employees,Business Services,,$22K - $48K (Glassdoor est.),Company - Private,"1st shift: Full-time opportunity available
DUTIES: Lead all aspects of digital marketing campaigns (SEO/SEM, social media, email, display ads, database marketing) from idea through implementation and analysis. Focus primarily but not exclusively on campaigns that increase resident census, attract new clients and increase number of qualified job applicants. Collaborate with human resources recruiters to develop effective digital campaigns including objectives, strategy, tactics, KPIs, budget and timelines. Serve on creative team that brainstorms campaigns for print, television and digital ads. Perform other functions as assigned by CCO or System Director of Marketing and Sales.
REQUIREMENTS: Bachelor’s degree in marketing, public relations, business, data science or related field. 2+ years of experience in digital marketing. Experienced in execution of paid social media campaigns. Ability to juggle multiple projects at once. Painstaking attention to detail. Skilled in use of video and photo editing software, such as Adobe Creative Cloud. Effective problem-solver. Strong analytical and copywriting skills.",Consulting
272,Unknown / Non-Applicable,Architect - Microsoft Solutions,"Houston, TX",Credera,4.4,501 to 1000 Employees,Business Services,1974,$22K - $48K (Glassdoor est.),Company - Private,"Senior Scheduler
Position Summary:
The Planner will provide full project planning services across all phases of the program. Major phases of the works may include; engineering, procurement, construction, commissioning, start-up, including start up requirements. The successful candidate will be capable of working independently from a scheduling perspective but expected to participate and heavily contribute to the team environment by leading and clearly communicating the planning deliverables from conception through to successful completion and close out.

Role and Responsibilities:",Consulting
273,$2 to $5 billion (USD),Data Analyst,"Washington, DC",General Dynamics,3.8,10000+ Employees,Information Technology,1996,$22K - $48K (Glassdoor est.),Subsidiary or Business Segment,,IT Services
274,$2 to $5 billion (USD),Experienced Automation Manufacturing Engineer - Swing Shift,"Salt Lake City, UT","BioFire Diagnostics, LLC.",3.8,10000+ Employees,Information Technology,1996,$22K - $48K (Glassdoor est.),Subsidiary or Business Segment,"Type of Requisition:
Regular
Clearance Level Must Currently Possess:
None
Clearance Level Must Be Able to Obtain:
None
Suitability:
Agency Specific
NACI (T1)
Data Analysis
40
Less than 10%
Some Telecommuting Allowed
USA DC Washington
We are GDIT. The people supporting some of the most complex government, defense, and intelligence projects across the country. We deliver. Bringing the expertise needed to understand and advance critical missions. We transform. Shifting the ways clients invest in, integrate, and innovate technology solutions. We ensure today is safe and tomorrow is smarter. We are there. On the ground, beside our clients, in the lab, and everywhere in between. Offering the technology transformations, strategy, and mission services needed to get the job done.GDIT is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.",IT Services
275,$100 to $500 million (USD),Sr. APM Analyst/Data Scientist,"Fairfax, VA","ENSCO, Inc.",3.7,1001 to 5000 Employees,Biotech & Pharmaceuticals,1990,$22K - $48K (Glassdoor est.),Company - Private,"At BioFire Diagnostics, LLC. we make the world a healthier place by providing molecular solutions that lessen the time to medical results and empower healthcare professionals to make better diagnostic decisions.
We are proud to be part of the bioMérieux family and the 5,000+ team members across 12 sites and subsidiaries in North America committed to our mission to help save lives around the globe through the power of diagnostics.
Come be a part of our team and our mission as an Automation Manufacturing Engineer!

We are looking to add an experienced Automation Manufacturing Engineering to our growing swing shift team! This Automation Manufacturing Engineer plays a critical role as a member of a team that designs, implements, and supports high-volume manufacturing equipment. Candidates who would find this role a good match like to operate in roles of autonomy and trust, enjoys training and mentoring junior staff, understands the importance of good documentation, is solution-oriented and is collaborative.",Biotech & Pharmaceuticals
276,,Senior Data Scientist (remote),"Hagerstown, MD",JLG Industries,,,,,$22K - $48K (Glassdoor est.),,"Job Description
ENSCO ASE is recruiting senior engineering and support staff supporting the Office of the Undersecretary of Defense - Intelligence & Security Branch (OUSD/I&S). We are currently seeking a Sr. APM Analyst Data Scientist who will interface with functional and technical experts. Successful candidates will support the modernization, alignment, and integration of Combatant Command intelligence capabilities and the remaining Defense Intelligence Enterprise. Position is located in Fairfax, VA. Duties will include but are not limited to:
The Sr. APM Analyst/Data Scientist will integrate with cross-functional teams specializing in architecture development, solutions analysis, intelligence functional expertise, JCIDS requirements management, and PPBE documentation informing the development and implementation of Information Technology (IT) business processes, programs, plans and guidance for Defense Intelligence warfighting support to the Combatant Commands.
Produce clear, logical, and concise DoD-level products to inform Planning, Programming, and Budgeting Execution (PPBE) process investment decisions and validate requirements within Joint Capabilities Integration and Development System (JCIDS).",
