,Salary Estimate,Founded,Company Name,Job Title,Job Description,Rating,Revenue,Sector,Size,Industry,Type of Ownership,Location
120,$14 - $16 Per Hour(Employer est.),1989,Accenture,Behavioral Data Science Consultant,"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 514,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com
We are:
Solutions.AI is Accenture's collection of AI solutions that are designed to unlock new efficiencies and growth, enable new ways of working, and facilitate game-changing innovation–3x faster than the typical product lifecycle. Built and delivered on the foundation of Accenture's unparalleled AI expertise, data services, IP and ecosystem partners, our scalable, modular solutions minimize time to market and maximize business impact. The next AI revolution will be built by people like you. Visit us here to find out more about Solutions.AI.",4.1,$10+ billion (USD),Business Services,10000+ Employees,Consulting,Company - Public,"Seattle, WA"
121,$14 - $16 Per Hour(Employer est.),1989,Facebook,"Research Scientist, Optimization Research (Core Data Science - PhD)","Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 514,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com
We are:
Solutions.AI is Accenture's collection of AI solutions that are designed to unlock new efficiencies and growth, enable new ways of working, and facilitate game-changing innovation–3x faster than the typical product lifecycle. Built and delivered on the foundation of Accenture's unparalleled AI expertise, data services, IP and ecosystem partners, our scalable, modular solutions minimize time to market and maximize business impact. The next AI revolution will be built by people like you. Visit us here to find out more about Solutions.AI.",4.1,$10+ billion (USD),Information Technology,10000+ Employees,Internet,Company - Public,"Menlo Park, CA"
122,$14 - $16 Per Hour(Employer est.),2004,Novartis,Data Scientist (Machine Learning),"We are looking for Research Scientists with an Operations Research background to join the Core Data Science team. Core Data Science is an interdisciplinary team of quantitative scientists that aims to deliver research and innovation that fundamentally increase the magnitude of Facebook's successes. The ideal candidate will have extensive graduate training in Operations Research methods, and an interest in answering challenging, open-ended research questions with real-world impact. Expertise in one or more of the following fields is preferred: linear programming, non-linear programming, queueing systems, game theory, operations management, and stochastic modeling.
Answer important product and business questions, by applying appropriate Operations Research methods.
Identify new areas across the family of Facebook apps and products, where Operations Research methods can drive product improvements.
Synthesize and apply relevant insights from the academic literature on Operations Research to Facebook’s products.",4.4,$10+ billion (USD),Information Technology,10000+ Employees,Internet,Company - Public,"Cambridge, MA"
123,$14 - $16 Per Hour(Employer est.),1996,PayPal,Data Scientist 1,"6,000 people dedicated to discovery - 6 research campuses across the globe. As a Data Scientist you will be a part of this great community working to enable the next breakthrough in innovative medicines for patients in need. You will be at the forefront of life sciences, tackling some incredible challenges that are curing diseases and improving patients’ lives.

As a member of the Data Science – Machine Learning team, you will explore and develop machine learning and other advanced analysis approaches to drive drug discovery towards novel innovative medicines. Together with wet-lab scientists and other computational colleagues, you will identify tractable machine learning problems in all stages of drug discovery from disease biology mechanistic understanding, to therapeutic target identification, assay development, safety, and patient stratification. In your role, you will work with drug discovery teams from many different disease areas as part of a large community of hundreds of data scientists in NIBR and Novartis.

You will frame key questions, define appropriate data sets, perform data analysis, or train machine learning models to ultimately address key scientific needs for projects. You will collaborate closely with bench scientists, software engineers, statisticians and bioinformaticians to make sense of high-dimensional pre-clinical and clinical data. This will require you to deploy cutting-edge data science techniques on a wide variety of different data types in order to enable drug discovery teams to succeed. As a successful candidate, you must demonstrate the ability to work cross-functionally, to communicate well, and to deliver impactful results.",4.2,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ Employees,Biotech & Pharmaceuticals,Company - Public,"San Jose, CA"
124,$14 - $16 Per Hour(Employer est.),1863,Bayer,Precision Genomics Data Science Co-Op,"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 392 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
Job Description Summary: Simility, a PayPal Service, is an end-to-end fraud management platform helping large merchants, banks, and other Fortune 1000 companies manage fraud and risk. Our systems help enterprises detect fraudulent events real time and help protect these enterprises from online threats. We do so by creatively harnessing the power of data, machine learning and humans and be on the cutting edge of fraud detection techniques and algorithms. Simility welcomes big thinkers and passionate team players, who are ready to take their career to the next level.",4.1,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ Employees,Biotech & Pharmaceuticals,Company - Private,"Chesterfield, MO"
125,$14 - $16 Per Hour(Employer est.),1863,Bayer,Data Science Co-Op,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Precision Genomics Data Science Co-Op",4.1,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ Employees,Biotech & Pharmaceuticals,Company - Private,"Chesterfield, MO"
126,$14 - $16 Per Hour(Employer est.),1989,Accenture,Behavioral Data Science Manager,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Data Science Co-Op",4.1,$10+ billion (USD),Business Services,10000+ Employees,Consulting,Company - Public,"Cleveland, OH"
127,$14 - $16 Per Hour(Employer est.),1989,Argonne National Laboratory,Data Scientist - Life Sciences,"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 514,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com
We are:
Solutions.AI is Accenture's collection of AI solutions that are designed to unlock new efficiencies and growth, enable new ways of working, and facilitate game-changing innovation–3x faster than the typical product lifecycle. Built and delivered on the foundation of Accenture's unparalleled AI expertise, data services, IP and ecosystem partners, our scalable, modular solutions minimize time to market and maximize business impact. The next AI revolution will be built by people like you. Visit us here to find out more about Solutions.AI.",4.1,$10+ billion (USD),Business Services,10000+ Employees,Consulting,Company - Public,"Chicago, IL"
128,$14 - $16 Per Hour(Employer est.),1975,Microsoft,Data & Applied Scientist,"In this exciting area of research, you will be applying machine learning techniques to problems in the life sciences with an emphasis on using computational approaches for detecting patterns in a variety of contexts including cancer, brain injury, infectious disease and microbial community datasets. Problems typically involve the construction of computational models for phenotype prediction from data that includes genomic data and other omics data. This role will develop and apply computational models on new experimental data, provide measures of uncertainty, and participate in interdisciplinary discussions aimed at the design of new experiments. You will report on results of research including publishing scholarly papers in scientific journals, give presentations at symposia, conferences, meetings, and seminars. You will also participate in the preparation of reports and proposals required by funding agencies to obtain and continue funding support.
We are seeking outstanding people to join us in the Data Science and Learning Division and the Bioscience Division at all career levels. As a multidisciplinary national laboratory, Argonne offers an exciting campus atmosphere in which to collaborate on interdisciplinary projects developing solutions to complex scientific and engineering problems on the world’s largest parallel supercomputers.
Research Development (RD)
Biology 1
Long-Term (Fixed Term)
Full time",4.4,$10+ billion (USD),Information Technology,10000+ Employees,Computer Hardware & Software,Company - Public,"Bellevue, WA"
129,$14 - $16 Per Hour(Employer est.),1975,Atlanta Regional Commission,Data Visualization Assistant – PT Temp,"Are you looking for an opportunity to solve business-critical problems for Fortune-500 customers globally using cutting-edge AI and ML technology? Do you enjoy tackling technical challenges and producing innovative solutions to real-world problems? Then come join the AI Platform team in Microsoft. You will be working along the best AI/ML engineering, science, and product talent in the industry and engaging with the largest, most complex customers and ISVs in the world.
Artificial Intelligence (AI) and Machine Learning (ML) is the next explosive growth area in technology relevant to every business in every industry on the planet. The data economy is already booming, and in 2021 there will be a projected 35 zettabytes of data generated by 50 billion connected devices. From these mountains of data, AI and ML will harvest valuable predictive signals and patterns that will fundamentally transform the face of business. With our own already existing volumes of data and research assets, Microsoft is investing to be a key player and a market leader in this industry.

The AI Platform organization at Microsoft has the charter to bring the best of our AI & Research assets, tools and cloud infrastructure, rich data, and trusted position together, to deliver AI and ML services and solutions to customers. The mission of the AI Commercial Engineering team within the AI Platform Product Management organization is to co-innovate, incubate, and improve our core AI platform from scenarios utilizing Azure Cognitive Services and Azure ML. We do so by building and infusing AI technologies in real world solutions and extending the signals from real world patterns to building robust, scalable AI platform services and products. To achieve this, we are co-innovating AI and ML powered solutions (rich APIs, ML models and end to end services) with our strategic ISVs and Enterprise customers, leveraging many other Azure technologies, including Azure Data Analytics (Synapse, ADF, SQL and ADB) and Python/C# microservices, Azure Functions and AKS.",4.4,$10+ billion (USD),Information Technology,10000+ Employees,Computer Hardware & Software,Company - Public,"Atlanta Central City Post Offi, GA"
130,$14 - $16 Per Hour(Employer est.),Government,Facebook,Data Analyst - Ads Revenue Accounting,"Are you looking for an opportunity to solve business-critical problems for Fortune-500 customers globally using cutting-edge AI and ML technology? Do you enjoy tackling technical challenges and producing innovative solutions to real-world problems? Then come join the AI Platform team in Microsoft. You will be working along the best AI/ML engineering, science, and product talent in the industry and engaging with the largest, most complex customers and ISVs in the world.
Artificial Intelligence (AI) and Machine Learning (ML) is the next explosive growth area in technology relevant to every business in every industry on the planet. The data economy is already booming, and in 2021 there will be a projected 35 zettabytes of data generated by 50 billion connected devices. From these mountains of data, AI and ML will harvest valuable predictive signals and patterns that will fundamentally transform the face of business. With our own already existing volumes of data and research assets, Microsoft is investing to be a key player and a market leader in this industry.

The AI Platform organization at Microsoft has the charter to bring the best of our AI & Research assets, tools and cloud infrastructure, rich data, and trusted position together, to deliver AI and ML services and solutions to customers. The mission of the AI Commercial Engineering team within the AI Platform Product Management organization is to co-innovate, incubate, and improve our core AI platform from scenarios utilizing Azure Cognitive Services and Azure ML. We do so by building and infusing AI technologies in real world solutions and extending the signals from real world patterns to building robust, scalable AI platform services and products. To achieve this, we are co-innovating AI and ML powered solutions (rich APIs, ML models and end to end services) with our strategic ISVs and Enterprise customers, leveraging many other Azure technologies, including Azure Data Analytics (Synapse, ADF, SQL and ADB) and Python/C# microservices, Azure Functions and AKS.",,,Unknown / Non-Applicable,51 to 200 Employees,Government,State & Regional Agencies,"Fremont, CA"
131,$14 - $16 Per Hour(Employer est.),Government,Accenture,Federal - Data Visualization Specialist,"Center
Center for Livable Communities

Group
Research & Analytics

Salary Range
$15.00-$17.00




POSITION SUMMARY:",3.9,,Unknown / Non-Applicable,51 to 200 Employees,Government,State & Regional Agencies,"Arlington, VA"
132,$14 - $16 Per Hour(Employer est.),Company - Private,Envision,Data Scientist,"Organization: Accenture Federal Services
Location: Washington, DC
We are:
Accenture Federal Services, helping our federal clients tackle their toughest challenges while unleashing their fullest potential…and then some. What makes our approach so unique? Operating from the nation’s capital, we bring together commercial innovation and leading-edge technologies to deliver an integrated and interactive experience that far exceeds expectations. How? Our passion meets purpose! Through our diverse culture and inclusive thinking, we embrace our employees' ideas taking them from concept to practical solutions. Not to mention, we sleep well at night knowing our work directly impacts and improves the way the world works. We keep our tech smarts sharp by providing abundant training and certification opportunities. Are you ready to learn and grow in a career, while making a difference?",,,Unknown / Non-Applicable,51 to 200 Employees,Business Services,Advertising & Marketing,"Saint Louis, MO"
133,$14 - $16 Per Hour(Employer est.),Company - Private,S&P Global,Data Scientist,"Basic Qualifications:
Masters Degree in Statistics, Biostatistics, Data Science, Applied Mathematics, or another highly quantitative discipline;

Strong Python coding skills for data management, visualization, and basic modeling (strong experience and knowledge with standard data science packages such as numpy, pandas, matplotlib, seaborn, sklearn)

Demonstrated knowledge and experience manipulating and analyzing various data sets

Strong Statistical, machine learning and deep learning modeling experience

Strong analytical and quantitative problem solving ability, with demonstrated ability to build, test, and iterate on a variety of model forms

Fast learner and follows project instructions

Strong communication skills and the ability to work with diverse cross-functional teams


Proven experience with good coding practices such as version control, code documentation, automated testing, and code review

Experience working with agriculture or soybean crop data

Experience working with crop disease management or crop protection

Experience in SQL, PySpark, or SparklyR/Spark

Ability to translate complex technical concepts to collaborations, decision makers, and non-technical audiences",,,Unknown / Non-Applicable,51 to 200 Employees,Business Services,Advertising & Marketing,"Absarokee, MT"
134,$14 - $16 Per Hour(Employer est.),2016,Inari Agriculture,Crop Data Scientist,"The Role: Data Scientist

The Location: Office in Colorado, open to virtual employment

The Level: 10 (internal purposes)

The Team: The S&P Global Ratings Data Science team combines automation, machine learning, and data engineering to improve the delivery of Ratings data & content to our analysts and customers. The team sits within the organizations Operating Office and works in close partnership with all teams throughout the organization.

You will be a part of key transformation projects aiming to streamline and automate our data processes: sourcing, collection, tagging, linking, extraction, translation, and other manual processes.

In doing so, you will build relationships across the division to generate and unlock new and existing data for content delivery through technological advancements using intelligent automation, data science, and coding design principles.

Projects will span the entirety of the data and content value chain enhancing customer satisfaction, and driving business results and growth through the timely and accurate delivery of fundamentals, ratings and reference data.

You will be a key member of the S&P Global Ratings Data Science team, playing a key role in developing intelligent automation solutions for our data and content generation processes. You will work with technology, business and operations teams in this role, driving and executing on automation improvement opportunities to expand our capabilities around making our data value chain processes more efficient.


S&P Global states that the anticipated base salary range for this position is $68,300 to $141,800. Base salary ranges may vary by geographic location.

In addition to base compensation, this role is eligible for an annual incentive plan.

This role is eligible to receive additional S&P Global benefits. For more information on the benefits we provide to our employees, visit https://www.spgbenefitessentials.com/newhires .


Execute and serve as lead and/or SME on cross-organizational and cross-divisional projects automating our data value chain processes through automation, and new technologies

Design solutions and develop automation capabilities, such sourcing, collection, ingestion, extraction, transformation, translation, linking, and tagging

Mentor junior team members on coding best practices

Support digitization of datasets and accelerate digitization of new data identified by the Content and Data Operations teams

Serve as a source of knowledge for the Data Science team for process improvement, automation (Python, Alteryx, SQL, etc), and new technologies available to enable best-in-class timeliness and data coverage

Develop skills for ‘listening to learn’ with the express goal of understanding processes and associated problems which enable efficient, automated solutions

Review business processes and rules to understand potential repeatable processes and engage affected teams to consult on automation solutions

Be a strong partner with all the teams and stakeholders your projects and work involve

Monitor market trends in the data science/automation space identifying and onboarding new technologies and solutions to address business needs

Demonstrate innovation, customer focus, and experimentation mindsets


Python, SQL or other programming languages

DevOps/DataOps, Django, Algorithms/Algorithm design, NLP, Machine Learning, Data Mining, Docker, Linux, Process Engineering

Proven track record as a high-performing practitioner and strong executor, particularly in content-related domain

Strong domain knowledge & content expertise within Credit Rating Agencies a significant plus

Ability to quickly build credibility and relationships across multiple global teams

Ability to work effectively within and across teams, foster collaboration

Aptitude to communicate and deliver on projects, strong prioritization and organization skills

Strong communication skills. This includes translating technical details into concepts for non-technical audiences

Strong problem-solving skills. Able to quickly identify and understand issues and drive towards effective resolution

Experience as part of a team that leverages Agile

Strong familiarity with latest technologies to accelerate data operations

3-5 years of relevant experience

Bachelor's degree or equivalent experience required; advanced degree preferred

About S&P Global Ratings

S&P Global Ratings is the world’s leading provider of independent credit ratings. Our ratings are essential to driving growth, providing transparency and helping educate market participants so they can make decisions with confidence. We have more than 1 million credit ratings outstanding on government, corporate, financial sector and structured finance entities and securities. We offer an independent view of the market built on a unique combination of broad perspective and local insight. We provide our opinions and research about relative credit risk; market participants gain independent information to help support the growth of transparent, liquid debt markets worldwide.

SPGI), which provides essential intelligence for individuals, companies and governments to make decisions with confidence. For more information, visit www.spglobal.com/ratings .

S&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment.

If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.


The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.

#LI-MB1

IFTECH202.1 - Middle Professional Tier I (EEO Job Group)

263209
2021-07-22
Centennial, Colorado, United States",4.3,,Unknown / Non-Applicable,51 to 200 Employees,Biotech & Pharmaceuticals,Company - Private,"West Lafayette, IN"
135,$14 - $16 Per Hour(Employer est.),Company - Private,Camgian,Junior Data Scientist,"About The Role...
We are looking for an experienced Crop Data Scientist to expand our biological data analyses and computational capabilities within the Late Product Development and Crop Science team. Crop Data Scientists collaborate with breeding and sales to analyze data that aligns product offering, placement, and education with commercial objectives. The role reports to the Crop Science Director in West Lafayette, IN.
As a Crop Data Scientist, you will…
Aggregate disparate data formats from diverse sources
Statistically analyze data for quality control and validate hypotheses of relationships between plant genetics, field results, and environment consistent with company data science norms.
Interpret field data / trial results and generate reports or data visualizations",,,$5 to $10 million (USD),1 to 50 Employees,Information Technology,Computer Hardware & Software,Indiana
136,$14 - $16 Per Hour(Employer est.),Company - Private,Aurora,Data Analyst,"Camgian is hiring a Junior Data Scientist to apply statistical theory and methods to collect, interpret, and summarize data as well as make predictions and recommended actions based on data. As a Junior Data Scientist, you will work with product managers and business stakeholders to gather and analyze large sets of structured and unstructured data in order to gain insights and drive decision making.
Duties/Responsibilities
Participates in data discover to detect patterns and outliers in customer data
Builds predictive models and machine-learning algorithms
Proposes solutions and strategies to business challenges
Presents information using data visualization techniques
Documents all processes and research",4.8,,$5 to $10 million (USD),1 to 50 Employees,Information Technology,Computer Hardware & Software,"Mountain View, CA"
137,$14 - $16 Per Hour(Employer est.),Company - Private,Universal Business Solutions,Data Scientist/Machine Learning Engineer,"Camgian is hiring a Junior Data Scientist to apply statistical theory and methods to collect, interpret, and summarize data as well as make predictions and recommended actions based on data. As a Junior Data Scientist, you will work with product managers and business stakeholders to gather and analyze large sets of structured and unstructured data in order to gain insights and drive decision making.
Duties/Responsibilities
Participates in data discover to detect patterns and outliers in customer data
Builds predictive models and machine-learning algorithms
Proposes solutions and strategies to business challenges
Presents information using data visualization techniques
Documents all processes and research",4.8,,$5 to $10 million (USD),1 to 50 Employees,Information Technology,Computer Hardware & Software,"Atlanta Central City Post Offi, GA"
138,$14 - $16 Per Hour(Employer est.),,"Innovent Biologics(Suzhou)Co.,Ltd.",Data Science (Associate) Scientist,"Data Scientist / Machine Learning Scientist
(Machine Learning)
Atlanta, GA
Type: 2 Year Plus Contract
Rate: DOE
Who our client is:
· The AI and Data Science team is centralized across the entire organization.
· They work with various product teams across various business units to define high-impact business problems, solve them using novel techniques, and execute and monitor them throughout their lifecycle.",,,,,,,"Rockville, MD"
139,$14 - $16 Per Hour(Employer est.),,Williams College,Data Science Librarian,"Data Scientist / Machine Learning Scientist
(Machine Learning)
Atlanta, GA
Type: 2 Year Plus Contract
Rate: DOE
Who our client is:
· The AI and Data Science team is centralized across the entire organization.
· They work with various product teams across various business units to define high-impact business problems, solve them using novel techniques, and execute and monitor them throughout their lifecycle.",,,,,,,"Williamstown, MA"
140,$14 - $16 Per Hour(Employer est.),2000,Luxoft,Data Scientist,"Williams Libraries seeks an enthusiastic, user-centered educator to join the Research Services department as Data Science Librarian. In this newly-defined position, the Data Science Librarian will enhance the library’s information literacy initiative by bringing a focus on data literacy. You will help students develop data literacy skills and support data-intensive courses and departments. As liaison librarian, you will guide students and faculty on research methods and resources, teach library instruction sessions, and develop library collections. This is a full-time, year-round appointment, reporting to the Head of Research Services and Library Outreach.
Williams, a liberal arts college located in western Massachusetts, has built its reputation on outstanding teaching, scholarship, and academic excellence. We are committed to building a diverse and inclusive community to support our approximately 2,000 students, where members from all backgrounds can live, learn and thrive.
The Research Services department supports the college’s academic mission by providing research assistance and teaching information literacy skills. We are dedicated to innovation and proactive user-driven services, and we value collegiality and collaboration. We believe in meeting students where they are in their information-seeking journey and helping them grow into empowered, information-literate citizens. We are looking for a colleague who:",4.2,Unknown / Non-Applicable,Information Technology,10000+ Employees,IT Services,Company - Public,"Middletown, NJ"
141,$14 - $16 Per Hour(Employer est.),2000,DSM,"Omics Data Scientist - Lexington, MA","Project Description:
Luxoft has been asked to contract a Data Scientist in support of a number of customer initiatives. The primary objective is to turn statistical information into meaningful, actionable insights in the Telecom/network work environment

Responsibilities:
Responsible for development of customer facing use cases, such as curation analytics, anomaly detection, etc. using rule based / pattern based programming and standard AI/ML models. Development of some use cases will require device farm automation, data scraping & extraction, and/or other methodologies as prescribed by use cases. May also be responsible for data ingestion, common data structures, publishers, building reports, and in the future may be responsible for cloud strategy and engineering backend systems (may be in cloud). This person will have a role of a technical data steward for the output data structures.

Duties include but not limited to:",4.2,Unknown / Non-Applicable,Information Technology,10000+ Employees,IT Services,Company - Public,"Lexington, MA"
142,$14 - $16 Per Hour(Employer est.),Company - Public,Accenture,Core Compete Data Engineer,"Job ID: 45207
Date: Aug 3, 2021
Job function: Research & Development
Experience level: Graduate Hire
Business: DSM Nutritional Products
Omics Data Scientist - Lexington, MA
DSM – Bright Science. Brighter Living.™
Royal DSM is a global, purpose-led, science-based company active in Nutrition, Health and Sustainable Living. DSM’s purpose is to create brighter lives for all. DSM addresses with its products and solutions some of the world’s biggest challenges while simultaneously creating economic, environmental and societal value for all its stakeholders – customers, employees, shareholders, and society at large. DSM delivers innovative solutions for human nutrition, animal nutrition, personal care and aroma, medical devices, green products and applications, and new mobility and connectivity. DSM and its associated companies deliver annual net sales of about €10 billion with approximately 23,000 employees. The company was founded in 1902 and is listed on Euronext Amsterdam.",4.0,,$5 to $10 billion (USD),10000+ Employees,Manufacturing,Chemical Manufacturing,"Raleigh, NC"
143,$14 - $16 Per Hour(Employer est.),Company - Public,Department of Energy,Research Analyst,"Job ID: 45207
Date: Aug 3, 2021
Job function: Research & Development
Experience level: Graduate Hire
Business: DSM Nutritional Products
Omics Data Scientist - Lexington, MA
DSM – Bright Science. Brighter Living.™
Royal DSM is a global, purpose-led, science-based company active in Nutrition, Health and Sustainable Living. DSM’s purpose is to create brighter lives for all. DSM addresses with its products and solutions some of the world’s biggest challenges while simultaneously creating economic, environmental and societal value for all its stakeholders – customers, employees, shareholders, and society at large. DSM delivers innovative solutions for human nutrition, animal nutrition, personal care and aroma, medical devices, green products and applications, and new mobility and connectivity. DSM and its associated companies deliver annual net sales of about €10 billion with approximately 23,000 employees. The company was founded in 1902 and is listed on Euronext Amsterdam.",4.0,,$5 to $10 billion (USD),10000+ Employees,Manufacturing,Chemical Manufacturing,"Salem, OR"
144,$14 - $16 Per Hour(Employer est.),Government,Energybox Inc.,Analyst,"Initial Posting Date:
08/02/2021
Application Deadline:
08/31/2021
Agency:
Department of Energy
Salary Range:
$4,221 - $6,478
Employee
Research Analyst 3",,,Unknown / Non-Applicable,Unknown,Government,Federal Agencies,"East Nashville, TN"
145,$14 - $16 Per Hour(Employer est.),Unknown,Gentherm,Data Science Engineer,"Analyst
Energybox is a leading IoT Automation Company. We help multi-site customers automate their operations, reduce costs and improve sustainability. We provide an integrated IoT platform which includes proprietary sensors, controls, software, and AI to monitor, automate and optimize facilities, equipment and processes.
Energybox is seeking a high-energy, self-motivated individual who has a healthy disregard for the impossible and views a challenge as the necessary inspiration to create a legacy. Qualified candidates will have the opportunity to work with a world-class international team that is revolutionizing the way people interact with equipment, processes, and data, across all of their locations.
Required person’s mindset:
Strong leadership, flexibility, excellent interpersonal and communication skills",3.5,,Unknown / Non-Applicable,51 to 200 Employees,Information Technology,Enterprise Software & Network Solutions,"Northville, MI"
146,$14 - $16 Per Hour(Employer est.),1837,Procter & Gamble,Data Scientist-1,"At Gentherm, we say, “It’s about the person.” We’re with you on a cold winter day when you turn on your heated seat and steering wheel or helping manage patient body temperature in the operating room, recovering room or intensive care units. We take a human approach with everything we do.

As the global leader in thermal management technologies we embrace the opportunity to create and deliver extraordinary thermal solutions that make meaningful differences in everyday life. We do this by improving health, wellness, comfort and energy efficiency.

We embrace an entrepreneurial spirit and combine that with our global leadership to deliver results. Working at Gentherm provides you the opportunity to not only shape the future of the automotive and medical industries, but also influence your career throughout the company. You will be engaged, challenged and inspired by our team to deliver leading thermal technologies that positively impact lives around the world.",4.2,$10+ billion (USD),Manufacturing,10000+ Employees,Consumer Products Manufacturing,Company - Public,"Mason, OH"
147,$14 - $16 Per Hour(Employer est.),1837,Johnson & Johnson Family of Companies,Data Scientist,"Guides and influencestechnicalproject direction and solves significant technical problems by leveraging scientific/engineering skills and strong foundational Data & Modeling Sciences understanding developed through hands-on experimentation/application. Performs Application work and demonstrates implementation skills leveraging knowledge that moves projects forward and also begins to gain exposure to and demonstrate initial proficiency in performing integration work.
Qualifications
We are looking for someone with a Ph.D. in Computer Science or Computer Engineering, or other deep expertise in Artificial Intelligence sub-disciplines.
WHAT WE OFFER:
Responsibilities as of Day 1 - you will feel the ownership of your project from the beginning, and you will be given specific projects and responsibilities.",4.2,$10+ billion (USD),Manufacturing,10000+ Employees,Consumer Products Manufacturing,Company - Public,"Titusville, NJ"
148,$14 - $16 Per Hour(Employer est.),1887,Accenture,Federal - Data Science Practitioner,"Janssen Pharmaceuticals, Inc., a member of Johnson & Johnson's Family of Companies, is recruiting for a Data Scientist in Janssen Business Technology located in Titusville, NJ, Raritan, NJ or Horsham, PA.
At the Janssen Pharmaceutical Companies of Johnson & Johnson, what matters most is helping people live full and healthy lives. We focus on treating, curing and preventing some of the most devastating and complex diseases of our time. And we pursue the most promising science, wherever it might be found.
The Janssen Pharmaceutical Companies of Johnson & Johnson provide medicines for an array of health concerns in several therapeutic areas. Our ultimate goal is to help people live healthy lives. We have produced and marketed many first-in-class prescription medications and are poised to serve the broad needs of the healthcare market - from patients to practitioners, from clinics to hospitals. For more about the Pharmaceutical Companies of Johnson & Johnson, visit: http://www.janssenpharmaceuticalsinc.com/.
We are Janssen. Our mission drives us. Our patients inspire us. We collaborate with the world for the health of everyone in it.







United States-New Jersey-Titusville-1125 Trenton Harbourton Road

North America-United States-New Jersey-Raritan, North America-United States-Pennsylvania-Horsham

Johnson & Johnson Services Inc. (6090)

R&D

2105949285W",4.2,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ Employees,Biotech & Pharmaceuticals,Company - Public,"Washington, DC"
149,$14 - $16 Per Hour(Employer est.),1887,Indiana University,Part-Time Marketing Data Analyst,"Janssen Pharmaceuticals, Inc., a member of Johnson & Johnson's Family of Companies, is recruiting for a Data Scientist in Janssen Business Technology located in Titusville, NJ, Raritan, NJ or Horsham, PA.
At the Janssen Pharmaceutical Companies of Johnson & Johnson, what matters most is helping people live full and healthy lives. We focus on treating, curing and preventing some of the most devastating and complex diseases of our time. And we pursue the most promising science, wherever it might be found.
The Janssen Pharmaceutical Companies of Johnson & Johnson provide medicines for an array of health concerns in several therapeutic areas. Our ultimate goal is to help people live healthy lives. We have produced and marketed many first-in-class prescription medications and are poised to serve the broad needs of the healthcare market - from patients to practitioners, from clinics to hospitals. For more about the Pharmaceutical Companies of Johnson & Johnson, visit: http://www.janssenpharmaceuticalsinc.com/.
We are Janssen. Our mission drives us. Our patients inspire us. We collaborate with the world for the health of everyone in it.







United States-New Jersey-Titusville-1125 Trenton Harbourton Road

North America-United States-New Jersey-Raritan, North America-United States-Pennsylvania-Horsham

Johnson & Johnson Services Inc. (6090)

R&D

2105949285W",4.2,$2 to $5 billion (USD),Education,10000+ Employees,Colleges & Universities,,"Bloomington, IN"
