,Sector,Company Name,Size,Location,Rating,Job Description,Type of Ownership,Industry,Salary Estimate,Founded,Job Title,Revenue
105,,Facebook,,"Menlo Park, CA",,"The Data Science team is an integral part of the Scipher organization. As the Data Analyst you will work cross functionally supporting the commercial team and Medical Affairs to apply statistical methods on real-world data to generate RWE across the organization. THIS IS NOT A REMOTE ROLE AND IS A BOSTON BASED ROLE ONLY 2-3 DAYS ONSITE IN OFFICE IN WALTHAM, MA.
*
What will I do?*
Support cross-function teams on AIMS real-world database processing, analysis using statistical methods.
Apply data visualization tools and implement dashboard solutions that translate data into useful information for decision-makers.
Apply advanced statistical techniques including multivariate analysis, propensity score, multiple imputation methods, Monte Carlo simulation to analyze large real-world datasets to deliver testable hypothesis.",,,$60K - $75K (Employer est.),,"Data Science Manager, Instagram Youth",
106,,LeanTaaS,,"Atlanta Central City Post Offi, GA",,"The Data Science team is an integral part of the Scipher organization. As the Data Analyst you will work cross functionally supporting the commercial team and Medical Affairs to apply statistical methods on real-world data to generate RWE across the organization. THIS IS NOT A REMOTE ROLE AND IS A BOSTON BASED ROLE ONLY 2-3 DAYS ONSITE IN OFFICE IN WALTHAM, MA.
*
What will I do?*
Support cross-function teams on AIMS real-world database processing, analysis using statistical methods.
Apply data visualization tools and implement dashboard solutions that translate data into useful information for decision-makers.
Apply advanced statistical techniques including multivariate analysis, propensity score, multiple imputation methods, Monte Carlo simulation to analyze large real-world datasets to deliver testable hypothesis.",,,$60K - $75K (Employer est.),,Data Analyst (US REMOTE),
107,,Envision,,"Saint Louis, MO",,"The Data Science team is an integral part of the Scipher organization. As the Data Analyst you will work cross functionally supporting the commercial team and Medical Affairs to apply statistical methods on real-world data to generate RWE across the organization. THIS IS NOT A REMOTE ROLE AND IS A BOSTON BASED ROLE ONLY 2-3 DAYS ONSITE IN OFFICE IN WALTHAM, MA.
*
What will I do?*
Support cross-function teams on AIMS real-world database processing, analysis using statistical methods.
Apply data visualization tools and implement dashboard solutions that translate data into useful information for decision-makers.
Apply advanced statistical techniques including multivariate analysis, propensity score, multiple imputation methods, Monte Carlo simulation to analyze large real-world datasets to deliver testable hypothesis.",,,$60K - $75K (Employer est.),,Data Scientist,
108,Unknown / Non-Applicable,Passion,51 to 200 Employees,"Atlanta Central City Post Offi, GA",4.3,,Religious Organizations,Non-Profit,$60K - $75K (Employer est.),Nonprofit Organization,Data Analyst,
109,Unknown / Non-Applicable,Turo,51 to 200 Employees,"San Francisco, CA",4.3,"DATA ANALYST
Passion City Church / sixstepsrecords / Passion Conferences / Passion Publishing
OBJECTIVE
Supports the mission and vision of Passion through data analysis, interpretation and storytelling for process improvement, growth opportunities and ministry impact.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Leverages SQL reporting to meet Passion's analytical needs
Builds and maintains business intelligence reporting and systems",Religious Organizations,Non-Profit,$60K - $75K (Employer est.),Nonprofit Organization,Product Data Analyst,
110,Information Technology,Bayer,201 to 500 Employees,"Chesterfield, MO",4.7,"Data is our fuel at Turo. It is ever-more abundant and valuable, but it's raw material. Harnessed by data analysts, data scientists, and machine learning engineers, it propels Turo on its mission to put the world's 1.5+ billion cars to better use, delighting our customers with matching the right car for their next adventure from an exceptionally diverse selection, and at the same time helping our marketplace remain safe.
About the role
As a member of the Analytics team, you will have the opportunity to explore and understand how millions of guests and hosts interact with Turo's marketplace, and use data to solve meaningful business problems. Examples of projects you would work on include, but are not limited to - understanding and improving guest acquisition/conversion/retention, improving host profitability & retention, testing and optimizing different pricing strategies, improving unit economics, identifying next levers of supply and demand growth. You will closely work with product counterparts and influence the product roadmap.",Company - Private,Internet,$60K - $75K (Employer est.),2009,Data Science Co-Op,Unknown / Non-Applicable
111,Information Technology,Facebook,10000+ Employees,"Menlo Park, CA",,"Data is our fuel at Turo. It is ever-more abundant and valuable, but it's raw material. Harnessed by data analysts, data scientists, and machine learning engineers, it propels Turo on its mission to put the world's 1.5+ billion cars to better use, delighting our customers with matching the right car for their next adventure from an exceptionally diverse selection, and at the same time helping our marketplace remain safe.
About the role
As a member of the Analytics team, you will have the opportunity to explore and understand how millions of guests and hosts interact with Turo's marketplace, and use data to solve meaningful business problems. Examples of projects you would work on include, but are not limited to - understanding and improving guest acquisition/conversion/retention, improving host profitability & retention, testing and optimizing different pricing strategies, improving unit economics, identifying next levers of supply and demand growth. You will closely work with product counterparts and influence the product roadmap.",Company - Public,Internet,$60K - $75K (Employer est.),2004,Quantitative Researcher,$10+ billion (USD)
112,Information Technology,Insurify,10000+ Employees,"Sofia, NM",4.4,"The Marketing Science Ads Research team is a research and analytics group focused on measuring the value and effectiveness of advertising on Facebook. In service of this goal, the team focuses on key advertising industry topics, conducts research on the Facebook advertising platform, designs custom research to improve the ability to measure value on and off of Facebook, and helps advertisers and agencies align with improving the quality of their planning, creative, and measurement. This team is tasked with designing and executing research and prototyping measurement methodologies. Research will focus on leveraging large data sets and developing experiments to develop an empirically supported point of view on advertising effectiveness.We seek an expert in research methods, experimental design, statistical analysis and developing working systems to support research. Knowledge of languages for data manipulation (SQL) and analysis (e.g., R or Python) will be required. The ideal candidate will be a subject matter expert in statistical methods or machine learning, is scrappy, focused on results, self-motivated and has a history of solving problems with data solutions.This research is instrumental in informing Facebook’s advertising product strategy, advertising strategies recommended to Facebook clients, and new measurement platforms used across the advertising industry. The ideal candidate will have a strong background in data science, research methods and statistics.",Company - Public,Internet,$60K - $75K (Employer est.),2004,Data Analyst,$10+ billion (USD)
113,Information Technology,Nike,10000+ Employees,"Beaverton, OR",4.4,"The Marketing Science Ads Research team is a research and analytics group focused on measuring the value and effectiveness of advertising on Facebook. In service of this goal, the team focuses on key advertising industry topics, conducts research on the Facebook advertising platform, designs custom research to improve the ability to measure value on and off of Facebook, and helps advertisers and agencies align with improving the quality of their planning, creative, and measurement. This team is tasked with designing and executing research and prototyping measurement methodologies. Research will focus on leveraging large data sets and developing experiments to develop an empirically supported point of view on advertising effectiveness.We seek an expert in research methods, experimental design, statistical analysis and developing working systems to support research. Knowledge of languages for data manipulation (SQL) and analysis (e.g., R or Python) will be required. The ideal candidate will be a subject matter expert in statistical methods or machine learning, is scrappy, focused on results, self-motivated and has a history of solving problems with data solutions.This research is instrumental in informing Facebook’s advertising product strategy, advertising strategies recommended to Facebook clients, and new measurement platforms used across the advertising industry. The ideal candidate will have a strong background in data science, research methods and statistics.",Company - Public,Internet,$60K - $75K (Employer est.),2004,"Data Scientist, Digital Loss Prevention",$10+ billion (USD)
114,Business Services,Accenture,10000+ Employees,"Arlington, VA",4.1,,Company - Public,Consulting,$60K - $75K (Employer est.),1989,Federal - Data Visualization Specialist,$10+ billion (USD)
115,Business Services,PerBlue,10000+ Employees,"Madison, WI",4.1,"Organization: Accenture Federal Services
Location: Washington, DC
We are:
Accenture Federal Services, helping our federal clients tackle their toughest challenges while unleashing their fullest potential…and then some. What makes our approach so unique? Operating from the nation’s capital, we bring together commercial innovation and leading-edge technologies to deliver an integrated and interactive experience that far exceeds expectations. How? Our passion meets purpose! Through our diverse culture and inclusive thinking, we embrace our employees' ideas taking them from concept to practical solutions. Not to mention, we sleep well at night knowing our work directly impacts and improves the way the world works. We keep our tech smarts sharp by providing abundant training and certification opportunities. Are you ready to learn and grow in a career, while making a difference?",Company - Public,Consulting,$60K - $75K (Employer est.),1989,Data Analyst,$10+ billion (USD)
116,Business Services,Accenture,10000+ Employees,"Arlington, VA",,"PerBlue is looking for our next great aspiring Data Analyst to join our team of experienced mobile game creators. We’re a growing independent studio whose free-to-play midcore mobile games are being played by millions of people around the world, including the award-winning Disney Heroes: Battle Mode.
Our team brings together experience from major studios in the videogame and technology industries. Headquartered in Madison, Wisconsin, we also work remotely around the United States for an unmatched quality of life and work.
In this early-career opportunity, you’ll add your skillset to our Business Intelligence team, providing the analysis and insights to help our team create amazing experiences for our fans around the world. You’re a thoughtful aspiring data wizard who can manage mountains of mobile game data from a variety of sources and discover new ways of understanding and presenting insights to our team from across the studio. You’re a creative thinker who brings a commitment to delivering results.
Principal Responsibilities",Company - Public,Consulting,$60K - $75K (Employer est.),1989,Federal - Data Science Practitioner,$10+ billion (USD)
117,Business Services,CY9,10000+ Employees,"Raleigh, NC",4.1,"Organization: Accenture Federal Services
Location: work locations available may include but not limited to DC metro, Northern Virginia and/or Eastern Maryland
We are:
Accenture Federal Services, bringing together commercial innovation with the latest technology to unleash the potential for our federal clients. Every day we bring bold thinking and diverse disciplines to solve problems in new ways. Ready to learn as much as you can? We’ll give you numerous opportunities of formal & informal training sessions to keep your tech smarts sharp.
The Work:",Company - Public,Consulting,$60K - $75K (Employer est.),1989,Sr. Data Analyst,$10+ billion (USD)
118,Business Services,Flipside Crypto,10000+ Employees,"East Boston, MA",4.1,"Organization: Accenture Federal Services
Location: work locations available may include but not limited to DC metro, Northern Virginia and/or Eastern Maryland
We are:
Accenture Federal Services, bringing together commercial innovation with the latest technology to unleash the potential for our federal clients. Every day we bring bold thinking and diverse disciplines to solve problems in new ways. Ready to learn as much as you can? We’ll give you numerous opportunities of formal & informal training sessions to keep your tech smarts sharp.
The Work:",Company - Public,Consulting,$60K - $75K (Employer est.),1989,Data Analyst,$10+ billion (USD)
119,,Scientific Games,10000+ Employees,"Las Vegas, NV",4.1,"Organization: Accenture Federal Services
Location: work locations available may include but not limited to DC metro, Northern Virginia and/or Eastern Maryland
We are:
Accenture Federal Services, bringing together commercial innovation with the latest technology to unleash the potential for our federal clients. Every day we bring bold thinking and diverse disciplines to solve problems in new ways. Ready to learn as much as you can? We’ll give you numerous opportunities of formal & informal training sessions to keep your tech smarts sharp.
The Work:",Company - Public,,$60K - $75K (Employer est.),1989,Associate Mathematician,
120,Information Technology,Aurora Innovation,201 to 500 Employees,"Mountain View, CA",3.9,"Who We Are
At Aurora, we're on a mission to deliver the benefits of self-driving technology safely, quickly, and broadly. It all starts with the Aurora Driver, a platform created from industry-leading hardware and software and designed to adapt across a variety of vehicle types and industries.
We're led by a team of self-driving luminaries, and we've forged strategic partnerships with leading transportation companies—including ride-hailing network Uber, truck-manufacturers PACCAR and Volvo Trucks, and the world's largest automaker Toyota—setting us up to deliver the Aurora Driver in both trucks and passenger vehicles. We are funded by Amazon, Uber, T Rowe Price, and some of Silicon Valley's best venture capital firms, including Sequoia, Greylock, and Index Ventures.
Aurora is in the best position to lead the self-driving space with a team of unparalleled depth and expertise, the technology to deliver, and the partnerships to build a transformative business for the long-term.",Company - Private,Computer Hardware & Software,$60K - $75K (Employer est.),2017,Data Analyst,Unknown / Non-Applicable
121,Information Technology,Delta,201 to 500 Employees,"Atlanta Central City Post Offi, GA",3.9,"Who We Are
At Aurora, we're on a mission to deliver the benefits of self-driving technology safely, quickly, and broadly. It all starts with the Aurora Driver, a platform created from industry-leading hardware and software and designed to adapt across a variety of vehicle types and industries.
We're led by a team of self-driving luminaries, and we've forged strategic partnerships with leading transportation companies—including ride-hailing network Uber, truck-manufacturers PACCAR and Volvo Trucks, and the world's largest automaker Toyota—setting us up to deliver the Aurora Driver in both trucks and passenger vehicles. We are funded by Amazon, Uber, T Rowe Price, and some of Silicon Valley's best venture capital firms, including Sequoia, Greylock, and Index Ventures.
Aurora is in the best position to lead the self-driving space with a team of unparalleled depth and expertise, the technology to deliver, and the partnerships to build a transformative business for the long-term.",Company - Private,Computer Hardware & Software,$60K - $75K (Employer est.),2017,Specialist,Unknown / Non-Applicable
122,Travel & Tourism,Aurora,10000+ Employees,"Mountain View, CA",4.4,"United States, Georgia, Atlanta
Inflight Services
15-Jul-2021
Ref #: 7941 How you'll help us Keep Climbing (overview & key responsibilities)
The Specialist will be responsible for driving all OBS Forecast for passenger supplies. These forecasts will include forward projections for supplier production as well as projections for the procurement function.

Work closely across the organization with the stakeholders of the OBS planning, service delivery, supply chain management, and finance groups to generate operational inventory projections
Generate station and warehouse targets (maximum order quantities) based on flight schedule and provisioning estimates
Work closely with the OnBoard Services operational teams to understand operational changes and how they will impact inventory needs
Assist in the development of a new forecasting tools
Identify and develop reports for commonly requested forecast needs
Create dashboards for business users
Clearly articulate forecasting assumptions
Work with operational team to continuously cleanse data with the expectation of constantly improving forecast projections
Be well versed in all OBS processes to help brainstorm process improvement opportunities

What you need to succeed (minimum qualifications)
Where permitted by applicable law, must have received or be willing to receive the COVID-19 vaccine by date of hire to be considered for U.S.-based job, if not currently employed by Delta Air Lines, Inc.
Embraces diverse people, thinking and styles
Consistently makes safety and security, of self and others, the priority
Advanced degree or certification in statistics, information technology, supply chain, IT, business management, engineering or related field
Knowledge of SQL required
Experience with data science tools (R, Python, SAS) preferred
Excellent data analytical skillsable to pull together and combine data from disparate sources to analyze and summarize into recommendations and actions
Excellent cross-organization problem resolution and communication skills
Demonstrated Leadership Potential

What will give you a competitive edge (preferred qualifications) N/A < Go back",Company - Public,Airlines,$60K - $75K (Employer est.),1928,Data Analyst,$10+ billion (USD)
123,Unknown / Non-Applicable,Novartis,201 to 500 Employees,"Cambridge, MA",4.1,"Who We Are
At Aurora, we’re on a mission to deliver the benefits of self-driving technology safely, quickly, and broadly. It all starts with the Aurora Driver, a platform created from industry-leading hardware and software and designed to adapt across a variety of vehicle types and industries.
We’re led by a team of self-driving luminaries, and we’ve forged strategic partnerships with leading transportation companies—including ride-hailing network Uber, truck-manufacturers PACCAR and Volvo Trucks, and the world’s largest automaker Toyota—setting us up to deliver the Aurora Driver in both trucks and passenger vehicles. We are funded by Amazon, Uber, T Rowe Price, and some of Silicon Valley’s best venture capital firms, including Sequoia, Greylock, and Index Ventures.
Aurora is in the best position to lead the self-driving space with a team of unparalleled depth and expertise, the technology to deliver, and the partnerships to build a transformative business for the long-term.",IT Services,Information Technology,$60K - $75K (Employer est.),Company - Private,Data Scientist (Machine Learning),
124,Unknown / Non-Applicable,Anjaman Technologies LLC,201 to 500 Employees,Remote,4.1,"Who We Are
At Aurora, we’re on a mission to deliver the benefits of self-driving technology safely, quickly, and broadly. It all starts with the Aurora Driver, a platform created from industry-leading hardware and software and designed to adapt across a variety of vehicle types and industries.
We’re led by a team of self-driving luminaries, and we’ve forged strategic partnerships with leading transportation companies—including ride-hailing network Uber, truck-manufacturers PACCAR and Volvo Trucks, and the world’s largest automaker Toyota—setting us up to deliver the Aurora Driver in both trucks and passenger vehicles. We are funded by Amazon, Uber, T Rowe Price, and some of Silicon Valley’s best venture capital firms, including Sequoia, Greylock, and Index Ventures.
Aurora is in the best position to lead the self-driving space with a team of unparalleled depth and expertise, the technology to deliver, and the partnerships to build a transformative business for the long-term.",IT Services,Information Technology,$60K - $75K (Employer est.),Company - Private,Data Analyst,
125,Biotech & Pharmaceuticals,Community Health Center Association of Connecticut,201 to 500 Employees,"Cheshire, CT",4.1,"Who We Are
At Aurora, we’re on a mission to deliver the benefits of self-driving technology safely, quickly, and broadly. It all starts with the Aurora Driver, a platform created from industry-leading hardware and software and designed to adapt across a variety of vehicle types and industries.
We’re led by a team of self-driving luminaries, and we’ve forged strategic partnerships with leading transportation companies—including ride-hailing network Uber, truck-manufacturers PACCAR and Volvo Trucks, and the world’s largest automaker Toyota—setting us up to deliver the Aurora Driver in both trucks and passenger vehicles. We are funded by Amazon, Uber, T Rowe Price, and some of Silicon Valley’s best venture capital firms, including Sequoia, Greylock, and Index Ventures.
Aurora is in the best position to lead the self-driving space with a team of unparalleled depth and expertise, the technology to deliver, and the partnerships to build a transformative business for the long-term.",IT Services,Information Technology,$60K - $75K (Employer est.),Company - Private,IT Data Analyst,
126,,Bayer,,"Chesterfield, MO",,"IT Data Analyst
JOB DESCRIPTION AND SPECIFICATIONS
ABOUT US:
The Community Health Center Association of Connecticut (“CHCACT”) is a membership association comprised of community health centers, all of whom provide comprehensive health care to the people of Connecticut and beyond. The Association, with headquarters in Cheshire, Connecticut is a recognized national leader in the provision of technical assistance and training in practice transformation and quality improvement. Our team of professionals is dedicated to strengthening and supporting the clinical and operational performance of community health centers. Our mission is to advance and align the work of health centers, with stakeholders, to improve the health and wellness of all.",,,$60K - $75K (Employer est.),,Precision Genomics Data Science Co-Op,
127,Information Technology,Facebook,10000+ Employees,"Fremont, CA",4.4,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Precision Genomics Data Science Co-Op",Company - Public,Internet,$60K - $75K (Employer est.),2004,Data Analyst - Ads Revenue Accounting,$10+ billion (USD)
128,Information Technology,Microsoft,10000+ Employees,"Bellevue, WA",4.4,"Facebook is seeking an intellectually curious professional who will drive analysis and generate actionable insights to support the revenue accounting team and their business partners. You will partner with team members to develop analytical controls and to improve the overall accuracy of the revenue streams and the efficiency of our accounting processes. You will be challenged everyday to utilize deep knowledge of SQL and statistics to solve complex problems in a scalable way. You will be responsible for translating complex data into meaningful interpretations and recommendations for your business partners.
Work with large complex data sets to solve difficult, non-routine, analysis problems
Collaborate with a wide variety of cross-functional partners to understand business needs, formulate and complete data analysis, and distill complex analysis into insights
Leverage analytical techniques to improve accuracy of our revenue streams
Develop and maintain SQL scripts for the revenue accounting team
Deliver dashboards and reporting on a regular cadence to allow business users to interact with the complex analysis work",Company - Public,Internet,$60K - $75K (Employer est.),2004,Data & Applied Scientist,$10+ billion (USD)
129,Business Services,Accenture,10000+ Employees,"Arlington, VA",4.1,"Are you looking for an opportunity to solve business-critical problems for Fortune-500 customers globally using cutting-edge AI and ML technology? Do you enjoy tackling technical challenges and producing innovative solutions to real-world problems? Then come join the AI Platform team in Microsoft. You will be working along the best AI/ML engineering, science, and product talent in the industry and engaging with the largest, most complex customers and ISVs in the world.
Artificial Intelligence (AI) and Machine Learning (ML) is the next explosive growth area in technology relevant to every business in every industry on the planet. The data economy is already booming, and in 2021 there will be a projected 35 zettabytes of data generated by 50 billion connected devices. From these mountains of data, AI and ML will harvest valuable predictive signals and patterns that will fundamentally transform the face of business. With our own already existing volumes of data and research assets, Microsoft is investing to be a key player and a market leader in this industry.

The AI Platform organization at Microsoft has the charter to bring the best of our AI & Research assets, tools and cloud infrastructure, rich data, and trusted position together, to deliver AI and ML services and solutions to customers. The mission of the AI Commercial Engineering team within the AI Platform Product Management organization is to co-innovate, incubate, and improve our core AI platform from scenarios utilizing Azure Cognitive Services and Azure ML. We do so by building and infusing AI technologies in real world solutions and extending the signals from real world patterns to building robust, scalable AI platform services and products. To achieve this, we are co-innovating AI and ML powered solutions (rich APIs, ML models and end to end services) with our strategic ISVs and Enterprise customers, leveraging many other Azure technologies, including Azure Data Analytics (Synapse, ADF, SQL and ADB) and Python/C# microservices, Azure Functions and AKS.",Company - Public,Consulting,$60K - $75K (Employer est.),1989,Federal - Data Visualization Specialist,$10+ billion (USD)
130,Business Services,Atlanta Regional Commission,10000+ Employees,"Atlanta Central City Post Offi, GA",4.1,"Organization: Accenture Federal Services
Location: Washington, DC
We are:
Accenture Federal Services, helping our federal clients tackle their toughest challenges while unleashing their fullest potential…and then some. What makes our approach so unique? Operating from the nation’s capital, we bring together commercial innovation and leading-edge technologies to deliver an integrated and interactive experience that far exceeds expectations. How? Our passion meets purpose! Through our diverse culture and inclusive thinking, we embrace our employees' ideas taking them from concept to practical solutions. Not to mention, we sleep well at night knowing our work directly impacts and improves the way the world works. We keep our tech smarts sharp by providing abundant training and certification opportunities. Are you ready to learn and grow in a career, while making a difference?",Company - Public,Consulting,$60K - $75K (Employer est.),1989,Data Visualization Assistant – PT Temp,$10+ billion (USD)
131,Unknown / Non-Applicable,Workman Forensics,51 to 200 Employees,"Tulsa, OK",3.9,"Center
Center for Livable Communities

Group
Research & Analytics

Salary Range
$15.00-$17.00




POSITION SUMMARY:",State & Regional Agencies,Government,$60K - $75K (Employer est.),Government,Data Analyst,
132,,SubjectWell,1 to 50 Employees,"Austin, TX",,"JOB TITLE: Data Analyst
*
LOCATION: Workman Forensics 822 E 6th St Tulsa, OK 74105
PAY: $25 - $30/hour DOE
REPORTING TO: Forensic Accounting Manager
RESPONSIBLE TO: CEO
HOURS OF WORK: 32.5 hours per week beginning on or after Sep 1, 2021
WORK DAYS: Monday through Friday",Unknown / Non-Applicable,,$60K - $75K (Employer est.),Company - Private,Junior Data Analyst,
133,Information Technology,Luxoft,10000+ Employees,"Middletown, NJ",4.5,"Junior Data Analyst

About SubjectWell
SubjectWell is a venture-backed startup on an unstoppable mission to disrupt the antiquated $100 billion dollar clinical trial patient recruitment sector. Almost all clinical trials fall behind schedule, leaving patients unable to access the most promising treatments and pharmaceutical and biotech companies unable to quickly carry their innovations to market. SubjectWell was founded by two entrepreneurs on their third successful startup, to unlock the potential of a true marketplace for clinical trials. We leverage proven data science and performance marketing techniques to hit a hard reset to the massive patient recruitment challenge that sits at the critical nexus of speeding delivery of the best therapeutics to the world.",Company - Public,IT Services,$60K - $75K (Employer est.),2000,Data Scientist,Unknown / Non-Applicable
134,Information Technology,Argonne National Laboratory,10000+ Employees,"Chicago, IL",4.2,"Project Description:
Luxoft has been asked to contract a Data Scientist in support of a number of customer initiatives. The primary objective is to turn statistical information into meaningful, actionable insights in the Telecom/network work environment

Responsibilities:
Responsible for development of customer facing use cases, such as curation analytics, anomaly detection, etc. using rule based / pattern based programming and standard AI/ML models. Development of some use cases will require device farm automation, data scraping & extraction, and/or other methodologies as prescribed by use cases. May also be responsible for data ingestion, common data structures, publishers, building reports, and in the future may be responsible for cloud strategy and engineering backend systems (may be in cloud). This person will have a role of a technical data steward for the output data structures.

Duties include but not limited to:",Company - Public,IT Services,$60K - $75K (Employer est.),2000,Data Scientist - Life Sciences,Unknown / Non-Applicable
135,Information Technology,Facebook,10000+ Employees,"Redmond, WA",4.2,"Project Description:
Luxoft has been asked to contract a Data Scientist in support of a number of customer initiatives. The primary objective is to turn statistical information into meaningful, actionable insights in the Telecom/network work environment

Responsibilities:
Responsible for development of customer facing use cases, such as curation analytics, anomaly detection, etc. using rule based / pattern based programming and standard AI/ML models. Development of some use cases will require device farm automation, data scraping & extraction, and/or other methodologies as prescribed by use cases. May also be responsible for data ingestion, common data structures, publishers, building reports, and in the future may be responsible for cloud strategy and engineering backend systems (may be in cloud). This person will have a role of a technical data steward for the output data structures.

Duties include but not limited to:",Company - Public,IT Services,$60K - $75K (Employer est.),2000,Data Analyst,Unknown / Non-Applicable
136,Information Technology,Envision,10000+ Employees,"Saint Louis, MO",4.2,"Project Description:
Luxoft has been asked to contract a Data Scientist in support of a number of customer initiatives. The primary objective is to turn statistical information into meaningful, actionable insights in the Telecom/network work environment

Responsibilities:
Responsible for development of customer facing use cases, such as curation analytics, anomaly detection, etc. using rule based / pattern based programming and standard AI/ML models. Development of some use cases will require device farm automation, data scraping & extraction, and/or other methodologies as prescribed by use cases. May also be responsible for data ingestion, common data structures, publishers, building reports, and in the future may be responsible for cloud strategy and engineering backend systems (may be in cloud). This person will have a role of a technical data steward for the output data structures.

Duties include but not limited to:",Company - Public,IT Services,$60K - $75K (Employer est.),2000,Data Scientist,Unknown / Non-Applicable
137,Government,Accenture,10000+ Employees,"Raleigh, NC",4.2,"Project Description:
Luxoft has been asked to contract a Data Scientist in support of a number of customer initiatives. The primary objective is to turn statistical information into meaningful, actionable insights in the Telecom/network work environment

Responsibilities:
Responsible for development of customer facing use cases, such as curation analytics, anomaly detection, etc. using rule based / pattern based programming and standard AI/ML models. Development of some use cases will require device farm automation, data scraping & extraction, and/or other methodologies as prescribed by use cases. May also be responsible for data ingestion, common data structures, publishers, building reports, and in the future may be responsible for cloud strategy and engineering backend systems (may be in cloud). This person will have a role of a technical data steward for the output data structures.

Duties include but not limited to:",Advertising & Marketing,Federal Agencies,$60K - $75K (Employer est.),2000,Core Compete Data Engineer,Unknown / Non-Applicable
138,Information Technology,Turo,201 to 500 Employees,"San Francisco, CA",4.7,"In this exciting area of research, you will be applying machine learning techniques to problems in the life sciences with an emphasis on using computational approaches for detecting patterns in a variety of contexts including cancer, brain injury, infectious disease and microbial community datasets. Problems typically involve the construction of computational models for phenotype prediction from data that includes genomic data and other omics data. This role will develop and apply computational models on new experimental data, provide measures of uncertainty, and participate in interdisciplinary discussions aimed at the design of new experiments. You will report on results of research including publishing scholarly papers in scientific journals, give presentations at symposia, conferences, meetings, and seminars. You will also participate in the preparation of reports and proposals required by funding agencies to obtain and continue funding support.
We are seeking outstanding people to join us in the Data Science and Learning Division and the Bioscience Division at all career levels. As a multidisciplinary national laboratory, Argonne offers an exciting campus atmosphere in which to collaborate on interdisciplinary projects developing solutions to complex scientific and engineering problems on the world’s largest parallel supercomputers.
Research Development (RD)
Biology 1
Long-Term (Fixed Term)
Full time",Company - Private,Internet,$60K - $75K (Employer est.),2009,Product Data Analyst,Unknown / Non-Applicable
139,Information Technology,Bayer,201 to 500 Employees,"Chesterfield, MO",4.7,"Data is our fuel at Turo. It is ever-more abundant and valuable, but it's raw material. Harnessed by data analysts, data scientists, and machine learning engineers, it propels Turo on its mission to put the world's 1.5+ billion cars to better use, delighting our customers with matching the right car for their next adventure from an exceptionally diverse selection, and at the same time helping our marketplace remain safe.
About the role
As a member of the Analytics team, you will have the opportunity to explore and understand how millions of guests and hosts interact with Turo's marketplace, and use data to solve meaningful business problems. Examples of projects you would work on include, but are not limited to - understanding and improving guest acquisition/conversion/retention, improving host profitability & retention, testing and optimizing different pricing strategies, improving unit economics, identifying next levers of supply and demand growth. You will closely work with product counterparts and influence the product roadmap.",Company - Private,Internet,$60K - $75K (Employer est.),2009,Data Science Co-Op,Unknown / Non-Applicable
140,Transportation & Logistics,"Fleetmaster Express, Inc.",201 to 500 Employees,"Roanoke, VA",3.7,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Data Science Co-Op",Company - Private,Trucking,$60K - $75K (Employer est.),1987,ENTRY LEVEL STATISTICAL ANALYST,$50 to $100 million (USD)
141,Transportation & Logistics,Passion,201 to 500 Employees,"Atlanta Central City Post Offi, GA",3.7,"ENTRY LEVEL STATISTICAL ANALYST
Fleetmaster Express, a 30+ year old family-owned trucking company is headquartered in Roanoke, VA, with a presence in multiple states. At Fleetmaster, we offer a competitive salary and benefits package, including insurances, 401(k) with a generous match, vacation, sick pay, holidays and the opportunity to be part of a team, not just an employee. To find out more about this current opportunity, read on.
EDUCATION:
Undergraduate degree in a technical discipline preferably in statistics, mathematics, or engineering. A degree in economics, finance, logistics, business management, or computer science is acceptable if accompanied by a strong mathematical background.
SKILLS:",Company - Private,Trucking,$60K - $75K (Employer est.),1987,Data Analyst,
142,Unknown / Non-Applicable,DSM,51 to 200 Employees,"Lexington, MA",4.3,"DATA ANALYST
Passion City Church / sixstepsrecords / Passion Conferences / Passion Publishing
OBJECTIVE
Supports the mission and vision of Passion through data analysis, interpretation and storytelling for process improvement, growth opportunities and ministry impact.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Leverages SQL reporting to meet Passion's analytical needs
Builds and maintains business intelligence reporting and systems",Religious Organizations,Non-Profit,$60K - $75K (Employer est.),Nonprofit Organization,"Omics Data Scientist - Lexington, MA",
