,Founded,Revenue,Location,Job Title,Rating,Company Name,Size,Type of Ownership,Industry,Sector,Salary Estimate,Job Description
207,1863,$10+ billion (USD),"Atlanta Central City Post Offi, GA",Data Visualization Assistant – PT Temp,4.1,Atlanta Regional Commission,10000+ Employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$23 - $31 Per Hour(Employer est.),"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Decision Scientist Co-Op"
208,Government,$10+ billion (USD),"Plano, TX",Junior Data Scientist,3.9,Toyota,51 to 200 Employees,State & Regional Agencies,Government,,$23 - $31 Per Hour(Employer est.),"Center
Center for Livable Communities

Group
Research & Analytics

Salary Range
$15.00-$17.00




POSITION SUMMARY:"
209,1957,$10+ billion (USD),"Rochester, MN",Associate Data Science Analyst - DOM AI and Innovation,3.9,Mayo Clinic,10000+ Employees,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$23 - $31 Per Hour(Employer est.),"Who We Are
Collaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world's most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We're looking for diverse, talented team members who want to Dream. Do. Grow. with us.
An important part of the Toyota family is Toyota Financial Services (TFS), the finance and insurance brand for Toyota and Lexus in North America. While TFS is a separate business entity, it is an essential part of this world-changing company – delivering on Toyota's vision to move people beyond what's possible. At TFS, you will help create best-in-class customer experiences in an innovative, collaborative environment.
Who We're Looking For"
210,,,"Chicago, IL",Data Engineer,,Treeco Group,,,,,$23 - $31 Per Hour(Employer est.),"We’re looking for an experienced Data Engineer with a strong background in statistics and SQL, Python and/or R skills to join our team! Do you want a role where you can really make a difference? Then this role could be perfect for you! In this role you will apply your deep expertise in analytics and data science techniques to enable better customer understanding and inform business decisioning for us.
Key Responsibilities
Contribute to a shared analytics architecture and plan for machine decisioning, claims optimisation and manage components of delivery to that plan.
Elicit and understand stakeholder needs before scoping and developing analytical methodologies to generate training data and build advanced analytical models and solutions with a view to activating them within business processes.
Adopt a product management approach to deliver valuable improvements often, continuously improve and meet stakeholder needs."
211,,,"Irving, TX","Entry-Level Data Positions (Data Engineer, Machine Learning & Visualization)",,Citi,,,,,$23 - $31 Per Hour(Employer est.),"We’re looking for an experienced Data Engineer with a strong background in statistics and SQL, Python and/or R skills to join our team! Do you want a role where you can really make a difference? Then this role could be perfect for you! In this role you will apply your deep expertise in analytics and data science techniques to enable better customer understanding and inform business decisioning for us.
Key Responsibilities
Contribute to a shared analytics architecture and plan for machine decisioning, claims optimisation and manage components of delivery to that plan.
Elicit and understand stakeholder needs before scoping and developing analytical methodologies to generate training data and build advanced analytical models and solutions with a view to activating them within business processes.
Adopt a product management approach to deliver valuable improvements often, continuously improve and meet stakeholder needs."
212,1967,$10+ billion (USD),"Las Vegas, NV",Data Governance Tool/Analyst,3.8,Capgemini,10000+ Employees,Company - Public,Enterprise Software & Network Solutions,Information Technology,$23 - $31 Per Hour(Employer est.),"Citi Consumer Technology is seeking dozens of talented entry-level engineers for its Data & Analytics organization, based in Dallas, Texas, and Jacksonville, Fla.
We work with a variety of technologies and are hiring across multiple teams, including Visualization, Data Engineering & Machine Learning Engineering. You’ll find more information below on our roles, our interview process, and our commitment to your growth and development.
Applications are accepted year-round, with multiple start dates organized around orientation trainings.
Our Organization
The best way to think about Citi Consumer Technology is that we’re a tech company inside a bank. We develop software that has a variety of end users: mobile apps and websites that help our customers manage their money, desktop software that allows our customer service agents to provide help and advice, and internal databases, microservices or tools that teams at Citi rely upon every day.
Technology
Digital Software Engineering"
213,1967,$10+ billion (USD),"Atlanta Central City Post Offi, GA",Data Science Specialist,3.8,Accenture,10000+ Employees,Company - Public,Enterprise Software & Network Solutions,Information Technology,$23 - $31 Per Hour(Employer est.),"Duration: 6+Months

Requirements:

Must be knowledgeable on how to implement a metadata/data catalog tool
Must be knowledgeable on the process for selecting and evaluating software applications
Must be able to facilitate meetings to gather requirements
Data Catalog (metadata) tool implementation experience; Tool selection process experience; facilitation skills

The Capgemini Freelancer Gateway is enabled by a cutting-edge software platform that leads the contingent labor world for technology innovation. The software platform leverages Machine Learning and Artificial Intelligence to make sure the right people end up in the right job."
214,1928,$10+ billion (USD),"Atlanta Central City Post Offi, GA",Specialist,4.4,Delta,10000+ Employees,Company - Public,Airlines,Travel & Tourism,$23 - $31 Per Hour(Employer est.),"Organization: Corporate Functions/Research
Location: US Negotiable - New York, Boston, Chicago, Atlanta
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions — underpinned by the world’s largest delivery network — Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 505,000 people serving clients in more than 200 cities with operations across 51 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com.
People in the Corporate Function contribute to the running of Accenture as a high- performance business through specialization within a specific functional area, and grow into internally focused roles by deepening their skills and/or developing new skills within an internal functional area."
215,1928,$10+ billion (USD),"Beverly, MA",Data Scientist,4.4,Axcelis Technologies Inc.,10000+ Employees,Company - Public,Airlines,Travel & Tourism,$23 - $31 Per Hour(Employer est.),"United States, Georgia, Atlanta
Inflight Services
15-Jul-2021
Ref #: 7941 How you'll help us Keep Climbing (overview & key responsibilities)
The Specialist will be responsible for driving all OBS Forecast for passenger supplies. These forecasts will include forward projections for supplier production as well as projections for the procurement function.

Work closely across the organization with the stakeholders of the OBS planning, service delivery, supply chain management, and finance groups to generate operational inventory projections
Generate station and warehouse targets (maximum order quantities) based on flight schedule and provisioning estimates
Work closely with the OnBoard Services operational teams to understand operational changes and how they will impact inventory needs
Assist in the development of a new forecasting tools
Identify and develop reports for commonly requested forecast needs
Create dashboards for business users
Clearly articulate forecasting assumptions
Work with operational team to continuously cleanse data with the expectation of constantly improving forecast projections
Be well versed in all OBS processes to help brainstorm process improvement opportunities

What you need to succeed (minimum qualifications)
Where permitted by applicable law, must have received or be willing to receive the COVID-19 vaccine by date of hire to be considered for U.S.-based job, if not currently employed by Delta Air Lines, Inc.
Embraces diverse people, thinking and styles
Consistently makes safety and security, of self and others, the priority
Advanced degree or certification in statistics, information technology, supply chain, IT, business management, engineering or related field
Knowledge of SQL required
Experience with data science tools (R, Python, SAS) preferred
Excellent data analytical skillsable to pull together and combine data from disparate sources to analyze and summarize into recommendations and actions
Excellent cross-organization problem resolution and communication skills
Demonstrated Leadership Potential

What will give you a competitive edge (preferred qualifications) N/A < Go back"
216,2000,$1 to $5 million (USD),Virginia,Data Analyst,,FedEx Services,10000+ Employees,Company - Public,Logistics & Supply Chain,Transportation & Logistics,$23 - $31 Per Hour(Employer est.),"Program Manager - Augmented Reality Solutions
The augmented reality solutions team will work to develop AR products for use by manufacturing, product support, field service, and customers. The next-gen training and manufacturing tools will enable superior remote support, create unparalleled procedure delivery, streamline customer training and deliver advanced troubleshooting and manufacturing capabilities.
Develop innovative AR solutions for a global high-tech manufacturing environment
Define and maintain project scopes and compliance with stakeholder values
Coordinate with vendors to deliver sustainable next-gen training and troubleshooting interfaces
Test and evaluate project and product effectiveness
- Work with cross functional international teams - including manufacturing, engineering, product support, field service, marketing, and training teams to collect feedback and refine requirements"
217,2000,$1 to $5 million (USD),"Beaverton, OR","Director, Communications Algorithms Data Science",4.1,Nike,10000+ Employees,Company - Public,Logistics & Supply Chain,Transportation & Logistics,$23 - $31 Per Hour(Employer est.),"Company: FedEx Services
Job Title: Data Analyst
Job Requisition Number: RC389493
Category: Decision Science & Analytics
Pay Type: Exempt
Locations:
Remote, Tennessee 38120
United States

Oklahoma City, Oklahoma 73105
United States

Compensation: Monthly Salary $4504.12 - $6688.92
The estimate displayed represents the typical salary range or starting rate of candidates hired in Colorado. Factors that may be used to determine your actual salary may include your specific skills, your remote work location (for remote postings), how many years of experience you have, and comparison to other employees already in this role."
218,Company - Private,,"Washington, DC",SAS Data Scientist,2.4,FAAZ Consulting,201 to 500 Employees,Unknown / Non-Applicable,,,$23 - $31 Per Hour(Employer est.),"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Who are we looking for
We are looking for an experienced leader for our Communications Algorithms Data Science team. The Director of Communications Algorithms Data Science will lead a team of data scientists who are responsible for powering science capabilities (statistical modeling, machine learning including bandits, deep learning) across Nike’s marketing and messaging ecosystem! This includes implementing data science algorithms that ensure messages are relevant and timely for individual consumers to maximize Nike’s marketing and membership efforts. We are seeking a leader who can develop a results-oriented roadmap, collaborate with engineering and product partners, and mentor and guide their team to push the edges of data science.
What will you work on
Who will you work with"
219,1998,$10+ billion (USD),"San Jose, CA",Data Scientist 1,,PayPal,10000+ Employees,Company - Public,Internet,Information Technology,$23 - $31 Per Hour(Employer est.),"Experience using Python
Experience with probabilistic modelling, clustering and deep learning frameworks
Experience with SQL and NoSQL
SAS Data Scientist Certification
Job Type: Full-time
Pay: $90.00 - $110.00 per hour
License/Certification:
SAS Data Scientist Certification (Preferred)"
220,1998,,"Chesapeake, VA",Data Analyst,4.1,clubcarwash,10000+ Employees,Company - Public,,,$23 - $31 Per Hour(Employer est.),"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 392 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
Job Description Summary: Simility, a PayPal Service, is an end-to-end fraud management platform helping large merchants, banks, and other Fortune 1000 companies manage fraud and risk. Our systems help enterprises detect fraudulent events real time and help protect these enterprises from online threats. We do so by creatively harnessing the power of data, machine learning and humans and be on the cutting edge of fraud detection techniques and algorithms. Simility welcomes big thinkers and passionate team players, who are ready to take their career to the next level."
221,1967,$10+ billion (USD),"Atlanta Central City Post Offi, GA",Big Data Dev,3.8,Capgemini,10000+ Employees,Company - Public,Enterprise Software & Network Solutions,Information Technology,$23 - $31 Per Hour(Employer est.),"Full Job Description
COMPANY PROFILE
Club Car Wash is one of the fastest growing tunnel car wash companies in the United States. We currently operate 38+ stores throughout Missouri, Kansas, Illinois, and Iowa and plan to surpass 100+ stores by 2023. With this type of growth, there is boundless opportunities for career-minded talent who strives to provide exceptional service and excellent car wash quality for all of our customers. Have fun working in a professional, indoor/outdoor work environment.
Are you ready to #JoinTheClub ?
The Data Analyst analyzes data and provides insights to the business to improve our marketing and lead allocation performance. They research new data sources, deep dive into existing data, discover patterns, offer recommendations and impacts assessments to enable data-driven decision making. The Data Analyst works closely with our data science team to improve scoring and predictive analytics. They develop deep partnerships with business areas within the company."
222,1967,$10+ billion (USD),"Chicago, IL",Data Analyst,3.8,Nova Collective,10000+ Employees,Company - Public,Enterprise Software & Network Solutions,Information Technology,$23 - $31 Per Hour(Employer est.),"Duration: 3+Months

Requirements:

Can deploy infrastructure on their own
Can setup CI/CD on their own
Is familiar with testing strategies
In depth knowledge of SQL and relational databases
Has exposure to other types of databases such as NoSQL
Understands enough about metadata and data governance"
223,Company - Public,,"Sacramento, CA",Python Developer -With Data Science Experience,,Pivosys Inc.,1 to 50 Employees,Unknown / Non-Applicable,,,$23 - $31 Per Hour(Employer est.),"Duration: 3+Months

Requirements:

Can deploy infrastructure on their own
Can setup CI/CD on their own
Is familiar with testing strategies
In depth knowledge of SQL and relational databases
Has exposure to other types of databases such as NoSQL
Understands enough about metadata and data governance"
224,Company - Public,,"Plano, TX",Junior Data Scientist,,Toyota,1 to 50 Employees,Unknown / Non-Applicable,,,$23 - $31 Per Hour(Employer est.),"Python Developer - With Data Science Experience
C2C
Position is with Cognizant and so should not have a submission with them in the last 3 months. if you applied, don't apply now.
Job Type: Full-time
Pay: $35.00 - $56.00 per hour
Schedule:
8 hour shift"
225,,,"Lake Forest, IL",Data Visualization Analyst,,Brilliant,,,,,$23 - $31 Per Hour(Employer est.),"Who We Are
Collaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world's most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We're looking for diverse, talented team members who want to Dream. Do. Grow. with us.
An important part of the Toyota family is Toyota Financial Services (TFS), the finance and insurance brand for Toyota and Lexus in North America. While TFS is a separate business entity, it is an essential part of this world-changing company – delivering on Toyota's vision to move people beyond what's possible. At TFS, you will help create best-in-class customer experiences in an innovative, collaborative environment.
Who We're Looking For"
226,,,"Fremont, CA",Data Analyst - Ads Revenue Accounting,,Facebook,,,,,$23 - $31 Per Hour(Employer est.),"This is a 100% remote role.
No more than 3 years of experience.
Summary:
Data Visualization Analyst , you will be the data expert and advisor for Workforce Analytics. The position is critical in supporting multiple People Disciplines within the business
You will have the opportunity to:
Maintain weekly, monthly and quarterly workforce metrics and analysis
Provide written insights on scheduled and ad hoc data analysis request
Use consulting skills to determine and articulate internal customer business questions, develop the best approach for data analysis and turn data into actionable insights & actions
Support HR data analysis as assigned.
You will love it here if…
You are detail oriented
You thrive in a fast paced and high energy environment
You are a creative and dynamic problem solver
You are committed to excellence"
227,2004,$10+ billion (USD),"Denver, CO",Data Scientist,4.4,"VIZIO, Inc.",10000+ Employees,Company - Public,Internet,Information Technology,$23 - $31 Per Hour(Employer est.),"Facebook is seeking an intellectually curious professional who will drive analysis and generate actionable insights to support the revenue accounting team and their business partners. You will partner with team members to develop analytical controls and to improve the overall accuracy of the revenue streams and the efficiency of our accounting processes. You will be challenged everyday to utilize deep knowledge of SQL and statistics to solve complex problems in a scalable way. You will be responsible for translating complex data into meaningful interpretations and recommendations for your business partners.
Work with large complex data sets to solve difficult, non-routine, analysis problems
Collaborate with a wide variety of cross-functional partners to understand business needs, formulate and complete data analysis, and distill complex analysis into insights
Leverage analytical techniques to improve accuracy of our revenue streams
Develop and maintain SQL scripts for the revenue accounting team
Deliver dashboards and reporting on a regular cadence to allow business users to interact with the complex analysis work"
228,1989,$10+ billion (USD),"Arlington, VA",Federal - Data Visualization Specialist,4.1,Accenture,10000+ Employees,Company - Public,Consulting,Business Services,$23 - $31 Per Hour(Employer est.),
229,1989,$10+ billion (USD),"Austin, TX",Junior Data Analyst,4.1,SubjectWell,10000+ Employees,Company - Public,Consulting,Business Services,$23 - $31 Per Hour(Employer est.),"Organization: Accenture Federal Services
Location: Washington, DC
We are:
Accenture Federal Services, helping our federal clients tackle their toughest challenges while unleashing their fullest potential…and then some. What makes our approach so unique? Operating from the nation’s capital, we bring together commercial innovation and leading-edge technologies to deliver an integrated and interactive experience that far exceeds expectations. How? Our passion meets purpose! Through our diverse culture and inclusive thinking, we embrace our employees' ideas taking them from concept to practical solutions. Not to mention, we sleep well at night knowing our work directly impacts and improves the way the world works. We keep our tech smarts sharp by providing abundant training and certification opportunities. Are you ready to learn and grow in a career, while making a difference?"
230,2004,$10+ billion (USD),"Seattle, WA","Data Scientist, Analytics (University Grad)",,Facebook,10000+ Employees,Company - Public,Internet,Information Technology,$23 - $31 Per Hour(Employer est.),"Junior Data Analyst

About SubjectWell
SubjectWell is a venture-backed startup on an unstoppable mission to disrupt the antiquated $100 billion dollar clinical trial patient recruitment sector. Almost all clinical trials fall behind schedule, leaving patients unable to access the most promising treatments and pharmaceutical and biotech companies unable to quickly carry their innovations to market. SubjectWell was founded by two entrepreneurs on their third successful startup, to unlock the potential of a true marketplace for clinical trials. We leverage proven data science and performance marketing techniques to hit a hard reset to the massive patient recruitment challenge that sits at the critical nexus of speeding delivery of the best therapeutics to the world."
231,2004,,"Saint Louis, MO",Data Scientist,4.4,Envision,10000+ Employees,Company - Public,Internet,Information Technology,$23 - $31 Per Hour(Employer est.),"Are you passionate about Facebook’s product, analytics and technology? The Analytics team is looking for fast-moving analytics candidates and data junkies who want to make an impact. Candidates will help own analytics for a particular product or business at Facebook and work with product managers and engineers to translate the analysis into meaningful impact to the business. Please note that candidates will have a general interview and then we will make a determination of actual team assignments.
Perform large-scale data analysis and develop effective statistical models for segmentation, classification, optimization, time series, etc.
Design and implement reporting dashboards that track key business metrics and provide actionable insights
Identify actionable insights, suggest recommendations and influence the direction of the business by effectively communicating results to cross-functional groups
Work closely with Product or Engineering & Operations teams to proactively create rule and manage decisions"
232,Company - Private,,"New York, NY",Data Science Analyst,,CVS Health,51 to 200 Employees,Advertising & Marketing,Business Services,Unknown / Non-Applicable,$23 - $31 Per Hour(Employer est.),"Basic Qualifications:
Masters Degree in Statistics, Biostatistics, Data Science, Applied Mathematics, or another highly quantitative discipline;

Strong Python coding skills for data management, visualization, and basic modeling (strong experience and knowledge with standard data science packages such as numpy, pandas, matplotlib, seaborn, sklearn)

Demonstrated knowledge and experience manipulating and analyzing various data sets

Strong Statistical, machine learning and deep learning modeling experience

Strong analytical and quantitative problem solving ability, with demonstrated ability to build, test, and iterate on a variety of model forms

Fast learner and follows project instructions

Strong communication skills and the ability to work with diverse cross-functional teams


Proven experience with good coding practices such as version control, code documentation, automated testing, and code review

Experience working with agriculture or soybean crop data

Experience working with crop disease management or crop protection

Experience in SQL, PySpark, or SparklyR/Spark

Ability to translate complex technical concepts to collaborations, decision makers, and non-technical audiences"
233,1994,$10+ billion (USD),"Boulder, CO",SDE- Measurement & Data Science- 2021,3.0,Amazon.com Services LLC,10000+ Employees,Company - Public,Internet,Information Technology,$23 - $31 Per Hour(Employer est.),"Basic Qualifications:
Masters Degree in Statistics, Biostatistics, Data Science, Applied Mathematics, or another highly quantitative discipline;

Strong Python coding skills for data management, visualization, and basic modeling (strong experience and knowledge with standard data science packages such as numpy, pandas, matplotlib, seaborn, sklearn)

Demonstrated knowledge and experience manipulating and analyzing various data sets

Strong Statistical, machine learning and deep learning modeling experience

Strong analytical and quantitative problem solving ability, with demonstrated ability to build, test, and iterate on a variety of model forms

Fast learner and follows project instructions

Strong communication skills and the ability to work with diverse cross-functional teams


Proven experience with good coding practices such as version control, code documentation, automated testing, and code review

Experience working with agriculture or soybean crop data

Experience working with crop disease management or crop protection

Experience in SQL, PySpark, or SparklyR/Spark

Ability to translate complex technical concepts to collaborations, decision makers, and non-technical audiences"
234,1994,$10+ billion (USD),"Pasadena, CA",Data Scientist for GRMDS.org,3.8,RMDS Lab,10000+ Employees,Company - Public,Internet,Information Technology,$23 - $31 Per Hour(Employer est.),"2+ years of non-internship professional software development experience
Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design
1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.
Are you passionate about using Big Data to build customer trust and grow new business? Global advertisers rely on our team's performance insights to drive future investment in Amazon's Advertising Platform and improve the relevance of ads shown to customers. We’re looking for strong Software Engineers that can combine open source technologies such as Hbase, Spark, Hadoop and Presto, as well as AWS services like DynamoDB, Kinesis, Elastic Map Reduce and Redshift to build the next generation of our analytics and visualization platform. If this sounds interesting we’d love to hear from you!
Amazon is well positioned to grow its share of a fast growing online advertising industry due to its unique assets - e-commerce data, service oriented architecture, and startup culture. Be part of a team of industry leading experts that builds and operates one of the largest big data analytics platform at Amazon. Amazon is applying the latest machine learning and big data technologies available to change the way marketers purchase, track, measure, and optimize their advertising spend. We apply these technologies on terabytes of data (over 10B new events per day) and operate clusters that push scalability limits of the existing technologies. We seek to measure every possible signal indicating impact of advertising to provide the most objective result of marketing spends.
This role will involve designing and developing software products that impact many areas of our business. The individual in this role will have responsibility help define requirements, create software designs, implement code to these specifications, provide thorough unit and integration testing, and support products while deployed and used by our stakeholders.

We are hiring in multiple locations, Boulder, Arlington, and Toronto.

The pay range for this position in Colorado is $122,200 - 160,000/yr; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site. Amazon is committed to a diverse and inclusive workplace.

Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us. #madsjob #sspajobs"
235,2010,$25 to $50 million (USD),"Atlanta Central City Post Offi, GA",Data Analyst (US REMOTE),,LeanTaaS,51 to 200 Employees,Company - Private,Health Care Services & Hospitals,Health Care,$23 - $31 Per Hour(Employer est.),"2+ years of non-internship professional software development experience
Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design
1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.
Are you passionate about using Big Data to build customer trust and grow new business? Global advertisers rely on our team's performance insights to drive future investment in Amazon's Advertising Platform and improve the relevance of ads shown to customers. We’re looking for strong Software Engineers that can combine open source technologies such as Hbase, Spark, Hadoop and Presto, as well as AWS services like DynamoDB, Kinesis, Elastic Map Reduce and Redshift to build the next generation of our analytics and visualization platform. If this sounds interesting we’d love to hear from you!
Amazon is well positioned to grow its share of a fast growing online advertising industry due to its unique assets - e-commerce data, service oriented architecture, and startup culture. Be part of a team of industry leading experts that builds and operates one of the largest big data analytics platform at Amazon. Amazon is applying the latest machine learning and big data technologies available to change the way marketers purchase, track, measure, and optimize their advertising spend. We apply these technologies on terabytes of data (over 10B new events per day) and operate clusters that push scalability limits of the existing technologies. We seek to measure every possible signal indicating impact of advertising to provide the most objective result of marketing spends.
This role will involve designing and developing software products that impact many areas of our business. The individual in this role will have responsibility help define requirements, create software designs, implement code to these specifications, provide thorough unit and integration testing, and support products while deployed and used by our stakeholders.

We are hiring in multiple locations, Boulder, Arlington, and Toronto.

The pay range for this position in Colorado is $122,200 - 160,000/yr; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site. Amazon is committed to a diverse and inclusive workplace.

Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us. #madsjob #sspajobs"
236,2010,$25 to $50 million (USD),"New York, NY",Entry Level Data Engineer - September Start Date,3.4,Capgemini,51 to 200 Employees,Company - Private,Health Care Services & Hospitals,Health Care,$23 - $31 Per Hour(Employer est.),"We are a Series D company that’s on a mission to make hospitals more efficient with data science and machine learning. 110+ health systems and 400+ hospitals, across 40 states, rely on our award-winning products to increase patient access, decrease wait times, and reduce healthcare delivery costs. We have raised more than $250 million from top-tier investors such as Insight Partners and Goldman Sachs. We have been named among the top 100 AI companies in the world.
*_
This position can be performed remotely from anywhere in the US, regardless of any location that might be specified. This position will have job duties to cover certain requests from 9AM to 5PM Eastern Time (6AM to 2PM Pacific Time)._*
*_
We have offices in Santa Clara, CA and Charlotte, NC for employees who prefer to work regularly or occasionally from an office._*"
237,1967,$10+ billion (USD),"Cambridge, MA",Data Scientist (Machine Learning),3.8,Novartis,10000+ Employees,Company - Public,Enterprise Software & Network Solutions,Information Technology,$23 - $31 Per Hour(Employer est.),"Travel/Relocation: Must be open to both
Start date: September 20th

Working at Capgemini:

Are you interested in working in a high-tech global consulting firm focused on digital transformations and tech solution implementations? We are looking for a goal oriented compassionate person who can work in a fast-paced environment. Due to our rapid growth we are looking to hire a motivated person who is excited to take the next steps with Capgemini."
238,1996,$10+ billion (USD),Remote,Data Analyst,4.2,Anjaman Technologies LLC,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$23 - $31 Per Hour(Employer est.),"6,000 people dedicated to discovery - 6 research campuses across the globe. As a Data Scientist you will be a part of this great community working to enable the next breakthrough in innovative medicines for patients in need. You will be at the forefront of life sciences, tackling some incredible challenges that are curing diseases and improving patients’ lives.

As a member of the Data Science – Machine Learning team, you will explore and develop machine learning and other advanced analysis approaches to drive drug discovery towards novel innovative medicines. Together with wet-lab scientists and other computational colleagues, you will identify tractable machine learning problems in all stages of drug discovery from disease biology mechanistic understanding, to therapeutic target identification, assay development, safety, and patient stratification. In your role, you will work with drug discovery teams from many different disease areas as part of a large community of hundreds of data scientists in NIBR and Novartis.

You will frame key questions, define appropriate data sets, perform data analysis, or train machine learning models to ultimately address key scientific needs for projects. You will collaborate closely with bench scientists, software engineers, statisticians and bioinformaticians to make sense of high-dimensional pre-clinical and clinical data. This will require you to deploy cutting-edge data science techniques on a wide variety of different data types in order to enable drug discovery teams to succeed. As a successful candidate, you must demonstrate the ability to work cross-functionally, to communicate well, and to deliver impactful results."
239,,$10+ billion (USD),"Chesterfield, MO",Precision Genomics Data Science Co-Op,,Bayer,,,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$23 - $31 Per Hour(Employer est.),"Role: Data Analyst
Location: San Antonio, TX/ Remote
Duration: Long Term
Requirements
Excellence in designing and implementing data collecting instruments
Excellence in analyzing data
Familiarity with Christian higher education, especially a seminary environment
Ability to organize and accomplish multiple projects with minimal supervision
Ability to organize, present, and archive institutional data"
240,,,"Chicago, IL",Data Engineer,,Treeco Group,,,,,$23 - $31 Per Hour(Employer est.),"We’re looking for an experienced Data Engineer with a strong background in statistics and SQL, Python and/or R skills to join our team! Do you want a role where you can really make a difference? Then this role could be perfect for you! In this role you will apply your deep expertise in analytics and data science techniques to enable better customer understanding and inform business decisioning for us.
Key Responsibilities
Contribute to a shared analytics architecture and plan for machine decisioning, claims optimisation and manage components of delivery to that plan.
Elicit and understand stakeholder needs before scoping and developing analytical methodologies to generate training data and build advanced analytical models and solutions with a view to activating them within business processes.
Adopt a product management approach to deliver valuable improvements often, continuously improve and meet stakeholder needs."
241,1812,$10+ billion (USD),"Irving, TX","Entry-Level Data Positions (Data Engineer, Machine Learning & Visualization)",3.9,Citi,10000+ Employees,Company - Public,Investment Banking & Asset Management,Finance,$23 - $31 Per Hour(Employer est.),"We’re looking for an experienced Data Engineer with a strong background in statistics and SQL, Python and/or R skills to join our team! Do you want a role where you can really make a difference? Then this role could be perfect for you! In this role you will apply your deep expertise in analytics and data science techniques to enable better customer understanding and inform business decisioning for us.
Key Responsibilities
Contribute to a shared analytics architecture and plan for machine decisioning, claims optimisation and manage components of delivery to that plan.
Elicit and understand stakeholder needs before scoping and developing analytical methodologies to generate training data and build advanced analytical models and solutions with a view to activating them within business processes.
Adopt a product management approach to deliver valuable improvements often, continuously improve and meet stakeholder needs."
