,Salary Estimate,Sector,Rating,Company Name,Revenue,Job Title,Founded,Type of Ownership,Location,Size,Industry,Job Description
85,$72 Per Hour(Employer est.),Business Services,4.1,Accenture,$10+ billion (USD),Data Engineer,1989,Company - Public,"Overland Park, KS",10000+ Employees,Consulting,"In this exciting area of research, you will be applying machine learning techniques to problems in the life sciences with an emphasis on using computational approaches for detecting patterns in a variety of contexts including cancer, brain injury, infectious disease and microbial community datasets. Problems typically involve the construction of computational models for phenotype prediction from data that includes genomic data and other omics data. This role will develop and apply computational models on new experimental data, provide measures of uncertainty, and participate in interdisciplinary discussions aimed at the design of new experiments. You will report on results of research including publishing scholarly papers in scientific journals, give presentations at symposia, conferences, meetings, and seminars. You will also participate in the preparation of reports and proposals required by funding agencies to obtain and continue funding support.
We are seeking outstanding people to join us in the Data Science and Learning Division and the Bioscience Division at all career levels. As a multidisciplinary national laboratory, Argonne offers an exciting campus atmosphere in which to collaborate on interdisciplinary projects developing solutions to complex scientific and engineering problems on the world’s largest parallel supercomputers.
Research Development (RD)
Biology 1
Long-Term (Fixed Term)
Full time"
86,$72 Per Hour(Employer est.),Business Services,4.1,PerBlue,$10+ billion (USD),Data Analyst,1989,Company - Public,"Madison, WI",10000+ Employees,Consulting,"Who we are:
We are Accenture, a global professional services company and a leading partner to the world’s major cloud providers, including AWS, Azure, and Google. Our longstanding involvement with cloud technology (we have 34,000 completed cloud projects under our belt) was emphasized recently when we consolidated our multiple cloud teams into a single business practice called Accenture Cloud First. The organization is backed by a $3 billion investment over three years.
As part of our Data & AI group, you will lead technology innovation for our clients through robust delivery of world-class solutions. There will never be a typical day and that’s why people love it here. The opportunities to make a difference within exciting client initiatives are unlimited in the ever-changing technology landscape. You will be part of a highly collaborative and growing network of technology and data experts, who are taking on today’s biggest, most complex business challenges using the latest data and analytics technologies. We will nurture your talent in an inclusive culture that values diversity. You will have an opportunity to work in roles such as Data Scientist, Data Engineer, or Chief Data Officer covering all aspects of Data including Data Management, Data Governance, Data Intelligence, Knowledge Graphs, and IoT. Come grow your career in Technology at Accenture!"
87,$72 Per Hour(Employer est.),Biotech & Pharmaceuticals,,Bayer,$10+ billion (USD),Decision Scientist Co-Op,1863,Company - Private,"Chesterfield, MO",10000+ Employees,Biotech & Pharmaceuticals,"PerBlue is looking for our next great aspiring Data Analyst to join our team of experienced mobile game creators. We’re a growing independent studio whose free-to-play midcore mobile games are being played by millions of people around the world, including the award-winning Disney Heroes: Battle Mode.
Our team brings together experience from major studios in the videogame and technology industries. Headquartered in Madison, Wisconsin, we also work remotely around the United States for an unmatched quality of life and work.
In this early-career opportunity, you’ll add your skillset to our Business Intelligence team, providing the analysis and insights to help our team create amazing experiences for our fans around the world. You’re a thoughtful aspiring data wizard who can manage mountains of mobile game data from a variety of sources and discover new ways of understanding and presenting insights to our team from across the studio. You’re a creative thinker who brings a commitment to delivering results.
Principal Responsibilities"
88,$72 Per Hour(Employer est.),Biotech & Pharmaceuticals,4.1,Fortna,$10+ billion (USD),Data Analyst,1863,Company - Private,"Atlanta Central City Post Offi, GA",10000+ Employees,Biotech & Pharmaceuticals,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Decision Scientist Co-Op"
89,$72 Per Hour(Employer est.),Biotech & Pharmaceuticals,4.1,Scipher Medicine,$10+ billion (USD),Data Analyst,1863,Company - Private,"Waltham, MA",10000+ Employees,Biotech & Pharmaceuticals,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Decision Scientist Co-Op"
90,$60K - $75K (Employer est.),Unknown / Non-Applicable,4.1,Aurora,,Data Analyst,Company - Private,IT Services,"Mountain View, CA",201 to 500 Employees,Information Technology,"Who We Are
At Aurora, we’re on a mission to deliver the benefits of self-driving technology safely, quickly, and broadly. It all starts with the Aurora Driver, a platform created from industry-leading hardware and software and designed to adapt across a variety of vehicle types and industries.
We’re led by a team of self-driving luminaries, and we’ve forged strategic partnerships with leading transportation companies—including ride-hailing network Uber, truck-manufacturers PACCAR and Volvo Trucks, and the world’s largest automaker Toyota—setting us up to deliver the Aurora Driver in both trucks and passenger vehicles. We are funded by Amazon, Uber, T Rowe Price, and some of Silicon Valley’s best venture capital firms, including Sequoia, Greylock, and Index Ventures.
Aurora is in the best position to lead the self-driving space with a team of unparalleled depth and expertise, the technology to deliver, and the partnerships to build a transformative business for the long-term."
91,$60K - $75K (Employer est.),Information Technology,4.1,PayPal,$10+ billion (USD),Data Scientist 1,Company - Private,IT Services,"San Jose, CA",201 to 500 Employees,Information Technology,"Who We Are
At Aurora, we’re on a mission to deliver the benefits of self-driving technology safely, quickly, and broadly. It all starts with the Aurora Driver, a platform created from industry-leading hardware and software and designed to adapt across a variety of vehicle types and industries.
We’re led by a team of self-driving luminaries, and we’ve forged strategic partnerships with leading transportation companies—including ride-hailing network Uber, truck-manufacturers PACCAR and Volvo Trucks, and the world’s largest automaker Toyota—setting us up to deliver the Aurora Driver in both trucks and passenger vehicles. We are funded by Amazon, Uber, T Rowe Price, and some of Silicon Valley’s best venture capital firms, including Sequoia, Greylock, and Index Ventures.
Aurora is in the best position to lead the self-driving space with a team of unparalleled depth and expertise, the technology to deliver, and the partnerships to build a transformative business for the long-term."
92,$60K - $75K (Employer est.),Information Technology,4.1,Accenture,$10+ billion (USD),Behavioral Data Science Consultant,1998,Company - Public,"San Francisco, CA",10000+ Employees,Internet,"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 392 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
Job Description Summary: Simility, a PayPal Service, is an end-to-end fraud management platform helping large merchants, banks, and other Fortune 1000 companies manage fraud and risk. Our systems help enterprises detect fraudulent events real time and help protect these enterprises from online threats. We do so by creatively harnessing the power of data, machine learning and humans and be on the cutting edge of fraud detection techniques and algorithms. Simility welcomes big thinkers and passionate team players, who are ready to take their career to the next level."
93,$60K - $75K (Employer est.),Information Technology,4.1,Aurora Innovation,Unknown / Non-Applicable,Data Analyst,1998,,"Mountain View, CA",10000+ Employees,Computer Hardware & Software,"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 392 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
Job Description Summary: Simility, a PayPal Service, is an end-to-end fraud management platform helping large merchants, banks, and other Fortune 1000 companies manage fraud and risk. Our systems help enterprises detect fraudulent events real time and help protect these enterprises from online threats. We do so by creatively harnessing the power of data, machine learning and humans and be on the cutting edge of fraud detection techniques and algorithms. Simility welcomes big thinkers and passionate team players, who are ready to take their career to the next level."
94,$60K - $75K (Employer est.),Information Technology,3.9,Anjaman Technologies LLC,Unknown / Non-Applicable,Data Analyst,2017,Company - Private,Remote,201 to 500 Employees,Computer Hardware & Software,"Who We Are
At Aurora, we're on a mission to deliver the benefits of self-driving technology safely, quickly, and broadly. It all starts with the Aurora Driver, a platform created from industry-leading hardware and software and designed to adapt across a variety of vehicle types and industries.
We're led by a team of self-driving luminaries, and we've forged strategic partnerships with leading transportation companies—including ride-hailing network Uber, truck-manufacturers PACCAR and Volvo Trucks, and the world's largest automaker Toyota—setting us up to deliver the Aurora Driver in both trucks and passenger vehicles. We are funded by Amazon, Uber, T Rowe Price, and some of Silicon Valley's best venture capital firms, including Sequoia, Greylock, and Index Ventures.
Aurora is in the best position to lead the self-driving space with a team of unparalleled depth and expertise, the technology to deliver, and the partnerships to build a transformative business for the long-term."
95,$60K - $75K (Employer est.),Information Technology,3.8,Capgemini,$10+ billion (USD),Data Governance Tool/Analyst,1967,Company - Public,"Las Vegas, NV",10000+ Employees,Enterprise Software & Network Solutions,"Role: Data Analyst
Location: San Antonio, TX/ Remote
Duration: Long Term
Requirements
Excellence in designing and implementing data collecting instruments
Excellence in analyzing data
Familiarity with Christian higher education, especially a seminary environment
Ability to organize and accomplish multiple projects with minimal supervision
Ability to organize, present, and archive institutional data"
96,$60K - $75K (Employer est.),Information Technology,3.8,clubcarwash,$10+ billion (USD),Data Analyst,1967,Company - Public,"Chesapeake, VA",10000+ Employees,Enterprise Software & Network Solutions,"Duration: 6+Months

Requirements:

Must be knowledgeable on how to implement a metadata/data catalog tool
Must be knowledgeable on the process for selecting and evaluating software applications
Must be able to facilitate meetings to gather requirements
Data Catalog (metadata) tool implementation experience; Tool selection process experience; facilitation skills

The Capgemini Freelancer Gateway is enabled by a cutting-edge software platform that leads the contingent labor world for technology innovation. The software platform leverages Machine Learning and Artificial Intelligence to make sure the right people end up in the right job."
97,$60K - $75K (Employer est.),Information Technology,4.4,Facebook,$10+ billion (USD),Data Analyst - Ads Revenue Accounting,2004,Company - Public,"Fremont, CA",10000+ Employees,Internet,"Full Job Description
COMPANY PROFILE
Club Car Wash is one of the fastest growing tunnel car wash companies in the United States. We currently operate 38+ stores throughout Missouri, Kansas, Illinois, and Iowa and plan to surpass 100+ stores by 2023. With this type of growth, there is boundless opportunities for career-minded talent who strives to provide exceptional service and excellent car wash quality for all of our customers. Have fun working in a professional, indoor/outdoor work environment.
Are you ready to #JoinTheClub ?
The Data Analyst analyzes data and provides insights to the business to improve our marketing and lead allocation performance. They research new data sources, deep dive into existing data, discover patterns, offer recommendations and impacts assessments to enable data-driven decision making. The Data Analyst works closely with our data science team to improve scoring and predictive analytics. They develop deep partnerships with business areas within the company."
98,$60K - $75K (Employer est.),Information Technology,4.4,Novartis,$10+ billion (USD),Data Scientist (Machine Learning),2004,Company - Public,"Cambridge, MA",10000+ Employees,Internet,"Facebook is seeking an intellectually curious professional who will drive analysis and generate actionable insights to support the revenue accounting team and their business partners. You will partner with team members to develop analytical controls and to improve the overall accuracy of the revenue streams and the efficiency of our accounting processes. You will be challenged everyday to utilize deep knowledge of SQL and statistics to solve complex problems in a scalable way. You will be responsible for translating complex data into meaningful interpretations and recommendations for your business partners.
Work with large complex data sets to solve difficult, non-routine, analysis problems
Collaborate with a wide variety of cross-functional partners to understand business needs, formulate and complete data analysis, and distill complex analysis into insights
Leverage analytical techniques to improve accuracy of our revenue streams
Develop and maintain SQL scripts for the revenue accounting team
Deliver dashboards and reporting on a regular cadence to allow business users to interact with the complex analysis work"
99,$60K - $75K (Employer est.),Travel & Tourism,4.4,Delta,$10+ billion (USD),Specialist,1928,Company - Public,"Atlanta Central City Post Offi, GA",10000+ Employees,Airlines,
100,$60K - $75K (Employer est.),Travel & Tourism,4.4,Microsoft,$10+ billion (USD),Data & Applied Scientist,1928,Company - Public,"Bellevue, WA",10000+ Employees,Airlines,"United States, Georgia, Atlanta
Inflight Services
15-Jul-2021
Ref #: 7941 How you'll help us Keep Climbing (overview & key responsibilities)
The Specialist will be responsible for driving all OBS Forecast for passenger supplies. These forecasts will include forward projections for supplier production as well as projections for the procurement function.

Work closely across the organization with the stakeholders of the OBS planning, service delivery, supply chain management, and finance groups to generate operational inventory projections
Generate station and warehouse targets (maximum order quantities) based on flight schedule and provisioning estimates
Work closely with the OnBoard Services operational teams to understand operational changes and how they will impact inventory needs
Assist in the development of a new forecasting tools
Identify and develop reports for commonly requested forecast needs
Create dashboards for business users
Clearly articulate forecasting assumptions
Work with operational team to continuously cleanse data with the expectation of constantly improving forecast projections
Be well versed in all OBS processes to help brainstorm process improvement opportunities

What you need to succeed (minimum qualifications)
Where permitted by applicable law, must have received or be willing to receive the COVID-19 vaccine by date of hire to be considered for U.S.-based job, if not currently employed by Delta Air Lines, Inc.
Embraces diverse people, thinking and styles
Consistently makes safety and security, of self and others, the priority
Advanced degree or certification in statistics, information technology, supply chain, IT, business management, engineering or related field
Knowledge of SQL required
Experience with data science tools (R, Python, SAS) preferred
Excellent data analytical skillsable to pull together and combine data from disparate sources to analyze and summarize into recommendations and actions
Excellent cross-organization problem resolution and communication skills
Demonstrated Leadership Potential

What will give you a competitive edge (preferred qualifications) N/A < Go back"
101,$60K - $75K (Employer est.),Information Technology,4.4,Facebook,$10+ billion (USD),Data Analyst,1928,,"Sunnyvale, CA",10000+ Employees,Internet,"United States, Georgia, Atlanta
Inflight Services
15-Jul-2021
Ref #: 7941 How you'll help us Keep Climbing (overview & key responsibilities)
The Specialist will be responsible for driving all OBS Forecast for passenger supplies. These forecasts will include forward projections for supplier production as well as projections for the procurement function.

Work closely across the organization with the stakeholders of the OBS planning, service delivery, supply chain management, and finance groups to generate operational inventory projections
Generate station and warehouse targets (maximum order quantities) based on flight schedule and provisioning estimates
Work closely with the OnBoard Services operational teams to understand operational changes and how they will impact inventory needs
Assist in the development of a new forecasting tools
Identify and develop reports for commonly requested forecast needs
Create dashboards for business users
Clearly articulate forecasting assumptions
Work with operational team to continuously cleanse data with the expectation of constantly improving forecast projections
Be well versed in all OBS processes to help brainstorm process improvement opportunities

What you need to succeed (minimum qualifications)
Where permitted by applicable law, must have received or be willing to receive the COVID-19 vaccine by date of hire to be considered for U.S.-based job, if not currently employed by Delta Air Lines, Inc.
Embraces diverse people, thinking and styles
Consistently makes safety and security, of self and others, the priority
Advanced degree or certification in statistics, information technology, supply chain, IT, business management, engineering or related field
Knowledge of SQL required
Experience with data science tools (R, Python, SAS) preferred
Excellent data analytical skillsable to pull together and combine data from disparate sources to analyze and summarize into recommendations and actions
Excellent cross-organization problem resolution and communication skills
Demonstrated Leadership Potential

What will give you a competitive edge (preferred qualifications) N/A < Go back"
102,$60K - $75K (Employer est.),Information Technology,4.4,Scipher Medicine,$10+ billion (USD),Data Analyst,2004,Company - Public,"Waltham, MA",10000+ Employees,Internet,"At Facebook Reality Labs (FRL), our goal is to explore, innovate and design novel interfaces and hardware subsystems for the next generation of virtual, augmented, and mixed reality experiences. We are looking for a skilled and motivated Data Analyst to join our team, whose mission is to connect and build reporting for our data systems. We are specifically looking for a candidate with experience in defining and building data aggregation and reporting systems for manufacturing facilities and who can work with a team of engineers and technicians who are developing new manufacturing processes. More broadly, the chosen candidate will work with a diverse and highly interdisciplinary team of researchers and engineers and will have access to cutting edge technology, resources, and manufacturing facilities.
Develop roadmap based on current state survey of data forms and generation environments
Own the aggregation and reporting of manufacturing systems data, including – MES data, Shop floor trend data, metrology raw data, metrology production data, research data, and external contract data
Maintain and design data systems to receive or process data from various levels of the manufacturing process including text files, system logs, external databases, external company extracts"
103,$60K - $75K (Employer est.),,4.4,Bayer,,Precision Genomics Data Science Co-Op,2004,Company - Public,"Chesterfield, MO",10000+ Employees,Internet,"At Facebook Reality Labs (FRL), our goal is to explore, innovate and design novel interfaces and hardware subsystems for the next generation of virtual, augmented, and mixed reality experiences. We are looking for a skilled and motivated Data Analyst to join our team, whose mission is to connect and build reporting for our data systems. We are specifically looking for a candidate with experience in defining and building data aggregation and reporting systems for manufacturing facilities and who can work with a team of engineers and technicians who are developing new manufacturing processes. More broadly, the chosen candidate will work with a diverse and highly interdisciplinary team of researchers and engineers and will have access to cutting edge technology, resources, and manufacturing facilities.
Develop roadmap based on current state survey of data forms and generation environments
Own the aggregation and reporting of manufacturing systems data, including – MES data, Shop floor trend data, metrology raw data, metrology production data, research data, and external contract data
Maintain and design data systems to receive or process data from various levels of the manufacturing process including text files, system logs, external databases, external company extracts"
104,$60K - $75K (Employer est.),Biotech & Pharmaceuticals,4.1,Passion,$10+ billion (USD),Data Analyst,1863,Company - Private,"Atlanta Central City Post Offi, GA",10000+ Employees,Biotech & Pharmaceuticals,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Precision Genomics Data Science Co-Op"
105,$60K - $75K (Employer est.),Unknown / Non-Applicable,4.3,Accenture,,Core Compete Data Engineer,Nonprofit Organization,Religious Organizations,"Raleigh, NC",51 to 200 Employees,Non-Profit,"DATA ANALYST
Passion City Church / sixstepsrecords / Passion Conferences / Passion Publishing
OBJECTIVE
Supports the mission and vision of Passion through data analysis, interpretation and storytelling for process improvement, growth opportunities and ministry impact.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Leverages SQL reporting to meet Passion's analytical needs
Builds and maintains business intelligence reporting and systems"
106,$60K - $75K (Employer est.),Information Technology,4.7,Turo,Unknown / Non-Applicable,Product Data Analyst,2009,Company - Private,"San Francisco, CA",201 to 500 Employees,Internet,"Work with Retail, Manufacturing, Pharmaceuticals, Financial Services organizations to understand business requirements to develop analytical models using techniques such as optimization, statistics and data mining models to achieve business growth and efficiencies utilizing Big Data and Analytics
Conduct creative inquiry and analysis to support research projects related to data, datasets, and data mining and optimization applications using modeling and data management tools and visualization tools
Support definition of solution and analytical methodology to address key client business issues
Document and provide input to the design recommendations
Collaborate with data producers and repository contributors to develop cost effective and efficient strategies and reliable data streams for managing data
Develop dashboards using reporting technologies to develop automated system for on-going business operations"
107,$60K - $75K (Employer est.),,4.7,Workman Forensics,,Data Analyst,,,"Tulsa, OK",,,"Data is our fuel at Turo. It is ever-more abundant and valuable, but it's raw material. Harnessed by data analysts, data scientists, and machine learning engineers, it propels Turo on its mission to put the world's 1.5+ billion cars to better use, delighting our customers with matching the right car for their next adventure from an exceptionally diverse selection, and at the same time helping our marketplace remain safe.
About the role
As a member of the Analytics team, you will have the opportunity to explore and understand how millions of guests and hosts interact with Turo's marketplace, and use data to solve meaningful business problems. Examples of projects you would work on include, but are not limited to - understanding and improving guest acquisition/conversion/retention, improving host profitability & retention, testing and optimizing different pricing strategies, improving unit economics, identifying next levers of supply and demand growth. You will closely work with product counterparts and influence the product roadmap."
108,$60K - $75K (Employer est.),,,Bayer,,Decision Scientist Co-Op,,,"Chesterfield, MO",,,"JOB TITLE: Data Analyst
*
LOCATION: Workman Forensics 822 E 6th St Tulsa, OK 74105
PAY: $25 - $30/hour DOE
REPORTING TO: Forensic Accounting Manager
RESPONSIBLE TO: CEO
HOURS OF WORK: 32.5 hours per week beginning on or after Sep 1, 2021
WORK DAYS: Monday through Friday"
109,$60K - $75K (Employer est.),Biotech & Pharmaceuticals,4.1,Lithia Home Office,$10+ billion (USD),DART Data Science Analyst,1863,Company - Private,"Medford, OR",10000+ Employees,Biotech & Pharmaceuticals,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Decision Scientist Co-Op"
110,$60K - $75K (Employer est.),Retail,3.6,Atlanta Regional Commission,$10+ billion (USD),Data Visualization Assistant – PT Temp,1946,Company - Public,"Atlanta Central City Post Offi, GA",10000+ Employees,Vehicle Dealers,"Dealership:
L0105 Lithia Home Office
DART Data Science Analyst
The DART Data Science Analyst is responsible for assisting our core business units, including FP&A, Performance Management, Corporate Finance, Compensation, Marketing and our Digital Innovation and Information Technology Group with analyses, report generation and special projects that may arise. This position is part of the DART (Data Analytics Rotational Training) program and is a key role in providing analyses and insight for management to make informed decisions. The DART program is looking to develop business users who understand the value behind the insights to lead analytical initiatives. Rotations enable analysts to build competencies across a spectrum of subjects to accelerate growth. The specific role may be fine-tuned based on the candidate."
111,$60K - $75K (Employer est.),Unknown / Non-Applicable,3.9,PerBlue,,Data Analyst,Government,State & Regional Agencies,"Madison, WI",51 to 200 Employees,Government,"Center
Center for Livable Communities

Group
Research & Analytics

Salary Range
$15.00-$17.00




POSITION SUMMARY:"
112,$60K - $75K (Employer est.),Health Care,3.4,LeanTaaS,$25 to $50 million (USD),Data Analyst (US REMOTE),2010,Company - Private,"Atlanta Central City Post Offi, GA",51 to 200 Employees,Health Care Services & Hospitals,"PerBlue is looking for our next great aspiring Data Analyst to join our team of experienced mobile game creators. We’re a growing independent studio whose free-to-play midcore mobile games are being played by millions of people around the world, including the award-winning Disney Heroes: Battle Mode.
Our team brings together experience from major studios in the videogame and technology industries. Headquartered in Madison, Wisconsin, we also work remotely around the United States for an unmatched quality of life and work.
In this early-career opportunity, you’ll add your skillset to our Business Intelligence team, providing the analysis and insights to help our team create amazing experiences for our fans around the world. You’re a thoughtful aspiring data wizard who can manage mountains of mobile game data from a variety of sources and discover new ways of understanding and presenting insights to our team from across the studio. You’re a creative thinker who brings a commitment to delivering results.
Principal Responsibilities"
113,$60K - $75K (Employer est.),Health Care,3.4,Accenture,$25 to $50 million (USD),Data Engineer,2010,Company - Private,"Overland Park, KS",51 to 200 Employees,Health Care Services & Hospitals,"We are a Series D company that’s on a mission to make hospitals more efficient with data science and machine learning. 110+ health systems and 400+ hospitals, across 40 states, rely on our award-winning products to increase patient access, decrease wait times, and reduce healthcare delivery costs. We have raised more than $250 million from top-tier investors such as Insight Partners and Goldman Sachs. We have been named among the top 100 AI companies in the world.
*_
This position can be performed remotely from anywhere in the US, regardless of any location that might be specified. This position will have job duties to cover certain requests from 9AM to 5PM Eastern Time (6AM to 2PM Pacific Time)._*
*_
We have offices in Santa Clara, CA and Charlotte, NC for employees who prefer to work regularly or occasionally from an office._*"
114,$60K - $75K (Employer est.),Business Services,3.4,Accenture,$10+ billion (USD),Federal - Data Visualization Specialist,2010,,"Arlington, VA",51 to 200 Employees,Consulting,"We are a Series D company that’s on a mission to make hospitals more efficient with data science and machine learning. 110+ health systems and 400+ hospitals, across 40 states, rely on our award-winning products to increase patient access, decrease wait times, and reduce healthcare delivery costs. We have raised more than $250 million from top-tier investors such as Insight Partners and Goldman Sachs. We have been named among the top 100 AI companies in the world.
*_
This position can be performed remotely from anywhere in the US, regardless of any location that might be specified. This position will have job duties to cover certain requests from 9AM to 5PM Eastern Time (6AM to 2PM Pacific Time)._*
*_
We have offices in Santa Clara, CA and Charlotte, NC for employees who prefer to work regularly or occasionally from an office._*"
115,$60K - $75K (Employer est.),Business Services,4.1,Envision,$10+ billion (USD),Data Scientist,1989,Company - Public,"Saint Louis, MO",10000+ Employees,Consulting,"Organization: Accenture Federal Services
Location: Washington, DC
We are:
Accenture Federal Services, helping our federal clients tackle their toughest challenges while unleashing their fullest potential…and then some. What makes our approach so unique? Operating from the nation’s capital, we bring together commercial innovation and leading-edge technologies to deliver an integrated and interactive experience that far exceeds expectations. How? Our passion meets purpose! Through our diverse culture and inclusive thinking, we embrace our employees' ideas taking them from concept to practical solutions. Not to mention, we sleep well at night knowing our work directly impacts and improves the way the world works. We keep our tech smarts sharp by providing abundant training and certification opportunities. Are you ready to learn and grow in a career, while making a difference?"
116,$60K - $75K (Employer est.),Government,4.5,Argonne National Laboratory,Unknown / Non-Applicable,Data Scientist - Life Sciences,1946,Nonprofit Organization,"Chicago, IL",1001 to 5000 Employees,Federal Agencies,"Basic Qualifications:
Masters Degree in Statistics, Biostatistics, Data Science, Applied Mathematics, or another highly quantitative discipline;

Strong Python coding skills for data management, visualization, and basic modeling (strong experience and knowledge with standard data science packages such as numpy, pandas, matplotlib, seaborn, sklearn)

Demonstrated knowledge and experience manipulating and analyzing various data sets

Strong Statistical, machine learning and deep learning modeling experience

Strong analytical and quantitative problem solving ability, with demonstrated ability to build, test, and iterate on a variety of model forms

Fast learner and follows project instructions

Strong communication skills and the ability to work with diverse cross-functional teams


Proven experience with good coding practices such as version control, code documentation, automated testing, and code review

Experience working with agriculture or soybean crop data

Experience working with crop disease management or crop protection

Experience in SQL, PySpark, or SparklyR/Spark

Ability to translate complex technical concepts to collaborations, decision makers, and non-technical audiences"
117,$60K - $75K (Employer est.),Information Technology,3.7,Scientific Games,$2 to $5 billion (USD),Associate Mathematician,1984,Company - Public,"Las Vegas, NV",5001 to 10000 Employees,Computer Hardware & Software,"In this exciting area of research, you will be applying machine learning techniques to problems in the life sciences with an emphasis on using computational approaches for detecting patterns in a variety of contexts including cancer, brain injury, infectious disease and microbial community datasets. Problems typically involve the construction of computational models for phenotype prediction from data that includes genomic data and other omics data. This role will develop and apply computational models on new experimental data, provide measures of uncertainty, and participate in interdisciplinary discussions aimed at the design of new experiments. You will report on results of research including publishing scholarly papers in scientific journals, give presentations at symposia, conferences, meetings, and seminars. You will also participate in the preparation of reports and proposals required by funding agencies to obtain and continue funding support.
We are seeking outstanding people to join us in the Data Science and Learning Division and the Bioscience Division at all career levels. As a multidisciplinary national laboratory, Argonne offers an exciting campus atmosphere in which to collaborate on interdisciplinary projects developing solutions to complex scientific and engineering problems on the world’s largest parallel supercomputers.
Research Development (RD)
Biology 1
Long-Term (Fixed Term)
Full time"
118,$60K - $75K (Employer est.),Information Technology,3.7,Bayer,$2 to $5 billion (USD),Data Science Co-Op,1984,Company - Public,"Chesterfield, MO",5001 to 10000 Employees,Computer Hardware & Software,"Gaming:
Are you ready to level up your career?

At Scientific Games, we are committed to making the best games, platforms and systems in the world. We are looking for smart, passionate and creative people to join our team and help us transform the gaming world. We are a global, industry-leading gaming technology company that embraces challenge, fosters an inclusive culture, values integrity, innovation and winning, and is committed to developing and supporting its people.
Whether you are a member of our award winning game studios, our industry leading systems group, product management, manufacturing group, services or any of our other amazing Gaming teams, you will be creating compelling games played around the world. We are dedicated to being the industry’s only COMPLETE global solutions provider with products that will enhance the entire gaming operation, both on the casino floor and behind the scenes."
119,$60K - $75K (Employer est.),Insurance,,Insurify,Unknown / Non-Applicable,Data Analyst,2013,Company - Private,"Sofia, NM",1 to 50 Employees,Insurance Agencies & Brokerages,"Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change.


Data Science Co-Op"
120,$60K - $75K (Employer est.),Unknown / Non-Applicable,4.1,Aurora,,Data Analyst,Company - Private,IT Services,"Mountain View, CA",201 to 500 Employees,Information Technology,"Who We Are
At Aurora, we’re on a mission to deliver the benefits of self-driving technology safely, quickly, and broadly. It all starts with the Aurora Driver, a platform created from industry-leading hardware and software and designed to adapt across a variety of vehicle types and industries.
We’re led by a team of self-driving luminaries, and we’ve forged strategic partnerships with leading transportation companies—including ride-hailing network Uber, truck-manufacturers PACCAR and Volvo Trucks, and the world’s largest automaker Toyota—setting us up to deliver the Aurora Driver in both trucks and passenger vehicles. We are funded by Amazon, Uber, T Rowe Price, and some of Silicon Valley’s best venture capital firms, including Sequoia, Greylock, and Index Ventures.
Aurora is in the best position to lead the self-driving space with a team of unparalleled depth and expertise, the technology to deliver, and the partnerships to build a transformative business for the long-term."
